clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Exit_From_Address,Exit_From_Label,Flagged,Flag_Reason,Is_Unclear_OCR,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road
"Lake Point , 84074 TravelCenters of America / SLC",801-250-8585 I-80 Exit 99 TA,24 O,Lake Point,84074,TravelCenters of America / SLC,801-250-8585,2007,Tooele,UT,TravelCenters,,I-80 Exit 99 TA,Exit,99,99,,False,,False,I-80,,,,
"ILake Point , 84074 TA- Salt Lake City ( Tesoro )",3 801-250-8585 I-80 Exit 99 TA,HRS 24 XL 24,Lake Point,84074,TA- Salt Lake City ( Tesoro ),801-250-8585,2008,Tooele,UT,Tesoro,,I-80 Exit 99 TA,Exit,99,99,,False,,False,I-80,,,,
D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ),801-250-8585 I-80 Exit 99,A 24 <U+2610> XL,Lake Point,84074,TA Tooele # 060 ( Shell ),801-250-8585,2014,Tooele,UT,Shell,,I-80 Exit 99,Exit,99,99,,False,,False,I-80,,,,
D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ),801-250-8585 I-80 Exit 99,ZA 24 <U+2610> XL,Lake Point,84074,TA Tooele # 060 ( Shell ),801-250-8585,2015,Tooele,UT,Shell,,I-80 Exit 99,Exit,99,99,,False,,False,I-80,,,,
D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ) Z,801-250-8585 I-80 Exit 99,Z XL,Lake Point,84074,TA Tooele # 060 ( Shell ) Z,801-250-8585,2016,Tooele,UT,Shell,,I-80 Exit 99,Exit,99,99,,False,,False,I-80,,,,
"Lake Point , 84074 Flying J Travel Plaza # 0500015",801-508-7400 I-80 Exit 99,,Lake Point,84074,Flying J Travel Plaza # 0500015,801-508-7400,2006,Tooele,UT,Flying J,,I-80 Exit 99,Exit,99,99,,False,,False,I-80,,,,
Flying J Travel Plaza # 0500015,"GLake 3801-508-7400 Point , 84074 I-80 Exit 99 #",24,,84074,15,801-508-7400,2007,Tooele,UT,,,"Point , 84074 I-80 Exit 99 #",Exit,99,99,,False,,False,I-80,,,,
"D Lake Point , 84074 Flying J Travel",3 801-508-7400 I-80 Exit 99 Plaza # 0500015 B,24 HRS XL,Lake Point,84074,Flying J Travel,801-508-7400,2008,Tooele,UT,Flying J,,I-80 Exit 99 Plaza # 0500015 B,Exit,99,99,,False,,False,I-80,,,,
D Lake Point ( 84074 ) Flying J Travel Plaza # 742,801-508-7400 I-80 Exit 99,24,Lake Point,84074,Flying J Travel Plaza # 742,801-508-7400,2014,Tooele,UT,Flying J,,I-80 Exit 99,Exit,99,99,,False,,False,I-80,,,,
D Lake Point ( 84074 ) Flying J Travel Plaza # 742,801-508-7400 I-80 Exit 99 FLYING,FLYING 24 XL 24 5:04,Lake Point,84074,Flying J Travel Plaza # 742,801-508-7400,2015,Tooele,UT,Flying J,,I-80 Exit 99 FLYING,Exit,99,99,,False,,False,I-80,,,,
D Lake Point ( 84074 ) Flying J Travel Plaza # 742 FLYING J,3 801-508-7400 I-80 Exit 99,J 24 X 24,Lake Point,84074,Flying J Travel Plaza # 742 FLYING J,801-508-7400,2016,Tooele,UT,Flying J,,I-80 Exit 99,Exit,99,99,,False,,False,I-80,,,,
"Vernal , 84078 Top Stop # 40 ( Sinclair )",435-789-8292 1355 US 40 E,S,Vernal,84078,Top Stop # 40 ( Sinclair ),435-789-8292,2006,Vernal,UT,Sinclair,,1355 US 40 E,Proper,,,,False,,False,US 40,,,,
"D Vernal , 84078 Top Stop # 40 ( Sinclair )",435-789-8292 1355 US 40 E,S <U+2610> -,Vernal,84078,Top Stop # 40 ( Sinclair ),435-789-8292,2007,Vernal,UT,Sinclair,,1355 US 40 E,Proper,,,,False,,False,US 40,,,,
"D Vernal , 84078 Top Stop # 40 (",435-789-8292 1355 US 40 E Sinclair ),24 HAS S,Vernal,84078,Top Stop # 40 (,435-789-8292,2008,Vernal,UT,,,1355 US 40 E Sinclair ,Proper,,,,False,,False,US 40,,,,
D Vernal ( 84078 ) Top Stop # 40 ( Chevron ),6 435-789-8292 1355 US 40 E,24 SO <U+2610> <U+2610><U+2610>,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,2014,Vernal,UT,Chevron,,1355 US 40 E,Proper,,,,False,,False,US 40,,,,
D Vernal ( 84078 ) Top Stop # 40 ( Chevron ),435-789-8292 1355 US 40 E,24 S <U+25A1>,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,2015,Vernal,UT,Chevron,,1355 US 40 E,Proper,,,,False,,False,US 40,,,,
Vernal ( 84078 ) Top Stop # 40 ( Chevron ),435-789-8292 1355 US 40 E,24 OSO D,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,2016,Vernal,UT,Chevron,,1355 US 40 E,Proper,,,,False,,False,US 40,,,,
"Woods Cross , 84087 RB's One Stop ( 66 )",801-295-3241 I-15 Exit 316 ( 500 S ),HRS 24,Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,2006,Woods Cross,UT,,( 500 S ),I-15 Exit 316 ,Exit,316,316,,False,,False,I-15,,,,
"Cross , 84087 RB's One Stop ( 66 )",DWoods 3801-295-3241 I-15 Exit 316 ( 500 S ),24 SO,Cross,84087,RB's One Stop ( 66 ),801-295-3241,2007,Woods Cross,UT,,( 500 S ),I-15 Exit 316 ,Exit,316,316,,False,,False,I-15,,,,
"Woods Cross , 84087 RB's One Stop ( 66 )",3 801-295-3241 I-15 Exit 316 ( 500 S ),24 S <U+2610>,Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,2008,Woods Cross,UT,,( 500 S ),I-15 Exit 316 ,Exit,316,316,,False,,False,I-15,,,,
Woods Cross ( 84087 ) RB's One Stop ( 66 ) S ),801-295-3241 I-15 Exit 316 ( 500 S ),24 S,Woods Cross,84087,RB's One Stop ( 66 ) S ),801-295-3241,2014,Woods Cross,UT,,( 500 S ),I-15 Exit 316 ,Exit,316,316,,False,,False,I-15,,,,
D Woods Cross ( 84087 ) RB's One Stop ( 66 ),801-295-3241 I-15 Exit 316 ( 500 S ),24 S O,Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,2015,Woods Cross,UT,,( 500 S ),I-15 Exit 316 ,Exit,316,316,,False,,False,I-15,,,,
Woods Cross ( 84087 ) RB's One Stop ( 66 ),801-295-3241 I-15 Exit 316 ( 500 S ),24 S O,Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,2016,Woods Cross,UT,,( 500 S ),I-15 Exit 316 ,Exit,316,316,,False,,False,I-15,,,,
"ISalt Lake City ( W ) , 84104 Dunn Oil # 2 ( Chevron )",801-975-7188 I-215 Exit 21 ( California Ave E ),24 HRS MO 000,Salt Lake City,84104,Dunn Oil # 2 ( Chevron ),801-975-7188,2006,Salt Lake City,UT,Chevron,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
Salt Lake City ( W ) Dunn Oil # 2 ( Chevron ),801-975-7188 I-215 Exit 21 ( California Ave E ),24 MO,,84104,,801-975-7188,2007,Salt Lake City,UT,,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
),"31801-975-7188 Salt Lake City ( W ) , 84104 I-215 Dunn Exit Oil # 21 2 ( Chevron ( California Ave E )",24 Sm,,84104,,801-975-7188,2008,Salt Lake City,UT,,"( W ) , 84104 I-215 Dunn Exit Oil # 21 2 ( Chevron ( California Ave E )",Salt Lake City,empty,,,,False,,False,Salt Lake,,,,
D Salt Lake City ( West ) ( 84104 ) Dunn Oil # 2 7-11 ( Tesoro ),3 801-975-7188 I-215 Exit 21 ( California Ave E ),24 D,Salt Lake City,84104,Dunn Oil # 2 7-11 ( Tesoro ),801-975-7188,2014,Salt Lake City,UT,Tesoro,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
Salt Lake City ( W ) ( 84104 ) Dunn Oil # 2 7-11 ( Tesoro ),801-975-7188 I-215 Exit 21 ( California Ave E ),24 <U+2610>,Salt Lake City,84104,Dunn Oil # 2 7-11 ( Tesoro ),801-975-7188,2015,Salt Lake City,UT,Tesoro,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
Salt Lake City ( W ) ( 84104 ) Dunn Oil # 2 7-11 ( Chevron ),801-975-7188 I-215 Exit 21 ( California Ave E ),24 <U+25A1>,Salt Lake City,84104,Dunn Oil # 2 7-11 ( Chevron ),801-975-7188,2016,Salt Lake City,UT,Chevron,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
"Lake City ( W ) , 84104 Sapp Bros. Truck Stop ( Sinclair )",DSalt 3801-977-3900 I-215 Exit 21 ( California Ave E ),24 HRS K 24,Lake City,84104,Sapp Bros. Truck Stop ( Sinclair ),801-977-3900,2006,Salt Lake City,UT,Sinclair,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
Salt Lake City ( W ) Sapp Bros. Truck Stop ( Sinclair ),801-977-3900 I-215 Exit 21 ( California Ave E ),XL 444,,84104,,801-977-3900,2007,Salt Lake City,UT,,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
"Salt Lake City ( W ) , 84104 Sapp Bros. Travel Center ( Sinclair ) 24",3 801-977-3900 I-215 Exit 21 ( California Ave E ),24 XL 24,Salt Lake City,84104,Sapp Bros. Travel Center ( Sinclair ) 24,801-977-3900,2008,Salt Lake City,UT,Sinclair,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
D Salt Lake City ( West ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900 I-215 Exit 21 ( California Ave E ),) 24 <U+2610> XL,Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,2014,Salt Lake City,UT,Sinclair,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
Salt Lake City ( W ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900 I-215 Exit 21 ( California Ave E ),24 <U+25A1> XL,Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,2015,Salt Lake City,UT,Sinclair,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
D Salt Lake City ( W ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),3 801-977-3900 I-215 Exit 21 ( California Ave E ),24 D XL 24,Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,2016,Salt Lake City,UT,Sinclair,( California Ave E ),I-215 Exit 21 ,Exit,21,21,,False,,False,I-215,,,,
"Salt Lake City , 84115 Premium Oil ( Chevron )",801-484-1662 I-15-80 Exit 305 B ( 2100 S ),<U+2610> <U+25A1> <U+25A1>,Salt Lake City,84115,Premium Oil ( Chevron ),801-484-1662,2006,Salt Lake City,UT,Chevron,( 2100 S ),I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
"City , 84115 Premium Oil ( Chevron )",D 31801-484-1662 Salt Lake I-15-80 Exit 305 B ( 2100 S ),n D,City,84115,Premium Oil ( Chevron ),801-484-1662,2007,Salt Lake City,UT,Chevron,( 2100 S ),Salt Lake I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
"Salt Lake City , 84115 Premium Oil ( Chevron )",801-484-1662 I-15-80 Exit 305 B ( 2100 S ),<U+2610><U+2610> <U+2610><U+2610> <U+2610>,Salt Lake City,84115,Premium Oil ( Chevron ),801-484-1662,2008,Salt Lake City,UT,Chevron,( 2100 S ),I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
D Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),801-484-1662 I-15-80 Exit 305 B ( 2100 S ),,Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,2014,Salt Lake City,UT,Chevron,( 2100 S ),I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
D Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),3 801-484-1662 I-15-80 Exit 305 B ( 2100 S ),,Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,2015,Salt Lake City,UT,Chevron,( 2100 S ),I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),3 801-484-1662 I-15-80 Exit 305 B ( 2100 S ),D <U+2610> <U+2610>,Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,2016,Salt Lake City,UT,Chevron,( 2100 S ),I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
,"<U+25A0><U+25A0> 3801-972-371181191-15-80 DSalt Lake City , 84119 Flying J Exit Travel 305 Plaza A ( UT # 201 0500007 W )",2400,,84119,,801-972-3711,2006,Salt Lake City,UT,,( UT # 201 0500007 W ),"81191-15-80 DSalt Lake City , 84119 Flying J Exit Travel 305 Plaza A ",Exit,,,,True,unclear address_standardized_OFF_parenthesis,True,81191 15,,,,
"Salt Lake City , 84119 Flying J Travel Plaza # 0500007",801-972-3711 I-15-80 Exit 305 A ( UT 201 W ),,Salt Lake City,84119,Flying J Travel Plaza # 0500007,801-972-3711,2007,Salt Lake City,UT,Flying J,( UT 201 W ),I-15-80 Exit 305 A ,Exit,305,305,,False,,False,I-15-80,,,,
"Salt Lake City , 84119 Flying J Travel Plaza # 0500007 24",3 801-972-3711 I-15-80 Exit 305 B ( UT 201 W ),24 24,Salt Lake City,84119,Flying J Travel Plaza # 0500007 24,801-972-3711,2008,Salt Lake City,UT,Flying J,( UT 201 W ),I-15-80 Exit 305 B ,Exit,305,305,,False,,False,I-15-80,,,,
D Salt Lake City ( 84119 ) Flying J Travel Plaza # 746,3 801-972-3711 I-15 X 305 B / I-80 WB X 122 / UT 201 EB X17,24 ==== 24 D,Salt Lake City,84119,Flying J Travel Plaza # 746,801-972-3711,2014,Salt Lake City,UT,Flying J,,I-15 X 305 B / I-80 WB X 122 / UT 201 EB X17,Exit,305,305,,False,,False,I-15,I-80,122.0,17.0,UT-201
D Salt Lake City ( 84119 ) Flying J Travel Plaza # 746 FLYING J,3 801-972-3711 I-15 X 305 B / I-80 WB X 122 / UT 201 EB X17,FLYING X17 J 24 LOO 24 <U+25A1><U+25A1><U+25A1>,Salt Lake City,84119,Flying J Travel Plaza # 746 FLYING J,801-972-3711,2015,Salt Lake City,UT,Flying J,,I-15 X 305 B / I-80 WB X 122 / UT 201 EB X17,Exit,305,305,,False,,False,I-15,I-80,122.0,17.0,UT-201
Salt Lake City ( 84119 ) Flying J Travel Plaza # 746 FLYING,801-972-3711 I-15 X 305 B / I-80 WB X 122 / UT 201 EB,FLYING X17 J 24,Salt Lake City,84119,Flying J Travel Plaza # 746 FLYING,801-972-3711,2016,Salt Lake City,UT,Flying J,,I-15 X 305 B / I-80 WB X 122 / UT 201 EB,Exit,305,305,,False,,False,I-15,I-80,122.0,201.0,UT-201
"Brigham City , 84302 Flying J Fuel Stop # 0001188","435-723-3924 I-15-84 Exit 362 ( US 91 , 1 mi E ) A",A - S,Brigham City,84302,Flying J Fuel Stop # 0001188,435-723-3924,2006,Brigham City,UT,Flying J,"( US 91 , 1 mi E ) A",I-15-84 Exit 362 ,Exit,362,362,,False,,False,I-15-84,,,,
"Brigham City , 84302 Flying J Fuel Stop # 0001188","435-723-3924 I-15-84 Exit 362 ( US 91 , 1 mi E )",24 HRS S L,Brigham City,84302,Flying J Fuel Stop # 0001188,435-723-3924,2007,Brigham City,UT,Flying J,"( US 91 , 1 mi E )",I-15-84 Exit 362 ,Exit,362,362,,False,,False,I-15-84,,,,
"Brigham City , 84302 Flying J Fuel Stop # 0001188","435-723-3924 I-15-84 Exit 362 ( US 91 , 1 mi E )",HRS 24 S,Brigham City,84302,Flying J Fuel Stop # 0001188,435-723-3924,2008,Brigham City,UT,Flying J,"( US 91 , 1 mi E )",I-15-84 Exit 362 ,Exit,362,362,,False,,False,I-15-84,,,,
Brigham City ( 84302 ) Fuel Stop ( 66 ),435-723-3924 I-15-84 Exit 362 ( 1 mi E - Medical Dr N ),Dr N ) 24 22 S,Brigham City,84302,Fuel Stop ( 66 ),435-723-3924,2014,Brigham City,UT,,( 1 mi E - Medical Dr N ),I-15-84 Exit 362 ,Exit,362,362,,False,,False,I-15-84,,,,
Brigham City ( 84302 ) Bell's Fuel Stop ( 66 ),435-723-3924 I-15-84 Exit 362 ( 1 mi E - Medical Dr N ),N ) 24 12 SO,Brigham City,84302,Bell's Fuel Stop ( 66 ),435-723-3924,2015,Brigham City,UT,,( 1 mi E - Medical Dr N ),I-15-84 Exit 362 ,Exit,362,362,,False,,False,I-15-84,,,,
Brigham City ( 84302 ) Bell's Fuel Stop ( 66 ),3 435-723-3924 I-15-84 Exit 362 ( 1 mi E - Medical Dr N ),S 24 <U+25A1>,Brigham City,84302,Bell's Fuel Stop ( 66 ),435-723-3924,2016,Brigham City,UT,,( 1 mi E - Medical Dr N ),I-15-84 Exit 362 ,Exit,362,362,,False,,False,I-15-84,,,,
"Logan , 84321 LW's Truck Stop ( Texaco )",435-753-7461 1000 UT 30 W,24 HRS M -,Logan,84321,LW's Truck Stop ( Texaco ),435-753-7461,2006,Logan,UT,Texaco,,1000 UT 30 W,Proper,,,,False,,False,UT 30,,,,
