clean_line1,clean_line2,city,zip_code,label,phone,state,chain,has_phone_match,Success_Match_Rate,Phone_Success_Match_Rate
Tremonton ( 84337 ) Golden Spike Travel Plaza ( Chevron ),3 435-257-7249 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,UT,Chevron,True,7/6 successful match,True
C Tremonton ( 84337 ) Golden Spike Travel Plaza ( Chevron ),435-257-7249 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,UT,Chevron,True,7/6 successful match,True
"Willard , 84340 Flying J Travel Plaza # 0001125",435-723-1010 I-15-84 Exit 357,Willard,84340,Flying J Travel Plaza # 0001125,435-723-1010,UT,Flying J,True,7/6 successful match,True
", 84340 Flying J Travel Plaza # 0001125",CWillard 3435-723-1010 I-15-84 Exit 357,,84340,Flying J Travel Plaza # 0001125,435-723-1010,UT,Flying J,True,7/6 successful match,True
"Willard , 84340 Flying J Travel Plaza # 0001125 )",3 435-723-1010 I-15-84 Exit 357 <U+00D8>,Willard,84340,Flying J Travel Plaza # 0001125 ),435-723-1010,UT,Flying J,True,7/6 successful match,True
Willard ( 84340 ) Flying J Travel Plaza # 748 1 ( WB - UT ),435-723-1010 I-15-84 Exit 357,Willard,84340,Flying J Travel Plaza # 748 1 ( WB - UT ),435-723-1010,UT,Flying J,True,7/6 successful match,True
Willard ( 84340 ) Flying J Travel Plaza # 748,3 435-723-1010 I-15-84 Exit 357 FLYING J,Willard,84340,Flying J Travel Plaza # 748,435-723-1010,UT,Flying J,True,7/6 successful match,True
Willard ( 84340 ) Flying J Travel Plaza # 748 FLYING,3 435-723-1010 I-15-84 Exit 357,Willard,84340,Flying J Travel Plaza # 748 FLYING,435-723-1010,UT,Flying J,True,7/6 successful match,True
"Ogden , 84401 Flying J Travel Plaza # 0500001",801-399-5577 I-15-84 Exit 343 ( UT 104 E ),Ogden,84401,Flying J Travel Plaza # 0500001,801-399-5577,UT,Flying J,True,7/6 successful match,True
"Ogden , 84401 J Travel Plaza # 0500001",801-399-5577 I-15-84 Flying Exit 343 ( UT 104 E ),Ogden,84401,J Travel Plaza # 0500001,801-399-5577,UT,,True,7/6 successful match,True
"Ogden , 84401 Flying J Travel Plaza # 0500001 .",801-399-5577 I-15-84 Exit 343 ( UT 104 E ),Ogden,84401,Flying J Travel Plaza # 0500001 .,801-399-5577,UT,Flying J,True,7/6 successful match,True
Ogden ( 84401 ) Flying J Travel UT Plaza 28 SE # 744 ),3 801-399-5577 I-15-84 Exit 343 ( UT 104 E ),Ogden,84401,Flying J Travel UT Plaza 28 SE # 744 ),801-399-5577,UT,Flying J,True,7/6 successful match,True
Ogden ( 84401 ) Flying J Travel Plaza # 744,801-399-5577 I-15-84 Exit 343 ( UT 104 E ) FLYING,Ogden,84401,Flying J Travel Plaza # 744,801-399-5577,UT,Flying J,True,7/6 successful match,True
Ogden ( 84401 ) Flying J Travel Plaza # 744,3 801-399-5577 I-15-84 Exit 343 ( UT 104 E ) FLYING,Ogden,84401,Flying J Travel Plaza # 744,801-399-5577,UT,Flying J,True,7/6 successful match,True
"Ogden , 84401 Pilot Travel Center # 294 104 E )",801-731-2900 I-15-84 Exit 344 ( UT ),Ogden,84401,Pilot Travel Center # 294 104 E ),801-731-2900,UT,Pilot,True,7/6 successful match,True
