ADDRESS,AKA,BUSINESS_NAME,BUSINESS_URL,CATEGORIES,EXTRA_PHONES,FORMATTED_PHONE,JSONLD_CITY_1,JSONLD_LAT_1,JSONLD_LNG_1,JSONLD_NAME_1,JSONLD_PHONE_1,JSONLD_STATE_1,JSONLD_STREET_1,JSONLD_ZIP_1,ORIGINAL_PHONE,PHONE,SCRAPED_AT,SEARCH_URL,STATUS,WEBSITE
"8836 Clinton Landing RdTooele, UT 84074",,Burger King,https://www.yellowpages.com/tooele-ut/mip/burger-king-458111103,"Fast Food Restaurants, Hamburgers & Hot Dogs, Restaurants",,,Tooele,40.689903,-112.26376,Burger King,(801) 250-8585,UT,8836 Clinton Landing Rd,84074,801-250-8585,(801) 250-8585Call,2025-07-07T04:13:12.753Z,https://www.yellowpages.com/search?search_terms=801+250+8585,,https://burgerking.com/store-locator/store/restaurant_6998
"8836 Clinton Landing RdTooele, UT 84074",,Shell,https://www.yellowpages.com/tooele-ut/mip/shell-506356806,Gas Stations,,,Tooele,40.689884,-112.26388,Shell,(801) 250-8585,UT,8836 Clinton Landing Rd,84074,801-250-8585,(801) 250-8585Call,2025-07-07T04:13:16.417Z,https://www.yellowpages.com/search?search_terms=801+250+8585,,https://find.shell.com/us/fuel/10060302-8836-n-highway-40-i-80-exit-99/en_US
"1605 Saddleback BlvdTooele, UT 84074",Western Union Agent Location,Western Union,https://www.yellowpages.com/tooele-ut/mip/western-union-502910325,"Money Transfer Service, Money Order Service",,,Tooele,40.685455,-112.26736,Western Union,(801) 508-7400,UT,1605 Saddleback Blvd,84074,801-508-7400,(801) 508-7400Call,2025-07-07T04:13:26.318Z,https://www.yellowpages.com/search?search_terms=801+508+7400,,https://www.westernunion.com/global-services/find-locations/us/ut/lake-point/ba3c0cb66898c493e953e791d87a6cab
"1605 Saddleback BlvdLake Point, UT 84074",,Flying J Travel Center,https://www.yellowpages.com/lake-point-ut/mip/flying-j-travel-center-470403412,"Truck Stops, Diesel Fuel, Gas Stations",801 508 7404,,Lake Point,40.685455,-112.26736,Flying J Travel Center,(801) 508-7400,UT,1605 Saddleback Blvd,84074,801-508-7400,(801) 508-7400Call,2025-07-07T04:13:30.301Z,https://www.yellowpages.com/search?search_terms=801+508+7400,,https://locations.pilotflyingj.com/us/ut/lake-point/1605-east-saddleback-blvd.
"1605 Saddleback BlvdLake Point, UT 84074",,CAT Scale,https://www.yellowpages.com/lake-point-ut/mip/cat-scale-570303293,"Truck Stops, Gas Stations",877 228 7225,,Lake Point,40.685455,-112.26736,CAT Scale,(801) 508-7400,UT,1605 Saddleback Blvd,84074,801-508-7400,(801) 508-7400Call,2025-07-07T04:13:34.192Z,https://www.yellowpages.com/search?search_terms=801+508+7400,,http://catscale.com/?utm_medium=yext&utm_source=extnet
"1355 E Highway 40Vernal, UT 84078","Chevron Station #355746, Top Stop Chevron - Vernal C40",Chevron,https://www.yellowpages.com/vernal-ut/mip/chevron-466537643,"Gas Stations, Convenience Stores, Take Out Restaurants","281 286 4882, 435 657 7123",,Vernal,40.44913,-109.50224,Chevron,(435) 789-8292,UT,1355 E Highway 40,84078,435-789-8292,(435) 789-8292Call,2025-07-07T04:13:44.517Z,https://www.yellowpages.com/search?search_terms=435+789+8292,,https://topstopstores.com
"1355 Us 40Vernal, UT 84078",,Top Stop Chevron-Vernal C40,https://www.yellowpages.com/vernal-ut/mip/top-stop-chevron-vernal-c40-569848699,"Gas Companies, Gas Stations",,,Vernal,40.2828,-109.4699,Top Stop Chevron-Vernal C40,(435) 789-8292,UT,1355 Us 40,84078,435-789-8292,(435) 789-8292Call,2025-07-07T04:13:48.070Z,https://www.yellowpages.com/search?search_terms=435+789+8292,,https://topstopstores.com
"1355 E Highway 40Vernal, UT 84078","Top Stop Convenience Stores, Sinclair Oil, Top Stop #40",Top Stop Chevron - Vernal C40,https://www.yellowpages.com/vernal-ut/mip/top-stop-chevron-vernal-c40-8992234,"Gas Stations, Convenience Stores","435 789 3944, 435 657 7123",,Vernal,40.44913,-109.50224,Top Stop Chevron - Vernal C40,(435) 789-8292,UT,1355 E Highway 40,84078,435-789-8292,(435) 789-8292Call,2025-07-07T04:13:51.869Z,https://www.yellowpages.com/search?search_terms=435+789+8292,,http://sinclairoil.com
"527 S 700 WWoods Cross, UT 84087",,Rbs Interstate,https://www.yellowpages.com/woods-cross-ut/mip/rbs-interstate-475993584,"Gas Stations, Convenience Stores",,,Woods Cross,40.884045,-111.89892,Rbs Interstate,(801) 295-3241,UT,527 S 700 W,84087,801-295-3241,(801) 295-3241Call,2025-07-07T04:14:00.403Z,https://www.yellowpages.com/search?search_terms=801+295+3241,,http://www.phillips66.com
"527 S 700 WWoods Cross, UT 84087",Rb's Onestop,Phillips 66,https://www.yellowpages.com/woods-cross-ut/mip/phillips-66-476002699,"Gas Stations, Convenience Stores",801 294 7731,,Woods Cross,40.884045,-111.89892,Phillips 66,(801) 295-3241,UT,527 S 700 W,84087,801-295-3241,(801) 295-3241Call,2025-07-07T04:14:03.616Z,https://www.yellowpages.com/search?search_terms=801+295+3241,,https://www.phillips66gas.com
"527 S 700 WWoods Cross, UT 84087",Rb's Onestop,Phillips 66,https://www.yellowpages.com/woods-cross-ut/mip/phillips-66-476002699#photo-gallery,"Gas Stations, Convenience Stores",801 294 7731,,Woods Cross,40.884045,-111.89892,Phillips 66,(801) 295-3241,UT,527 S 700 W,84087,801-295-3241,(801) 295-3241Call,2025-07-07T04:14:05.652Z,https://www.yellowpages.com/search?search_terms=801+295+3241,,https://www.phillips66gas.com
"2694 S State StSouth Salt Lake, UT 84115",Western Union Agent Location,Western Union,https://www.yellowpages.com/south-salt-lake-ut/mip/western-union-530010524,"Money Transfer Service, Money Order Service",801 466 4255,,South Salt Lake,40.71296,-111.88853,Western Union,(801) 975-7188,UT,2694 S State St,84115,801-975-7188,(801) 975-7188Call,2025-07-07T04:14:15.852Z,https://www.yellowpages.com/search?search_terms=801+975+7188,,https://www.westernunion.com/global-services/find-locations/us/ut/south-salt-lake/aaa70e7ab31865922d3e6869f5e79806
"1881 W California AveSalt Lake City, UT 84104",,Tesoro,https://www.yellowpages.com/salt-lake-city-ut/mip/tesoro-474321545,"Convenience Stores, Gas Stations",,,Salt Lake City,40.740387,-111.943855,Tesoro,(801) 975-7188,UT,1881 W California Ave,84104,801-975-7188,(801) 975-7188Call,2025-07-07T04:14:19.051Z,https://www.yellowpages.com/search?search_terms=801+975+7188,,
"1881 W California AveSalt Lake City, UT 84104",,7-Eleven,https://www.yellowpages.com/salt-lake-city-ut/mip/7-eleven-461807490,"Convenience Stores, Gas Stations",,,Salt Lake City,40.740387,-111.943855,7-Eleven,(801) 975-7188,UT,1881 W California Ave,84104,801-975-7188,(801) 975-7188Call,2025-07-07T04:14:22.451Z,https://www.yellowpages.com/search?search_terms=801+975+7188,,
"1953 W California AveSalt Lake City, UT 84104","Sapp Brothers, Great American Restaurant-Sapp Bros",Sapp Bros Travel Centers,https://www.yellowpages.com/salt-lake-city-ut/mip/sapp-bros-travel-centers-468753146,"Gas Stations, Car Wash, Convenience Stores","801 977 3939, 801 977 8115",,Salt Lake City,40.74035,-111.94656,Sapp Bros Travel Centers,(801) 977-3900,UT,1953 W California Ave,84104,801-977-3900,(801) 977-3900Call,2025-07-07T04:14:32.702Z,https://www.yellowpages.com/search?search_terms=801+977+3900,,http://gar-sc.com
"1953 W California AveSalt Lake City, UT 84104",,Burger King - Closed,https://www.yellowpages.com/salt-lake-city-ut/mip/burger-king-closed-7900499,"Fast Food Restaurants, Hamburgers & Hot Dogs, Restaurants",,,Salt Lake City,40.74035,-111.94656,Burger King - Closed,(801) 977-3900,UT,1953 W California Ave,84104,801-977-3900,(801) 977-3900Call,2025-07-07T04:14:36.064Z,https://www.yellowpages.com/search?search_terms=801+977+3900,,https://burgerking.com/store-locator/store/restaurant_4785
"1414 S Industrial RdSalt Lake City, UT 84104",,Apple Barrel Restaurant,https://www.yellowpages.com/salt-lake-city-ut/mip/apple-barrel-restaurant-564562675,Restaurants,,,Salt Lake City,40.739834,-111.944954,Apple Barrel Restaurant,(801) 977-3900,UT,1414 S Industrial Rd,84104,801-977-3900,(801) 977-3900Call,2025-07-07T04:14:39.952Z,https://www.yellowpages.com/search?search_terms=801+977+3900,,
"2005 S 300 WSalt Lake City, UT 84115",,Premium Oil Co,https://www.yellowpages.com/salt-lake-city-ut/mip/premium-oil-co-458824850,Gas Stations,801 484 1662,,Salt Lake City,40.726715,-111.89952,Premium Oil Co,(801) 487-4721,UT,2005 S 300 W,84115,801-484-1662,(801) 487-4721Call,2025-07-07T04:14:50.518Z,https://www.yellowpages.com/search?search_terms=801+484+1662,,
"278 W 2100 SSalt Lake City, UT 84115",ExtraMile By Jacksons,ExtraMile,https://www.yellowpages.com/salt-lake-city-ut/mip/extramile-524726679,"Convenience Stores, Gas Stations",801 484 7385,,Salt Lake City,40.725616,-111.89889,ExtraMile,(801) 484-1662,UT,278 W 2100 S,84115,801-484-1662,(801) 484-1662Call,2025-07-07T04:14:53.959Z,https://www.yellowpages.com/search?search_terms=801+484+1662,,https://www.chevronextramile.com/station-finder/278-w-2100-s-salt-lake-city-ut-84115-id204060
"278 W 2100 SSalt Lake City, UT 84115",Western Union Agent Location,Western Union,https://www.yellowpages.com/salt-lake-city-ut/mip/western-union-537250002,"Money Transfer Service, Money Order Service",,,Salt Lake City,40.725616,-111.89889,Western Union,(801) 484-1662,UT,278 W 2100 S,84115,801-484-1662,(801) 484-1662Call,2025-07-07T04:14:57.905Z,https://www.yellowpages.com/search?search_terms=801+484+1662,,https://www.westernunion.com/us/en/agent-locator.html
"900 S 2025 WTaylorsville, UT 84129",,Flying J Travel Plaza,https://www.yellowpages.com/taylorsville-ut/mip/flying-j-travel-plaza-543831745,"Truck Stops, Convenience Stores, Gas Stations",877 866 7378,,Taylorsville,40.669994,-111.944244,Flying J Travel Plaza,(801) 972-3711,UT,900 S 2025 W,84129,801-972-3711,(801) 972-3711Call,2025-07-07T04:15:08.203Z,https://www.yellowpages.com/search?search_terms=801+972+3711,,https://pilotflyingj.com
"900 W 2100 SSalt Lake City, UT 84119",,"Pilot Flying J Parts, Svc. & Labor 74",https://www.yellowpages.com/salt-lake-city-ut/mip/pilot-flying-j-parts-svc-labor-74-20669818,"Auto Body Shops, Auto Glass Repair, Auto Parts, Auto Repair, Car Detailing, Oil Change, Roadside Assistance, Tire Shops, Towing, Window Tinting, Barber Shops, Beauty Salons, Beauty Supplies, Days Spas, Facial Salons, Hair Removal, Hair Supplies, Hair Stylists, Massage, Nail Salons, Ac Repair, Appliance Repair, Carpet Cleaning, Electricians, Garage Door Repair, Moving Companies, Pest Control Services, Plumbers, Self Storage, Boat Insurance, Business Insurance, Car Insurance, Dental Insurance, Disability Insurance, Flood Insurance, Home Insurance, Insurance, Liability Insurance, Life Insurance, Attorneys, Bail Bonds, Bankruptcy Attorneys, Car Accident Lawyer, Divorce Attorneys, Family Law Attorneys, Lie Detector Tests, Private Investigators, Process Servers, Stenographers, Tax Attorneys, Dentists, Dermatologists, Doctors, Endocrinologists, Gynecologists, Hospitals, Neurologists, Ophthalmologists, Optometrists, Physical Therapy, Podiatrists, Animal Shelters, Dog Training, Doggy Daycares, Emergency Vets, Kennels, Mobile Pet Grooming, Pet Boarding, Pet Cemeteries, Pet Grooming, Veterinary Clinics, Breakfast Restaurants, Chinese Restaurants, Cuban Restaurants, Italian Restaurants, Korean Restaurants, Mexican Restaurants, Seafood Restaurants, Sushi Bars, Thai Restaurants, Vegetarian Restaurants, Pizza Parlors, Fast Food Restaurants, Steak Houses, Family Style Restaurants, Barbecue Restaurants, Take Out Restaurants, Auto Body Shops, Auto Glass Repair, Auto Parts, Auto Repair, Car Detailing, Oil Change, Roadside Assistance, Tire Shops, Towing, Window Tinting, Barber Shops, Beauty Salons, Beauty Supplies, Days Spas, Facial Salons, Hair Removal, Hair Supplies, Hair Stylists, Massage, Nail Salons, Ac Repair, Appliance Repair, Carpet Cleaning, Electricians, Garage Door Repair, Moving Companies, Pest Control Services, Plumbers, Self Storage, Boat Insurance, Business Insurance, Car Insurance, Dental Insurance, Disability Insurance, Flood Insurance, Home Insurance, Insurance, Liability Insurance, Life Insurance, Attorneys, Bail Bonds, Bankruptcy Attorneys, Car Accident Lawyer, Divorce Attorneys, Family Law Attorneys, Lie Detector Tests, Private Investigators, Process Servers, Stenographers, Tax Attorneys, Dentists, Dermatologists, Doctors, Endocrinologists, Gynecologists, Hospitals, Neurologists, Ophthalmologists, Optometrists, Physical Therapy, Podiatrists, Animal Shelters, Dog Training, Doggy Daycares, Emergency Vets, Kennels, Mobile Pet Grooming, Pet Boarding, Pet Cemeteries, Pet Grooming, Veterinary Clinics, Breakfast Restaurants, Chinese Restaurants, Cuban Restaurants, Italian Restaurants, Korean Restaurants, Mexican Restaurants, Seafood Restaurants, Sushi Bars, Thai Restaurants, Vegetarian Restaurants, Pizza Parlors, Fast Food Restaurants, Steak Houses, Family Style Restaurants, Barbecue Restaurants, Take Out Restaurants",,,Salt Lake City,40.725765,-111.91704,"Pilot Flying J Parts, Svc. & Labor 74",(801) 972-3711,UT,900 W 2100 S,84119,801-972-3711,(801) 972-3711Call,2025-07-07T04:15:12.026Z,https://www.yellowpages.com/search?search_terms=801+972+3711,,
"2025 N Warm Springs RdSalt Lake City, UT 84116",,Flying J,https://www.yellowpages.com/salt-lake-city-ut/mip/flying-j-506347500,"Truck Stops, Convenience Stores, Gas Stations",801 972 6174,,Salt Lake City,40.811214,-111.920876,Flying J,(801) 972-3711,UT,2025 N Warm Springs Rd,84116,801-972-3711,(801) 972-3711Call,2025-07-07T04:15:15.874Z,https://www.yellowpages.com/search?search_terms=801+972+3711,,http://www.pilotflyingj.com
"1080 Medical DrBrigham City, UT 84302",,Flying J Travel Plaza,https://www.yellowpages.com/brigham-city-ut/mip/flying-j-travel-plaza-458317946,"Wholesale Gasoline, Gas Stations",,,Brigham City,41.487667,-112.02774,Flying J Travel Plaza,(435) 723-3924,UT,1080 Medical Dr,84302,435-723-3924,(435) 723-3924Call,2025-07-07T04:15:28.861Z,https://www.yellowpages.com/search?search_terms=435+723+3924,,
"1096 S Medical DrBrigham City, UT 84302",Flying J Fuel Stop,Flying J,https://www.yellowpages.com/brigham-city-ut/mip/flying-j-545933830,"Truck Stops, Convenience Stores, Gas Stations",435 734 0182,,Brigham City,41.48751,-112.028,Flying J,(435) 723-3924,UT,1096 S Medical Dr,84302,435-723-3924,(435) 723-3924Call,2025-07-07T04:15:31.900Z,https://www.yellowpages.com/search?search_terms=435+723+3924,,http://www.pilottravelcenters.com
"1096 S Medical DrBrigham City, UT 84302",,Phillips 66,https://www.yellowpages.com/brigham-city-ut/mip/phillips-66-474782026,"Gas Stations, Convenience Stores",435 723 0182,,Brigham City,41.48751,-112.028,Phillips 66,(435) 723-3924,UT,1096 S Medical Dr,84302,435-723-3924,(435) 723-3924Call,2025-07-07T04:15:35.091Z,https://www.yellowpages.com/search?search_terms=435+723+3924,,https://www.phillips66gas.com
"1050 W 200 NLogan, UT 84321",,Conoco,https://www.yellowpages.com/logan-ut/mip/conoco-560194284,"Gas Stations, Convenience Stores",,,Logan,41.735516,-111.85997,Conoco,(435) 753-7461,UT,1050 W 200 N,84321,435-753-7461,(435) 753-7461Call,2025-07-07T04:15:47.226Z,https://www.yellowpages.com/search?search_terms=435+753+7461,,
"1020 W 200 NLogan, UT 84321",Lw's Truck Stop,Texaco,https://www.yellowpages.com/logan-ut/mip/texaco-475981851,Gas Stations,"435 753 9611, 435 753 7461, 435 245 1712",,Logan,41.735516,-111.85993,Texaco,(435) 753-0326,UT,1020 W 200 N,84321,435-753-7461,(435) 753-0326Call,2025-07-07T04:15:50.836Z,https://www.yellowpages.com/search?search_terms=435+753+7461,,https://www.lwstravelplaza.com/contact
"1020 W 200 NLogan, UT 84321",Chevron Station #305502,Chevron,https://www.yellowpages.com/logan-ut/mip/chevron-483154785,"Gas Stations, Convenience Stores",435 753 7461,,Logan,41.735516,-111.85993,Chevron,(435) 753-7416,UT,1020 W 200 N,84321,435-753-7461,(435) 753-7416Call,2025-07-07T04:15:54.077Z,https://www.yellowpages.com/search?search_terms=435+753+7461,,
"90 S Stone RdSnowville, UT 84336",Western Union Agent Location,Western Union,https://www.yellowpages.com/snowville-ut/mip/western-union-559345604,"Money Transfer Service, Money Order Service",,,Snowville,41.963657,-112.71035,Western Union,(435) 872-8181,UT,90 S Stone Rd,84336,435-872-8181,(435) 872-8181Call,2025-07-07T04:16:03.676Z,https://www.yellowpages.com/search?search_terms=435+872+8181,,https://www.westernunion.com/us/en/agent-locator.html
"2267 W Main StTremonton, UT 84337",,Sinclair Gas Station,https://www.yellowpages.com/tremonton-ut/mip/sinclair-gas-station-496615746,"Gas Stations, Truck Stops",,,Tremonton,41.71074,-112.19952,Sinclair Gas Station,(435) 257-3530,UT,2267 W Main St,84337,435-257-3530,(435) 257-3530Call,2025-07-07T04:16:12.204Z,https://www.yellowpages.com/search?search_terms=435+257+3530,,
"2267 W Main StTremonton, UT 84337",,Sinclair Oil,https://www.yellowpages.com/tremonton-ut/mip/sinclair-oil-536639717,"Gas Stations, Convenience Stores",,,Tremonton,41.71074,-112.19952,Sinclair Oil,(435) 257-3530,UT,2267 W Main St,84337,435-257-3530,(435) 257-3530Call,2025-07-07T04:16:16.041Z,https://www.yellowpages.com/search?search_terms=435+257+3530,,
"2267 W Main StTremonton, UT 84337",,Rj's Fuel Stop,https://www.yellowpages.com/tremonton-ut/mip/rjs-fuel-stop-545382308,"Convenience Stores, Gas Stations",435 257 0658,,Tremonton,41.71074,-112.19952,Rj's Fuel Stop,(435) 257-3530,UT,2267 W Main St,84337,435-257-3530,(435) 257-3530Call,2025-07-07T04:16:19.258Z,https://www.yellowpages.com/search?search_terms=435+257+3530,,https://am-best.com/Travel-Centers/Location-Map?stopid=MUT-06
"5175 W 9600 NElwood, UT 84337",,CAT Scale,https://www.yellowpages.com/elwood-ut/mip/cat-scale-570307288,"Truck Stops, Gas Stations",877 228 7225,,Elwood,41.68312,-112.1408,CAT Scale,(435) 257-4710,UT,5175 W 9600 N,84337,435-257-4710,(435) 257-4710Call,2025-07-07T04:16:29.712Z,https://www.yellowpages.com/search?search_terms=435+257+4710,,http://catscale.com/?utm_medium=yext&utm_source=extnet
"9600 N 5200 WElwood, UT 84337",,Petroleum Wholesale,https://www.yellowpages.com/elwood-ut/mip/petroleum-wholesale-561085865,General Merchandise-Wholesale,,,Elwood,41.685757,-112.14117,Petroleum Wholesale,(435) 257-4710,UT,9600 N 5200 W,84337,435-257-4710,(435) 257-4710Call,2025-07-07T04:16:33.649Z,https://www.yellowpages.com/search?search_terms=435+257+4710,,http://petroleumwholesale.com
"5175 W 9600 NTremonton, UT 84337",,Texaco,https://www.yellowpages.com/tremonton-ut/mip/texaco-466847919,Gas Stations,801 955 6362,,Tremonton,41.68312,-112.1408,Texaco,(435) 257-4710,UT,5175 W 9600 N,84337,435-257-4710,(435) 257-4710Call,2025-07-07T04:16:37.356Z,https://www.yellowpages.com/search?search_terms=435+257+4710,,http://texaco.com
