Unnamed: 0,filename,record_num,clean_line1,clean_line2,line3,city,zip_code,label,phone,address,parking,gray_parking,identifier,year,panel,major_city,state,chain,p_identifier,identifier2,identifier3,places_place_id,places_name,places_formatted_address,places_vicinity,places_latitude,places_longitude,places_rating,places_types,places_business_status,places_search_method,places_status,places_formatted_phone,places_international_phone,places_website,places_street_number,places_street_name,places_city,places_state,places_postal_code,places_country,places_county,places_google_maps_link
23262,TF2016_260_275-1-ocr.csv,25,D Salt Lake City ( W ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),3 801-977-3900 1-215 Exit 21 ( California Ave E ),24 D XL 24,Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,1-215 Exit 21 ( California Ave E ),XL,XL,84104_801-977-3900,2016,1,Salt Lake City,UT,Sinclair,,84104_801-977-3900,84104_801-977-3900_Sinclair,ChIJ339MrG_1UocROTQPQPcegPw,Sinclair Gas Station,"210 S 700 E, Salt Lake City, UT 84102, USA","210 South 700 East, Salt Lake City",40.76466370000001,-111.8715384,4,"gas_station, convenience_store, store, food, point_of_interest, establishment",OPERATIONAL,NEARBY_SEARCH,SUCCESS,(801) 532-4821,+1 801-532-4821,https://www.sinclairoil.com/?utm_source=google&utm_medium=yext,210,South 700 East,Salt Lake City,UT,84102,US,Salt Lake County,https://www.google.com/maps/place/?q=place_id:ChIJ339MrG_1UocROTQPQPcegPw
23268,TF2016_260_275-1-ocr.csv,21,Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),3 801-484-1662 1-15-80 Exit 305 B ( 2100 S ),D <U+2610> <U+2610>,Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,1-15-80 Exit 305 B ( 2100 S ),,,84115_801-484-1662,2016,1,Salt Lake City,UT,Chevron,,84115_801-484-1662,84115_801-484-1662_Chevron,ChIJTaUSLdGKUocRU8wsW5TMOlA,Chevron,"278 W 2100 S Expy, Salt Lake City, UT 84115, USA","278 West 2100 South Expressway, Salt Lake City",40.7257667,-111.8992059,2.9,"gas_station, car_wash, convenience_store, point_of_interest, store, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 484-1662,+1 801-484-1662,http://www.chevronwithtechron.com/stations/station-finder.aspx,278,West 2100 South Expressway,Salt Lake City,UT,84115,US,Salt Lake County,https://www.google.com/maps/place/?q=place_id:ChIJTaUSLdGKUocRU8wsW5TMOlA
23274,TF2016_260_275-1-ocr.csv,20,Salt Lake City ( 84119 ) Flying J Travel Plaza # 746 FLYING,801-972-3711 I - 15 X 305 B / I - 80 WB X 122 / UT 201 EB,FLYING X17 J 24,Salt Lake City,84119,Flying J Travel Plaza # 746 FLYING,801-972-3711,I - 15 X 305 B / I - 80 WB X 122 / UT 201 EB,L,,84119_801-972-3711,2016,1,Salt Lake City,UT,Flying J,,84119_801-972-3711,84119_801-972-3711_Flying J,ChIJaWF9vi2LUocR6ragSIAJmv8,Flying J Travel Center,"2025 S 900 W, Salt Lake City, UT 84104, USA","2025 South 900 West, Salt Lake City",40.7266491,-111.9155922,3.6,"convenience_store, gas_station, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 972-3711,+1 801-972-3711,https://locations.pilotflyingj.com/us/ut/salt-lake-city/2025-s-900-w,2025,South 900 West,Salt Lake City,UT,84104,US,Salt Lake County,https://www.google.com/maps/place/?q=place_id:ChIJaWF9vi2LUocR6ragSIAJmv8
23280,TF2016_260_275-0-ocr.csv,7,Brigham City ( 84302 ) Bell's Fuel Stop ( 66 ),3 435-723-3924 1-15-84 Exit 362 ( 1 mi E - Medical Dr N ),S 24 <U+25A1>,Brigham City,84302,Bell's Fuel Stop ( 66 ),435-723-3924,1-15-84 Exit 362 ( 1 mi E - Medical Dr N ),S,,84302_435-723-3924,2016,1,Brigham City,UT,,,84302_435-723-3924,84302_435-723-3924_NA,ChIJl0yAa7x6U4cRuYH3LHP7sc0,BELLS BRIGHAM CITY,"1096 Medical Dr, Brigham City, UT 84302, USA","1096 Medical Drive, Brigham City",41.4871105,-112.0287599,4.4,"gas_station, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 723-3924,+1 435-723-3924,,1096,Medical Drive,Brigham City,UT,84302,US,Box Elder County,https://www.google.com/maps/place/?q=place_id:ChIJl0yAa7x6U4cRuYH3LHP7sc0
23286,TF2016_260_275-0-ocr.csv,28,Logan ( 84321 ) LW's Truck Stop ( Chevron ),435-753-7461 1020 UT 30 W & UT 252,24 M 24,Logan,84321,LW's Truck Stop ( Chevron ),435-753-7461,1020 UT 30 W & UT 252,M,M,84321_435-753-7461,2016,1,Logan,UT,Chevron,,84321_435-753-7461,84321_435-753-7461_Chevron,ChIJjQ3jJquAVIcRUrJAu-19C2w,L W's Truck Stop,"1000 W 200 N, Logan, UT 84321, USA","1000 West 200 North, Logan",41.7351291,-111.8601365,4.3,"gas_station, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 753-7461,+1 435-753-7461,https://www.lwstravelplaza.com/,1000,West 200 North,Logan,UT,84321,US,Cache County,https://www.google.com/maps/place/?q=place_id:ChIJjQ3jJquAVIcRUrJAu-19C2w
23292,TF2016_260_275-1-ocr.csv,29,B Snowville ( 84336 ) Flying J Fuel Stop # 774,435-872-8181 1-84 Exit 7,FLYING J 24 0240,Snowville,84336,Flying J Fuel Stop # 774,435-872-8181,1-84 Exit 7,L,L,84336_435-872-8181,2016,1,Snowville,UT,Flying J,,84336_435-872-8181,84336_435-872-8181_Flying J,ChIJd-z5it4tq4ARUWsTTTI646Y,Flying J Travel Center,"90 S Stone Rd, Snowville, UT 84336, USA","90 South Stone Road, Snowville",41.9635939,-112.7095853,4,"gas_station, convenience_store, store, point_of_interest, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 990-5135,+1 435-990-5135,https://locations.pilotflyingj.com/us/ut/snowville/90-south-stone-road,90,South Stone Road,Snowville,UT,84336,US,Box Elder County,https://www.google.com/maps/place/?q=place_id:ChIJd-z5it4tq4ARUWsTTTI646Y
23298,TF2016_260_275-1-ocr.csv,34,Tremonton ( 84337 ) RJ's Fuel Stop ( Sinclair ),3 435-257-3530 1-84 Exit 40 ( UT 102 E ),<U+2610> 020,Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,1-84 Exit 40 ( UT 102 E ),,,84337_435-257-3530,2016,1,Tremonton,UT,Sinclair,,84337_435-257-3530,84337_435-257-3530_Sinclair,ChIJx3QYKVeYVIcRjkdXPmBn4dA,Sinclair Gas Station,"2267 W Main St, Tremonton, UT 84337, USA","2267 West Main Street, Tremonton",41.7106726,-112.19993,3,"gas_station, convenience_store, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 257-3530,+1 435-257-3530,https://www.sinclairoil.com/?utm_source=google&utm_medium=yext,2267,West Main Street,Tremonton,UT,84337,US,Box Elder County,https://www.google.com/maps/place/?q=place_id:ChIJx3QYKVeYVIcRjkdXPmBn4dA
23304,TF2016_260_275-0-ocr.csv,15,Elwood ( 84337 ) Sunmart # 979 ( Texaco ),435-257-4710 1-15 Exit 376 ( UT 13 N ),24 <U+2610> S <U+25A1> <U+2610> <U+2610> <U+25A1>,Elwood,84337,Sunmart # 979 ( Texaco ),435-257-4710,1-15 Exit 376 ( UT 13 N ),S,S,84337_435-257-4710,2016,1,Tremonton,UT,Texaco,,84337_435-257-4710,84337_435-257-4710_Texaco,ChIJo_uXRP6bVIcR_BfpV_6XFp4,Texaco Truck stop,"5175 W 9600 N, Elwood, UT 84337, USA","5175 West 9600 North, Elwood",41.6829581,-112.1406205,3.8,"food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 257-4710,+1 435-257-4710,,5175,West 9600 North,Elwood,UT,84337,US,Box Elder County,https://www.google.com/maps/place/?q=place_id:ChIJo_uXRP6bVIcR_BfpV_6XFp4
23310,TF2016_260_275-1-ocr.csv,33,C Tremonton ( 84337 ) Golden Spike Travel Plaza ( Chevron ),435-257-7249 1-84 Exit 40 ( UT 102 E ),24 SO,Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,1-84 Exit 40 ( UT 102 E ),S,,84337_435-257-7249,2016,1,Tremonton,UT,Chevron,,84337_435-257-7249,84337_435-257-7249_Chevron,ChIJBYVAEVqYVIcRhuFnvqfRQRo,Miller's Golden Spike Travel Plaza,"2410 W Main St, Tremonton, UT 84337, USA","2410 West Main Street, Tremonton",41.7114989,-112.2018811,4.1,"atm, grocery_or_supermarket, finance, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 257-7249,+1 435-257-7249,,2410,West Main Street,Tremonton,UT,84337,US,Box Elder County,https://www.google.com/maps/place/?q=place_id:ChIJBYVAEVqYVIcRhuFnvqfRQRo
23316,TF2016_260_275-1-ocr.csv,42,Willard ( 84340 ) Flying J Travel Plaza # 748 FLYING,3 435-723-1010 1-15-84 Exit 357,24 DOMO <U+2610>,Willard,84340,Flying J Travel Plaza # 748 FLYING,435-723-1010,1-15-84 Exit 357,M,,84340_435-723-1010,2016,1,Willard,UT,Flying J,,84340_435-723-1010,84340_435-723-1010_Flying J,ChIJuSQ6dShuU4cRQLve2pfzg_w,Flying J Travel Center,"600 W 750 N, Willard, UT 84340, USA","600 West 750 North, Willard",41.42398499999999,-112.051637,4.1,"gas_station, convenience_store, store, point_of_interest, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 723-1010,+1 435-723-1010,https://locations.pilotflyingj.com/us/ut/willard/600-west-750-north,600,West 750 North,Willard,UT,84340,US,Box Elder County,https://www.google.com/maps/place/?q=place_id:ChIJuSQ6dShuU4cRQLve2pfzg_w
23322,TF2016_260_275-1-ocr.csv,6,Ogden ( 84401 ) Flying J Travel Plaza # 744,3 801-399-5577 1-15-84 Exit 343 ( UT 104 E ) FLYING,XL 24,Ogden,84401,Flying J Travel Plaza # 744,801-399-5577,1-15-84 Exit 343 ( UT 104 E ) FLYING,XL,,84401_801-399-5577,2016,1,Ogden,UT,Flying J,,84401_801-399-5577,84401_801-399-5577_Flying J,ChIJRworul0OU4cR3NJvzgs7rho,Flying J Travel Center,"1172 W 21st St, Ogden, UT 84401, USA","1172 West 21st Street, Ogden",41.2306945,-112.0076735,3.9,"convenience_store, gas_station, store, food, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 849-3414,+1 801-849-3414,https://locations.pilotflyingj.com/us/ut/ogden/1172-west-21st-street,1172,West 21st Street,Ogden,UT,84401,US,Weber County,https://www.google.com/maps/place/?q=place_id:ChIJRworul0OU4cR3NJvzgs7rho
23328,TF2016_260_275-1-ocr.csv,8,Ogden ( 84401 ) Pilot Travel Center # 294,801-731-2900 1-15-84 Exit 344 ( UT 39 W ),Pilot 24 <U+2610> MO,Ogden,84401,Pilot Travel Center # 294,801-731-2900,1-15-84 Exit 344 ( UT 39 W ),M,M,84401_801-731-2900,2016,1,Ogden,UT,Pilot,,84401_801-731-2900,84401_801-731-2900_Pilot,ChIJRworul0OU4cR3NJvzgs7rho,Flying J Travel Center,"1172 W 21st St, Ogden, UT 84401, USA","1172 West 21st Street, Ogden",41.2306945,-112.0076735,3.9,"gas_station, convenience_store, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 849-3414,+1 801-849-3414,https://locations.pilotflyingj.com/us/ut/ogden/1172-west-21st-street,1172,West 21st Street,Ogden,UT,84401,US,Weber County,https://www.google.com/maps/place/?q=place_id:ChIJRworul0OU4cR3NJvzgs7rho
23334,TF2016_260_275-1-ocr.csv,7,Ogden ( 84401 ) Super Stop ( Shell ),3 801-731-3437 1-15-84 Exit 343 ( UT 104 W ),<U+25A1>,Ogden,84401,Super Stop ( Shell ),801-731-3437,1-15-84 Exit 343 ( UT 104 W ),,,84401_801-731-3437,2016,1,Ogden,UT,Shell,,84401_801-731-3437,84401_801-731-3437_Shell,ChIJEXXy32kOU4cRASyqxjh67fM,Shell,"1514 2100 S St, Ogden, UT 84401, USA","1514 2100 South Street, Ogden",41.2289478,-112.0163864,3.6,"gas_station, convenience_store, store, restaurant, point_of_interest, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(801) 731-3437,+1 801-731-3437,https://find.shell.com/us/fuel/10090281-1514-w-2100-s/en_US,1514,2100 South Street,Ogden,UT,84401,US,Weber County,https://www.google.com/maps/place/?q=place_id:ChIJEXXy32kOU4cRASyqxjh67fM
23340,TF2016_260_275-0-ocr.csv,22,G Green River ( 84525 ) West Winds Truck Stop ( Pilot # 892 ) Pilot,5 435-564-3495 1-70 Exit 160 EB / 164 WB,24 24,Green River,84525,West Winds Truck Stop ( Pilot # 892 ) Pilot,435-564-3495,1-70 Exit 160 EB / 164 WB,,,84525_435-564-3495,2016,1,Green River,UT,Pilot,,84525_435-564-3495,84525_435-564-3495_Pilot,ChIJWQl8kpj6SIcRL37Q3G6yFHw,Pilot Dealer,"1085 E Main St, Green River, UT 84525, USA","1085 East Main Street, Green River",38.995598,-110.148518,3.8,"gas_station, convenience_store, store, food, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 564-3495,+1 435-564-3495,https://pilotflyingj.com/stores/,1085,East Main Street,Green River,UT,84525,US,Emery County,https://www.google.com/maps/place/?q=place_id:ChIJWQl8kpj6SIcRL37Q3G6yFHw
23346,TF2016_260_275-0-ocr.csv,21,G Green River ( 84525 ) Gas - N - Go # 13 ( Conoco ),435-564-8262 1-70 Exit 160,24 XL D O,Green River,84525,Gas - N - Go # 13 ( Conoco ),435-564-8262,1-70 Exit 160,XL,XL,84525_435-564-8262,2016,1,Green River,UT,Conoco,,84525_435-564-8262,84525_435-564-8262_Conoco,ChIJtTeU9HDwSIcRHVDCeFWAA-g,Conoco,"1224 E Main St, Green River, UT 84525, USA","1224 East Main Street, Green River",38.9905741,-110.1327351,4.1,"gas_station, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 564-8600,+1 435-564-8600,https://www.conoco.com/station/con-good-2-go-422-0000881105/?utm_source=G&utm_medium=local&utm_campaign=google-local&utm_source=G&utm_medium=local&utm_campaign=google-local,1224,East Main Street,Green River,UT,84525,US,Emery County,https://www.google.com/maps/place/?q=place_id:ChIJtTeU9HDwSIcRHVDCeFWAA-g
23352,TF2016_260_275-1-ocr.csv,0,Monticello ( 84535 ) 7 - Eleven ( Shell ),7 435-587-2555 US 191 & US 491,"24 "" M O",Monticello,84535,7 - Eleven ( Shell ),435-587-2555,US 191 & US 491,M,,84535_435-587-2555,2016,1,Monticello,UT,Eleven,,84535_435-587-2555,84535_435-587-2555_Eleven,ChIJrXwOR2M7OIcR-K8VX1JPsRE,7-Eleven,"17 N Main St, Monticello, UT 84535, USA","17 North Main Street, Monticello",37.87292,-109.34317,2.9,"convenience_store, point_of_interest, store, food, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 587-2555,+1 435-587-2555,http://www.resortretailers.com/,17,North Main Street,Monticello,UT,84535,US,San Juan County,https://www.google.com/maps/place/?q=place_id:ChIJrXwOR2M7OIcR-K8VX1JPsRE
23358,TF2016_260_275-0-ocr.csv,14,F Delta ( 84624 ) Chevron Fuel Stop,435-864-4671 US 6 & US 50,""" S <U+2610> <U+2610> <U+2610>",Delta,84624,Chevron Fuel Stop,435-864-4671,US 6 & US 50,S,,84624_435-864-4671,2016,1,Delta,UT,Chevron,,84624_435-864-4671,84624_435-864-4671_Chevron,ChIJcdjSTYfKTIcRAW5DU2TNDOo,Chevron,"76 E Hwy 6, Delta, UT 84624, USA","76 East Highway 6, Delta",39.35345,-112.563961,4.4,"gas_station, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 864-4834,+1 435-864-4834,https://www.chevronwithtechron.com/en_us/home/gas-station-near-me.html?/station/76-NORTH-HWY-6-DELTA-UT-84624-id375592,76,East Highway 6,Delta,UT,84624,US,Millard County,https://www.google.com/maps/place/?q=place_id:ChIJcdjSTYfKTIcRAW5DU2TNDOo
23364,TF2016_260_275-0-ocr.csv,17,G Fillmore ( 84631 ) Sunmart # 807 ( Texaco ),3 435-743-4823 1-15 Exit 163,24 MOO O,Fillmore,84631,Sunmart # 807 ( Texaco ),435-743-4823,1-15 Exit 163,M,,84631_435-743-4823,2016,1,Fillmore,UT,Texaco,,84631_435-743-4823,84631_435-743-4823_Texaco,ChIJj2873HNbS4cRWmvec4MuN_E,Sunmart Travel Center,"885 S Park Ave, Fillmore, UT 84631, USA","885 South Park Avenue, Fillmore",38.9502451,-112.3527763,3.8,"gas_station, food, point_of_interest, store, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 743-4823,+1 435-743-4823,http://petroleumwholesale.com/,885,South Park Avenue,Fillmore,UT,84631,US,Millard County,https://www.google.com/maps/place/?q=place_id:ChIJj2873HNbS4cRWmvec4MuN_E
23370,TF2016_260_275-0-ocr.csv,18,G Fillmore ( 84631 ) Miller Chevron,435-743-6508 1-15 Exit 167,24 S D,Fillmore,84631,Miller Chevron,435-743-6508,1-15 Exit 167,S,,84631_435-743-6508,2016,1,Fillmore,UT,Chevron,,84631_435-743-6508,84631_435-743-6508_Chevron,ChIJAQAA_wRcS4cRbai66FSVYtI,Chevron,"1155 Cedar Mountain Rd, Fillmore, UT 84631, USA","1155 Cedar Mountain Road, Fillmore",38.9942698,-112.3240015,3.8,"gas_station, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 743-6508,+1 435-743-6508,https://www.chevron.com/,1155,Cedar Mountain Road,Fillmore,UT,84631,US,Millard County,https://www.google.com/maps/place/?q=place_id:ChIJAQAA_wRcS4cRbai66FSVYtI
23376,TF2016_260_275-0-ocr.csv,19,Fillmore ( 84631 ) Steve's Tire & Oil ( Sinclair ),435-743-6860 1-15 Exit 167 ( 1/4 mi S ),<U+25A1> <U+25A1> <U+25A1>,Fillmore,84631,Steve's Tire & Oil ( Sinclair ),435-743-6860,1-15 Exit 167 ( 1/4 mi S ),,,84631_435-743-6860,2016,1,Fillmore,UT,Sinclair,,84631_435-743-6860,84631_435-743-6860_Sinclair,ChIJbyNyNA1cS4cRXytLoXO7HKc,Steve's Point S,"615 N Main St, Fillmore, UT 84631, USA","615 North Main Street, Fillmore",38.9821814,-112.3242448,4.7,"store, car_repair, point_of_interest, establishment",OPERATIONAL,TEXT_SEARCH,SUCCESS,(435) 743-6860,+1 435-743-6860,https://www.pointstire.com/steves?utm_source=extnet&utm_medium=yext,615,North Main Street,Fillmore,UT,84631,US,Millard County,https://www.google.com/maps/place/?q=place_id:ChIJbyNyNA1cS4cRXytLoXO7HKc
