id,lat,lon,type,highway,ref,name,source,source_ref,milepost:county,milepost:state,towards,is_in:state_code,old_ref,note:ref,unsigned_ref,noref,note,official_name,ref:left,ref:right,unsigned:ref,fixme,FIXME,source:imagery,noname,old_exit_to,destination,FIXME:ref,destination:ref,odbl,fuel:cng,source:exit_to,unsigned,noref:left,maxspeed,destination:street,check_date,unsigned_ref:right,tiger:reviewed,traffic_sign,traffic_sign:direction,ref:signed,status,exit_to,junction:ref,unsigned_ref:left,description,start_date,construction,proposed:highway
667825,34.1346494,-117.6419393,node,motorway_junction,56,Unnamed Exit,bing_imagery_0.25m_200601;survey;image,AM909_DSCW8622,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667855,34.1201567,-117.6997866,node,motorway_junction,52,Unnamed Exit,bing_imagery_0.06m_200801;survey;image,AM909_DSCW8605,51.91,51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667885,34.1197751,-117.7901155,node,motorway_junction,47,Unnamed Exit,bing_imagery_0.06m_200801;survey;image,AM909_DSCP7534,46.66,46.66,La Verne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667895,34.1209942,-117.8324762,node,motorway_junction,44B,Unnamed Exit,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667897,34.1202098,-117.8369495,node,motorway_junction,44A,Unnamed Exit,bing_imagery_0.06m_200801;survey;image,AM909_IMG_0353,,,Santa Ana,CA,45,missing from Caltrans list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667918,34.1208491,-117.8794968,node,motorway_junction,42,Unnamed Exit,bing_imagery_0.06m_200801;survey;image,AM909_DSCW8547,,,Glendora,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667922,34.1208735,-117.8944726,node,motorway_junction,41,Unnamed Exit,bing_imagery_0.06m_200801;survey;image;CDOT,AM909_DSCW8544,,,Covina,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668142,34.072529,-117.9996619,node,motorway_junction,22,Unnamed Exit,bing_imagery_0.06m_200801;survey;image;CDOT,AM909_IMG_0177,,,San Bernardino;Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668182,33.927475,-118.1035122,node,motorway_junction,10,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCU3966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668183,33.9237163,-118.104409,node,motorway_junction,,Unnamed Exit,,,,,,,,,9C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10565341,34.0234837,-118.1727565,node,motorway_junction,19,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV1401,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10565353,33.9347524,-118.1767682,node,motorway_junction,12B,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCS8452,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10683747,34.3200555,-118.4948647,node,motorway_junction,161A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11931818,34.1491781,-118.0511656,node,motorway_junction,31,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13885935,34.0790025,-118.2274504,node,motorway_junction,,Unnamed Exit,,,,,,,,,26A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14806184,34.4406357,-118.6001923,node,motorway_junction,172,Unnamed Exit,usgs_imagery_2006;survey;image,AM909_DSCV3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14840394,33.7611078,-117.863661,node,motorway_junction,105A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14840398,33.7353994,-117.8186491,node,motorway_junction,101B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14840399,33.7134232,-117.7865613,node,motorway_junction,99,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920985,34.0946238,-118.2060777,node,motorway_junction,27,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14956244,34.1111627,-118.1815415,node,motorway_junction,,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV2714,,,,CA,,,,yes,Signed Marmion/64. CDOT says York/Pasadena.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14970639,33.7862564,-118.0937659,node,motorway_junction,23,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14974918,33.8818549,-118.191717,node,motorway_junction,8B,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCS8470,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14995402,34.0915116,-118.2397004,node,motorway_junction,138,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV3532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15068953,34.0655596,-118.164413,node,motorway_junction,,Unnamed Exit,bing_imagery_0.06m_200801;CDOT,,,,Los Angeles,CA,,,22A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15258878,33.8773112,-118.1352824,node,motorway_junction,15A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15261772,34.0848833,-118.2193243,node,motorway_junction,26A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15282069,33.838994,-117.8342297,node,motorway_junction,17,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCU4040,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15380188,34.0598866,-118.2518519,node,motorway_junction,24A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15390917,33.9391262,-117.8766481,node,motorway_junction,11,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15390926,33.9962933,-117.840074,node,motorway_junction,,Unnamed Exit,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15390984,34.0332489,-118.144666,node,motorway_junction,4,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15682484,34.171669,-118.1580057,node,motorway_junction,23,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15682495,34.2049337,-118.1954858,node,motorway_junction,20,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15683076,35.1214801,-118.126707,node,motorway_junction,73,Unnamed Exit,usgs_imagery_2008;survey;image,AM909_DSCW1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15711750,35.1014041,-118.1504142,node,motorway_junction,167,Unnamed Exit,usgs_imagery_2008;survey;image,AM909_DSCW1191,,,Bishop;Mojave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15711912,34.4669091,-118.3260754,node,motorway_junction,15,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15711943,34.3443827,-118.5049039,node,motorway_junction,1,Newhall Pass Interchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15711955,34.3312016,-118.5072868,node,motorway_junction,161B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15857120,34.0285821,-118.4484131,node,motorway_junction,2B,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCS6353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15972513,36.9751771,-121.893154,node,motorway_junction,433B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15972522,36.9840428,-121.9334516,node,motorway_junction,436,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16577346,33.8818632,-117.5476876,node,motorway_junction,50,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16582687,34.049988,-118.2225479,node,motorway_junction,1D,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18153986,34.0976985,-118.3141297,node,motorway_junction,8A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18165986,33.9786439,-118.3917168,node,motorway_junction,49,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18166124,34.030721,-118.4368802,node,motorway_junction,3B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18208083,34.1338907,-118.3521339,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18308824,33.8430237,-118.0905788,node,motorway_junction,5A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19344824,33.8173563,-117.9176483,node,motorway_junction,110A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19344845,33.5245897,-117.66762,node,motorway_junction,83,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19345060,33.4418005,-117.627369,node,motorway_junction,76,Unnamed Exit,yahoo_imagery;survey;image,AM909_DSCU2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19828298,34.0969719,-118.2530589,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19828340,34.1589286,-118.2250685,node,motorway_junction,18,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19828348,34.1989164,-118.219557,node,motorway_junction,,Unnamed Exit,,,,,,,,,21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20189449,34.1170889,-118.2692217,node,motorway_junction,141A,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20399963,34.0662594,-118.241274,node,motorway_junction,24B,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV1593,,,,,24,,,,"Sign above says Exit 24 (not 24B), but gore point and CDOT say 24B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20400047,34.0764317,-118.2311816,node,motorway_junction,25,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20400087,34.0810016,-118.2250356,node,motorway_junction,26B,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV1598,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20659737,34.152803,-118.3355128,node,motorway_junction,2,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20820565,34.1548861,-118.2888255,node,motorway_junction,144,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20820632,34.1279196,-118.2738191,node,motorway_junction,141,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20854038,34.1550257,-118.240104,node,motorway_junction,8,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20857671,34.1544625,-118.3146497,node,motorway_junction,4,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20857688,34.1523808,-118.3343065,node,motorway_junction,3,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20930309,34.1733661,-118.306519,node,motorway_junction,145B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20930311,34.1715523,-118.3059347,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20954462,34.1500293,-118.2799111,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20955673,33.9265923,-118.177894,node,motorway_junction,12,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCU5112,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20972501,33.8553269,-117.9697371,node,motorway_junction,24,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20972899,33.9845784,-118.1335038,node,motorway_junction,128A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20972936,33.8706301,-118.0057323,node,motorway_junction,117,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21063546,33.9361741,-118.093001,node,motorway_junction,,Unnamed Exit,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21063562,33.8697543,-118.099954,node,motorway_junction,,Unnamed Exit,,,,,,,,,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21063602,34.0237846,-118.2436,node,motorway_junction,,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCS6288,,,,,,,15A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21063610,34.0344255,-118.2666035,node,motorway_junction,13,Unnamed Exit,survey;image;usgs_imagery,AM909_DSCS6293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21063619,34.0687318,-118.2581893,node,motorway_junction,4A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21098478,34.0384659,-118.2749393,node,motorway_junction,12,Unnamed Exit,survey;image;usgs_imagery,AM909_DSCS6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300155,33.9513077,-118.3961378,node,motorway_junction,,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21420499,34.047287,-118.214553,node,motorway_junction,135B,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV3509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21478645,34.1152994,-118.2685532,node,motorway_junction,140B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21490199,34.1215755,-118.2715884,node,motorway_junction,141B,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21569368,34.0882714,-118.304762,node,motorway_junction,7,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21703066,34.227095,-118.3835771,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21703085,34.1749933,-118.3928099,node,motorway_junction,7,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21703087,34.1688796,-118.3848686,node,motorway_junction,6B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912473,34.2104095,-118.346308,node,motorway_junction,149,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24960494,34.0255815,-118.4289034,node,motorway_junction,53B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24960503,34.1080794,-118.2587401,node,motorway_junction,140A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24970607,34.1035387,-118.1918556,node,motorway_junction,28B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25266664,33.7798684,-118.0900368,node,motorway_junction,24,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25266693,34.0511389,-118.005945,node,motorway_junction,21,Unnamed Exit,bing_imagery_0.06m_200801;survey;image;CDOT,AM909_DSCW8499;AM909_DSCW8500,19.39,21.03,Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25266704,34.0654217,-117.9999009,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25266721,34.0684278,-118.0383071,node,motorway_junction,28,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCP8898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25274550,34.1010223,-118.24879,node,motorway_junction,138,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25457926,36.9998295,-121.5558922,node,motorway_junction,356,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25464338,34.1055455,-118.254328,node,motorway_junction,,Unnamed Exit,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25510417,33.9296248,-118.3682698,node,motorway_junction,46,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25522147,33.7330299,-117.8340239,node,motorway_junction,10,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCU4118,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25583729,34.1236951,-118.2730731,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25583730,34.120143,-118.2712901,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25678982,34.044751,-118.1700117,node,motorway_junction,20B,Unnamed Exit,usgs_imagery;survey;image;CDOT,AM909_DSCV1393,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25679008,34.0412573,-118.0598467,node,motorway_junction,10A,Unnamed Exit,bing_imagery_0.06m_200801;survey;image;CDOT,AM909_IMG_0197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25679032,33.9941675,-117.909619,node,motorway_junction,19,Unnamed Exit,bing_imagery_0.06m_200801;survey;image,AM909_DSCX0908,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25679036,34.0009978,-117.841938,node,motorway_junction,24A,Unnamed Exit,bing_imagery_0.06m_200801;survey;image,AM909_DSCX0918,,,Santa Ana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25726911,34.2219186,-118.362812,node,motorway_junction,150B,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25903392,33.9301609,-118.3695603,node,motorway_junction,2A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25903957,34.1893818,-118.3240798,node,motorway_junction,147B,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25954603,34.1072667,-118.1867412,node,motorway_junction,29,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26028045,37.3954537,-122.0686987,node,motorway_junction,23,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26028109,37.4085725,-122.0692403,node,motorway_junction,399A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26028114,37.4196342,-122.090243,node,motorway_junction,400B;400A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26028129,37.4819548,-122.177346,node,motorway_junction,406,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26028723,37.3820969,-122.0221489,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26028729,37.3790047,-122.0155135,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26029085,37.3863605,-122.0456184,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26029664,37.3780709,-122.0675449,node,motorway_junction,22B,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26029675,37.3869806,-122.0451271,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26029682,37.3894618,-122.0623967,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26029683,37.3914603,-122.0674461,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26029880,37.5418427,-122.2852771,node,motorway_junction,414A,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26031433,37.3902556,-121.9924729,node,motorway_junction,394,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26117820,37.4022489,-122.030742,node,motorway_junction,3A,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26197047,33.9218491,-118.178348,node,motorway_junction,11A,Unnamed Exit,survey;image;usgs_imagery;CDOT,AM909_DSCS8457,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26240871,37.3848221,-122.0346404,node,motorway_junction,,Unnamed Exit,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26390278,34.2788717,-118.3974859,node,motorway_junction,6B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26390301,34.3308526,-118.5062062,node,motorway_junction,162,Unnamed Exit,image;survey;usgs_imagery_2006,AM909_DSCV3643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26390385,34.7945861,-118.8476958,node,motorway_junction,202,Unnamed Exit,usgs_imagery_2006;survey;image;CDOT,AM909_DSCV3824,,,,,,,,,,Gorman Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26390617,36.0862469,-120.1116018,node,motorway_junction,,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/5.pdf,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26404800,37.2065229,-121.7178671,node,motorway_junction,373,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
