state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,Phone 2,Hours of Operation,# of Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,# of Reserved Parking Spots,# of Paid Parking Spots,Fax,Phone 3,# of Men's Showers,Diesel,Bulk Def,Unleaded,Propane,Phone 4,Mailing Address,Mile Marker,Phone 5,Road Name,https
27,North Dakota,FARMERS UNION OIL,location_details.php?id=54283,https://www.truckstopsandservices.com/location_details.php?id=54283,Trucker,cenex--300_0,47.920313,-100.377421,US 52,969 HWY 52 E,DRAKE,ND,58736,701-465-3283 (TRAVEL CENTER),,6AM TO 9PM DAILY,10,2,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,FLYING J DEALER #511 - FREEWAY 147 TRUCK STOP,location_details.php?id=1144,https://www.truckstopsandservices.com/location_details.php?id=1144,Trucker,flying-j-,46.85952,-101.008772,I-94,3825 BUSINESS LOOP I94,MANDAN,ND,58554,701-663-6922 (TRAVEL CENTER),701-667-4668 (ROLLING HILLS),24 HOURS,125,5,5,0,147,0,0,701-663-0331,701-663-8663 (SUBWAY),,3.759,4.259,,,,,,,,
27,North Dakota,FLYING J TRAVEL CENTER #489,location_details.php?id=356,https://www.truckstopsandservices.com/location_details.php?id=356,Trucker,flying-j-,47.889251,-97.094256,I-29,4401 32ND AVE S,GRAND FORKS,ND,58201,701-738-0017 (TRAVEL CENTER),701-746-1494 (SUBWAY),24 HOURS,125,10,10,0,138,5,5,701-746-4342,,,3.599,4.259,2.759,,,,,,,
27,North Dakota,FLYING J TRAVEL CENTER #550,location_details.php?id=11267,https://www.truckstopsandservices.com/location_details.php?id=11267,Trucker,flying-j-,48.223485,-101.350547,US 2,3800 HWY 2,MINOT,ND,58701,701-839-5061 (TRAVEL CENTER),701-839-5061 (SUBWAY),24 HOURS,100,8,4,0,US 83,4,4,701-839-3623,,,3.699,4.259,2.899,,,,,,,
27,North Dakota,FLYING J TRAVEL CENTER #684,location_details.php?id=17615,https://www.truckstopsandservices.com/location_details.php?id=17615,Trucker,flying-j-,46.929074,-104.007996,I-94,I-94 ND-16,BEACH,ND,58621,701-872-4737 (TRAVEL CENTER),701-872-4737 (SUBWAY),24 HOURS,89,5,4,0,1,5,5,701-872-4985,,,3.859,4.259,2.899,,,,,,,
27,North Dakota,FLYING J TRAVEL CENTER #685,location_details.php?id=17617,https://www.truckstopsandservices.com/location_details.php?id=17617,Trucker,flying-j-,46.832856,-96.844355,I-29,3150 39TH ST SW,FARGO,ND,58104,701-282-7766 (TRAVEL CENTER),701-282-7766 (HUDDLEHOUSE),24 HOURS,168,11,9,5,62,0,0,701-282-7259,701-282-7766 (BOSS SHOP),,3.499,4.259,2.669,3.799,,,,,,
27,North Dakota,FRONTIER TRAVEL CENTER,location_details.php?id=11271,https://www.truckstopsandservices.com/location_details.php?id=11271,Trucker,exxon,46.177759,-103.406767,US 12,705 US 12 W,BOWMAN,ND,58623,701-523-4737 (TRAVEL CENTER),,24 HOURS,80,4,4,0,,0,0,701-523-4740,,,,,,,,,,,,
27,North Dakota,GASTRAK,location_details.php?id=1201,https://www.truckstopsandservices.com/location_details.php?id=1201,Trucker,ind_dealer_1,48.970369,-97.254967,I-29,700 W STUTSMAN ST,PEMBINA,ND,58271,701-825-6275 (TRAVEL CENTER),,24 HOURS,50,4,2,0,215,0,0,701-825-6278,,,,,,,,,,,,
27,North Dakota,GOOD OIL,location_details.php?id=11258,https://www.truckstopsandservices.com/location_details.php?id=11258,Trucker,tesoro-,46.363966,-98.07664,ND 1,204 1ST ST,VERONA,ND,58490,701-432-5541 (TRAVEL CENTER),,6AM TO 7PM DAILY,0,2,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,GORDY'S TRAVEL PLAZA,location_details.php?id=45645,https://www.truckstopsandservices.com/location_details.php?id=45645,Trucker,tesoro-,46.876146,-97.210508,I-94,15556 37TH ST SE,CASSELTON,ND,58012,701-347-5217 (TRAVEL CENTER),701-347-5578 (SUBWAY),5AM TO 11PM DAILY,50,4,0,2,331,0,0,,,,,,,,,,,,,
27,North Dakota,HOLIDAY #432,location_details.php?id=54401,https://www.truckstopsandservices.com/location_details.php?id=54401,Trucker,circle_k__3774,48.30629,-102.39895,US 2,402 WESTVIEW LN,STANLEY,ND,58784,701-628-4330 (TRAVEL CENTER),701-628-4330 (HOT STUFF PIZZA),24 HOURS,5,5,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,INTERSTATE CENEX,location_details.php?id=45642,https://www.truckstopsandservices.com/location_details.php?id=45642,Trucker,cenex--300_0,46.928773,-104.007422,I-94,16890 I-94,BEACH,ND,58621,701-872-3590 (TRAVEL CENTER),,6AM TO 8PM DAILY,10,5,0,0,1,0,0,701-872-4536,,,,,,,,,,,,
27,North Dakota,INTERSTATE TESORO,location_details.php?id=54436,https://www.truckstopsandservices.com/location_details.php?id=54436,Trucker,tesoro-,46.8879,-98.717949,I-94,2015 8TH AVE SW,JAMESTOWN,ND,58401,701-251-2837 (TRAVEL CENTER),,6AM TO 11PM DAILY,3,4,0,0,258,0,0,701-252-4405,,,,,,,,,,,,
27,North Dakota,KUM & GO,location_details.php?id=43964,https://www.truckstopsandservices.com/location_details.php?id=43964,Trucker,kumngo-,48.396436,-102.930272,ND 40,518 2ND ST,TIOGA,ND,58852,701-664-2993 (TRAVEL CENTER),,24 HOURS,4,2,0,0,,,,,,,,,,,,,,,,
27,North Dakota,LITTLE MART,location_details.php?id=11273,https://www.truckstopsandservices.com/location_details.php?id=11273,Trucker,sinclair_oil_.svg,47.776511,-99.948553,US 52,708 HWY 52,HARVEY,ND,58341,701-324-4964 (TRAVEL CENTER),,6AM TO 10PM DAILY,15,2,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,LOAF 'N JUG,location_details.php?id=1717,https://www.truckstopsandservices.com/location_details.php?id=1717,Trucker,ind_dealer_1,47.933205,-97.091347,I-29,4326 GATEWAY DR,GRAND FORKS,ND,58203,701-775-2537 (TRAVEL CENTER),,24 HOURS,5,5,0,0,141,0,0,,,,,,,,,,,,,
27,North Dakota,LOVE'S TRAVEL STOP #353,location_details.php?id=22193,https://www.truckstopsandservices.com/location_details.php?id=22193,Trucker,loves-travel-stops-country-stores_416x416,46.830659,-96.845639,I-29,3220 39TH ST,FARGO,ND,58104,701-281-0761 (TRAVEL CENTER),701-281-0761 (MCDONALD'S),24 HOURS,96,8,5,1,62,0,0,701-281-0763,701-281-0761 (SUBWAY),,,,,,,,,,,
27,North Dakota,LOVE'S TRAVEL STOP #474,location_details.php?id=37631,https://www.truckstopsandservices.com/location_details.php?id=37631,Trucker,loves-travel-stops-country-stores_416x416,48.243194,-103.619203,US 2,104 E 104TH ST E,WILLISTON,ND,58801,701-572-3578 (TRAVEL CENTER),701-572-3578 (CHESTER'S FRIED CHICKEN),24 HOURS,75,8,5,2,DEPOT LANE,0,0,701-572-3987,701-572-3578 (GODFATHER'S PIZZA),,,,,,,,,,,
27,North Dakota,LOVE'S TRAVEL STOP #843,location_details.php?id=56678,https://www.truckstopsandservices.com/location_details.php?id=56678,Trucker,loves-travel-stops-country-stores_416x416,48.569637,-97.19039,I-29,7988 160TH AVE NE,DRAYTON,ND,58225,701-454-3070 (TRAVEL CENTER),701-454-3070 (TACO JOHN'S),24 HOURS,63,6,4,0,187,0,0,701-454-3076,,,,,,,,,,,,
27,North Dakota,LOVE'S TRAVEL STOP #849,location_details.php?id=53840,https://www.truckstopsandservices.com/location_details.php?id=53840,Trucker,loves-travel-stops-country-stores_416x416,46.908234,-98.007616,I-94,1385 8TH AVE SW,VALLEY CITY,ND,58072,701-760-5015 (TRAVEL CENTER),701-760-5015 (MCDONALD'S),24 HOURS,85,7,7,,292,0,0,701-760-5015,,,,,,,,,,,,
27,North Dakota,NEPSTAD'S STOP N SHOP,location_details.php?id=54733,https://www.truckstopsandservices.com/location_details.php?id=54733,Trucker,ind_dealer_1,47.23883,-97.014,I-29,12 ST SE,GRANDIN,ND,58038,701-484-5326 (TRAVEL CENTER),,6AM TO 10PM DAILY,2,2,0,0,92,0,0,,,,,,,,,,,,,
27,North Dakota,PATRIOT FUELS,location_details.php?id=45646,https://www.truckstopsandservices.com/location_details.php?id=45646,Trucker,arco-,48.050351,-98.749973,US 2,8685 US 2,DEVILS LAKE,ND,58301,701-662-0890 (TRAVEL CENTER),,6AM TO 10PM DAILY,100,4,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,PETRO SERVE,location_details.php?id=3027,https://www.truckstopsandservices.com/location_details.php?id=3027,Trucker,marathon,46.876656,-96.824837,I-29,2903 MAIN AVE,FARGO,ND,58103,701-232-7511 (TRAVEL CENTER),,5AM TO 11PM DAILY,8,4,0,0,66,0,0,701-297-5916,,,,,,,,,,,,
27,North Dakota,PETRO SERVE USA,location_details.php?id=1480,https://www.truckstopsandservices.com/location_details.php?id=1480,Trucker,marathon,46.912872,-98.01141,I-94,1020 8TH AVE,VALLEY CITY,ND,58072,701-845-5808 (TRAVEL CENTER),,24 HOURS,20,3,3,0,292,0,0,701-845-0458,,,,,,,,,,,,
27,North Dakota,PETRO STOPPING CENTER #361,location_details.php?id=2244,https://www.truckstopsandservices.com/location_details.php?id=2244,Trucker,petro,46.850896,-96.866481,I-94,4510 19TH AVE S,FARGO,ND,58103,701-282-8105 (TRAVEL CENTER),701-551-4033 (POPEYE'S),24 HOURS,195,16,13,4,348,0,0,701-282-9382,,,,,,,,,,,,
27,North Dakota,PILOT TRAVEL CENTER #589,location_details.php?id=45653,https://www.truckstopsandservices.com/location_details.php?id=45653,Trucker,pilot,48.342643,-103.614861,US 2,13553 64TH ST,WILLISTON,ND,58801,701-826-2500 (TRAVEL CENTER),701-826-2500 (SUBWAY),24 HOURS,50,9,5,0,US 85,0,0,701-826-2504,,,,,,,,,,,,
27,North Dakota,PINNACLE TRAVEL CENTER,location_details.php?id=45652,https://www.truckstopsandservices.com/location_details.php?id=45652,Trucker,cenex--300_0,48.388611,-102.928816,ND 40,6714 ND-40,TIOGA,ND,58852,701-664-4020 (TRAVEL CENTER),701-664-4020 (CHAMPS CHICKEN),4AM TO 12PM DAILY,50,6,4,0,67TH NW,0,0,701-664-4024,701-664-4020 (VAQUERO'S),,,,,,,,,,,
27,North Dakota,PINNACLE TRUCK STOP,location_details.php?id=45651,https://www.truckstopsandservices.com/location_details.php?id=45651,Trucker,cenex--300_0,48.305807,-102.384138,US 2,8149 US 2,STANLEY,ND,58784,701-628-2921 (TRAVEL CENTER),,4AM TO 12PM DAILY,75,4,3,0,,,,,,,,,,,,,,,,
27,North Dakota,RACER'S # 102,location_details.php?id=11268,https://www.truckstopsandservices.com/location_details.php?id=11268,Trucker,ind_dealer_1,48.184486,-103.626567,US 2,4201 2ND AVE W,WILLISTON,ND,58801,701-572-4591 (TRAVEL CENTER),,7AM TO 10PM DAILY,75,4,1,0,,0,0,,,,,,,,,,,,,
27,North Dakota,RJ'S TESORO,location_details.php?id=54865,https://www.truckstopsandservices.com/location_details.php?id=54865,Trucker,tesoro-,46.847103,-96.906081,I-94,2125 SHEYENNE ST,WEST FARGO,ND,58078,701-282-0696 (TRAVEL CENTER),,6AM TO 10PM DAILY,5,4,0,0,346,0,0,,,,,,,,,,,,,
27,North Dakota,S & R - JAMESTOWN TRUCK PLAZA,location_details.php?id=2821,https://www.truckstopsandservices.com/location_details.php?id=2821,Trucker,cenex--300_0,46.892535,-98.681123,I-94,1609 BUSINESS LOOP E,JAMESTOWN,ND,58401,701-252-3523 (TRAVEL CENTER),701-252-3523 (S & R CAFE),5AM TO 10PM DAILY,100,5,6,0,260,0,0,701-252-6321,,5,,,,,,,,,,
27,North Dakota,SCHATZ CROSSROADS,location_details.php?id=11266,https://www.truckstopsandservices.com/location_details.php?id=11266,Trucker,ind_dealer_1,48.21104,-101.269615,US 2,1712 20TH AVE SE,MINOT,ND,58701,701-852-0810 (TRAVEL CENTER),,24 HOURS,50,6,4,3,,0,0,,,,,,,,,,,,,
27,North Dakota,SIMONSON TRAVEL CENTER,location_details.php?id=2929,https://www.truckstopsandservices.com/location_details.php?id=2929,Trucker,ind_dealer_1,47.933116,-97.096358,I-29,4720 GATEWAY DR,GRAND FORKS,ND,58203,701-795-2107 (TRAVEL CENTER),701-772-1273 (ROADHOUSE CAFE),24 HOURS,60,8,4,2,141,0,0,701-402-0152,,,,,,,,,,,,
27,North Dakota,STAMART TRAVEL CENTER,location_details.php?id=3028,https://www.truckstopsandservices.com/location_details.php?id=3028,Trucker,tesoro-,46.888474,-96.835066,I-29,3500 12TH AVE N,FARGO,ND,58078,701-298-3500 (TRAVEL CENTER),,24 HOURS,100,10,10,0,66,0,0,701-235-0797,,,,,,,,,,,,
27,North Dakota,STAMART TRAVEL CENTER,location_details.php?id=3029,https://www.truckstopsandservices.com/location_details.php?id=3029,Trucker,tesoro-,46.828995,-100.728185,I-94,3936 E DIVIDE AVE,BISMARCK,ND,58501,701-222-1675 (TRAVEL CENTER),,24 HOURS,50,8,6,0,161,0,0,701-222-0268,,,,,,,,,,,,
27,North Dakota,STAMART TRAVEL PLAZA,location_details.php?id=3030,https://www.truckstopsandservices.com/location_details.php?id=3030,Trucker,tesoro-,47.931266,-97.09617,I-29,1212 N 47TH ST,GRAND FORKS,ND,58203,701-746-1356 (TRAVEL CENTER),,24 HOURS,50,8,8,0,141,0,0,701-772-4414,,,,,,,,,,,,
27,North Dakota,SUPER PUMPER,location_details.php?id=3157,https://www.truckstopsandservices.com/location_details.php?id=3157,Trucker,shell_,46.883793,-98.716424,I-94,2315 HWY 281 S,JAMESTOWN,ND,58401,701-252-4732 (TRAVEL CENTER),,24 HOURS,50,4,4,0,258,0,0,,,,,,,,,,,,,
27,North Dakota,SUPER PUMPER,location_details.php?id=11261,https://www.truckstopsandservices.com/location_details.php?id=11261,Trucker,mobil_oil__type,46.290448,-96.611538,ND 210,2100 N 9TH ST,WAHPETON,ND,58075,701-642-3414 (TRAVEL CENTER),,4AM TO 12PM DAILY,0,6,0,0,,0,0,,,,,,,,,,,,,
27,North Dakota,SUPER PUMPER,location_details.php?id=45649,https://www.truckstopsandservices.com/location_details.php?id=45649,Trucker,mobil_oil__type,48.229363,-101.187675,US 2,7141 US 2,MINOT,ND,58701,701-852-0094 (TRAVEL CENTER),,24 HOURS,10,4,0,0,72ND ST,0,0,701-420-2099,,,,,,,,,,,,
27,North Dakota,SUPERPUMPER,location_details.php?id=3156,https://www.truckstopsandservices.com/location_details.php?id=3156,Trucker,cenex--300_0,46.893793,-103.189462,I-94,804 US 85,BELFIELD,ND,58622,701-575-4216 (TRAVEL CENTER),,24 HOURS,50,6,2,0,42,0,0,701-575-8841,,,,,,,,,,,,
27,North Dakota,SWEET CRUDE TRAVEL CENTER,location_details.php?id=45648,https://www.truckstopsandservices.com/location_details.php?id=45648,Trucker,shell_,47.340572,-103.183918,US 85,12678 ND 200,GRASSY BUTTE,ND,58634,701-863-7180 (TRAVEL CENTER),,5AM TO 9PM DAILY,50,6,5,0,ND 200,0,0,701-863-7182,,,,,,,,,,,,
27,North Dakota,TA EXPRESS - COFFEE CUP FUEL STOP #272,location_details.php?id=623,https://www.truckstopsandservices.com/location_details.php?id=623,Trucker,taexpresscoffeecup,46.860708,-99.916963,I-94,620 MITCHELL AVE,STEELE,ND,58482,701-475-2274 (TRAVEL CENTER),701-475-2274 (SUBWAY),24 HOURS,50,6,4,0,200,0,0,701-475-2293,701-475-2274 (PIZZA HUT),,,,,,701-475-2274 (CARIBOU COFFEE),,,,,
