state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Mile Marker,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Phone 4,Phone 5,Fax,Exit,https,Diesel,Bulk Def,Unleaded,Propane,# of Men's Showers,http,Road Name,Hours of Operation,Mailing Address,htp
39,Pennsylvania,ADELE'S,location_details.php?id=53908,http://www.rvandtravelers.com/location_details.php?id=53908,RVer,shell_,,,I-79,,1502 GREENGARDEN BLVD,ERIE,PA,16501,814-454-2140 (TRAVEL CENTER),,,3,0,0,2,0,0,,,,183-A,,,,,,,,,,,
39,Pennsylvania,AMERICAN NATURAL #11,location_details.php?id=53929,http://www.rvandtravelers.com/location_details.php?id=53929,RVer,exxon,,,I-79,,2576 EVANS CITY RD,HARMONY,PA,16037,724-453-0660 (TRAVEL CENTER),,,0,0,0,2,0,0,,,,87,,,,,,,,,,,
39,Pennsylvania,AMERICAN TRUCK STOP,location_details.php?id=11570,http://www.rvandtravelers.com/location_details.php?id=11570,RVer,american_truck_center_llc2020,,,US 15,,2740 S MAIN ST,MANSFIELD,PA,16933,570-659-5301 (TRAVEL CENTER),,,50,0,0,4,4,6,,,570-659-5082,CANOE CAMP RD,,,,,,,,,,,
39,Pennsylvania,ANCHORS AWAY,location_details.php?id=53934,http://www.rvandtravelers.com/location_details.php?id=53934,RVer,ind_dealer_1,,,I-80,,5613 STATE ROUTE 8,HARRISVILLE,PA,16038,814-786-7055 (TRAVEL CENTER),814-786-7055 (SUBWAY),,0,0,0,4,0,0,,,,29,,,,,,,,,,,
39,Pennsylvania,B&S SUNOCO,location_details.php?id=53945,http://www.rvandtravelers.com/location_details.php?id=53945,RVer,sunoco,,,PA 291,,2200 W 2ND ST,CHESTER,PA,19013,610-485-2327 (TRAVEL CENTER),,,,,,2,,,,,,,,,,,,,,,,,
39,Pennsylvania,BALD EAGLE TRUCK STOP,location_details.php?id=47937,http://www.rvandtravelers.com/location_details.php?id=47937,RVer,exxon,,,US 220,,612 MCELHATTAN DR,MCELHATTAN,PA,17748,570-769-6455 (TRAVEL CENTER),,,22,0,0,3,5,0,,,,PA 1005,,,,,,,,,,,
39,Pennsylvania,BANDIT TRUCK STOP,location_details.php?id=301,http://www.rvandtravelers.com/location_details.php?id=301,RVer,sunoco,,,I-78,,2277 GOLDEN KEY RD,NEW SMITHVILLE,PA,19530,610-285-2852 (TRAVEL CENTER),,,100,0,0,7,0,0,,,610-285-2579,45,,,,,,,,,,,
39,Pennsylvania,BANDIT TRUCK STOP,location_details.php?id=302,http://www.rvandtravelers.com/location_details.php?id=302,RVer,sunoco,,,I-80,,4700 STATE ROUTE 534,HICKORY RUN,PA,18661,570-443-7294 (TRAVEL CENTER),,,35,,,4,0,0,,,,274,,,,,,,,,,,
39,Pennsylvania,BENSALEM TRAVEL PLAZA,location_details.php?id=11542,http://www.rvandtravelers.com/location_details.php?id=11542,RVer,ind_dealer_1,,,I-95,,2307 BRISTOL PIKE,CROYDON,PA,19021,215-244-6190 (TRAVEL CENTER),,,100,0,0,4,6,4,,,,37,,,,,,,,,,,
39,Pennsylvania,BFS TRUCK/AUTO PLAZA,location_details.php?id=338,http://www.rvandtravelers.com/location_details.php?id=338,RVer,sunoco,,,I-79,,106 GAS COMPANY RD,MT. MORRIS,PA,15349,724-324-5385 (TRAVEL CENTER),724-324-5385 (HUDDLE HOUSE),,27,0,0,4,2,0,,,724-324-2267,1,,,,,,,,,,,
39,Pennsylvania,BILO GAS N GO,location_details.php?id=53972,http://www.rvandtravelers.com/location_details.php?id=53972,RVer,ind_dealer_1,,,US 19,,226 ROUTE 19 N,HARMONY,PA,16037,724-452-5990 (TRAVEL CENTER),,,0,0,0,4,0,0,,,724-452-5997,,,,,,,,,,,,
39,Pennsylvania,BLUE RIDGE TRAVEL PLAZA,location_details.php?id=383,http://www.rvandtravelers.com/location_details.php?id=383,RVer,ind_dealer_1,,,I-81,,7121 BLUE RIDGE TRAIL,DORRANCE,PA,18707,570-868-3117 (TRAVEL CENTER),570-868-3117 (BUTTON'S BURGERS),,15,0,0,8,3,0,,,570-868-6094,155,,,,,,,,,,,
39,Pennsylvania,BRESSLER'S TRUCK PLAZA,location_details.php?id=326,http://www.rvandtravelers.com/location_details.php?id=326,RVer,ind_dealer_1,,,I-80,,3510 BROADWAY RD,MILTON,PA,17847,800-807-4661 (TRAVEL CENTER),,,50,0,0,3,5,2,,,,215,,,,,,,,,,,
39,Pennsylvania,BURNHAM QUICK STOP,location_details.php?id=54945,http://www.rvandtravelers.com/location_details.php?id=54945,RVer,valero,,,US 322,,13037 FERGUSON VALLEY RD,BURNHAM,PA,17009,717-953-9266 (TRAVEL CENTER),,,,,,1,,,,,,,,,,,,,,,,,
39,Pennsylvania,CENTRAL HWY OIL CO,location_details.php?id=54063,http://www.rvandtravelers.com/location_details.php?id=54063,RVer,gulf-,,,I-81,,700 ALTAMONT BLVD,FRACKVILLE,PA,17931,570-874-5903 (TRAVEL CENTER),,,0,0,0,1,0,0,,,,124-B,,,,,,,,,,,
39,Pennsylvania,CITGO FUEL STOP,location_details.php?id=54134,http://www.rvandtravelers.com/location_details.php?id=54134,RVer,citgo,,,US 13,,8029 BRISTOL PIKE,LEVITTOWN,PA,19057,215-547-6172 (TRAVEL CENTER),,,,,,2,,,,,,,,,,,,,,,,,
39,Pennsylvania,CONOCO TRUCK STOP,location_details.php?id=47929,http://www.rvandtravelers.com/location_details.php?id=47929,RVer,conoco,,,US 30,,54 PA 41,GAP,PA,17527,717-442-9595 (TRAVEL CENTER),717-442-9595 (DINER),,200,0,0,3,2,0,,,717-442-9596,PA 14 (1 MILE S),,,,,,,,,,,
39,Pennsylvania,DANDY MINI MAR #21,location_details.php?id=11543,http://www.rvandtravelers.com/location_details.php?id=11543,RVer,sunoco,,,PA 187,,837 MAIN ST,ROME,PA,18837,570-247-2766 (TRAVEL CENTER),,,0,0,0,1,0,0,,,570-247-7831,,,,,,,,,,,,
39,Pennsylvania,DANDY MINI MART #16,location_details.php?id=54195,http://www.rvandtravelers.com/location_details.php?id=54195,RVer,citgo,,,US 220,,2686 N ELMIRA ST,SAYRE,PA,18840,570-888-8288 (TRAVEL CENTER),,,0,0,0,2,0,0,,,570-888-8288,,,,,,,,,,,,
39,Pennsylvania,DANDY MINI MART #19,location_details.php?id=717,http://www.rvandtravelers.com/location_details.php?id=717,RVer,sunoco,,,I-86,,78 WHITE WAGON RD,SAYRE,PA,18840,570-888-4320 (TRAVEL CENTER),570-888-4320 (SUBWAY),,75,0,0,5,0,0,,,570-888-6545,59-A,,,,,,,,,,,
39,Pennsylvania,DANDY MINI MART #20,location_details.php?id=11586,http://www.rvandtravelers.com/location_details.php?id=11586,RVer,citgo,,,US 220,,109 MAIN ST,ULSTER,PA,18850,570-358-3800 (TRAVEL CENTER),,,7,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,DANDY MINI MART #22,location_details.php?id=54196,http://www.rvandtravelers.com/location_details.php?id=54196,RVer,ind_dealer_1,,,PA 328,,7320 PA 328,MILLERTON,PA,16936,570-537-3050 (TRAVEL CENTER),,,0,0,0,1,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,DANDY MINI MART #41,location_details.php?id=54197,http://www.rvandtravelers.com/location_details.php?id=54197,RVer,ind_dealer_1,,,PA 87,,4816 PA 87,MEHOOPANY,PA,18629,570-833-5000 (TRAVEL CENTER),,,10,0,0,2,0,0,,,570-833-5000,,,,,,,,,,,,
39,Pennsylvania,DANDY MINI MART #72,location_details.php?id=54199,http://www.rvandtravelers.com/location_details.php?id=54199,RVer,sunoco,,,PA 858,,1567 PENNSYLVANIA AVE,LITTLE MEADOWS,PA,18830,570-623-4311 (TRAVEL CENTER),,,3,0,0,1,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,DANDY MINIT MART,location_details.php?id=47950,http://www.rvandtravelers.com/location_details.php?id=47950,RVer,ind_dealer_1,,,PA 118,,11831 PA 118,UNITYVILLE,PA,17774,570-458-0475 (TRAVEL CENTER),,,10,,,2,0,0,,,,PA 43,,,,,,,,,,,
39,Pennsylvania,DOABA OIL,location_details.php?id=54215,http://www.rvandtravelers.com/location_details.php?id=54215,RVer,shell_,,,BUS 1,,236 W LINCOLN HWY,FAIRLESS HILLS,PA,19030,215-269-3095 (TRAVEL CENTER),,,,,,3,,,,,,,,,,,,,,,,,
39,Pennsylvania,DOG GONE'S GOOD FOOD,location_details.php?id=47940,http://www.rvandtravelers.com/location_details.php?id=47940,RVer,ind_dealer_1,,,PA 42,,533 N STATE ST,MILLVILLE,PA,17846,570-458-5822 (TRAVEL CENTER),570-458-5822 (SUBWAY),,28,0,0,3,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,EMLENTON TRUCK PLAZA,location_details.php?id=825,http://www.rvandtravelers.com/location_details.php?id=825,RVer,pilot,,,I-80,,6406 EMLENTON CLINTONVILLE RD,EMLENTON,PA,16373,724-867-1511 (TRAVEL CENTER),724-867-1511 (PLAZA RESTAURANT),,65,0,0,6,4,0,,,724-867-6882,42,pilotflyingj.com/stores/1163/,4.059,3.999,,,,,,,,
39,Pennsylvania,EXIT 77 TRAVEL PLAZA,location_details.php?id=54255,http://www.rvandtravelers.com/location_details.php?id=54255,RVer,ind_dealer_1,,,I-81,,7800 LINGLESTOWN RD,HARRISBURG,PA,17112,717-412-0585 (TRAVEL CENTER),717-412-0585 (MY TASTE OF INDIA),,6,0,0,3,0,0,,,717-412-0487,77,,,,,,,,,,,
39,Pennsylvania,EZ MARKET,location_details.php?id=54265,http://www.rvandtravelers.com/location_details.php?id=54265,RVer,exxon,,,PA 309,,2083 W PENN PIKE,ANDREAS,PA,18252,570-386-2460 (TRAVEL CENTER),,,0,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,FASTFILL #2,location_details.php?id=54301,http://www.rvandtravelers.com/location_details.php?id=54301,RVer,exxon,,,PA 145,,325 N BEST AVE,WALNUTPORT,PA,18088,610-767-1132 (TRAVEL CENTER),,,0,0,0,4,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,FEGLEY MINI MART,location_details.php?id=54303,http://www.rvandtravelers.com/location_details.php?id=54303,RVer,valero,,,PA 309,,551 W PENN PIKE,TAMAQUA,PA,18252,570-386-4151 (TRAVEL CENTER),,,5,0,0,3,0,0,,,570-386-4179,,,,,,,,,,,,
39,Pennsylvania,FLYING J DEALER #516,location_details.php?id=47925,http://www.rvandtravelers.com/location_details.php?id=47925,RVer,flying-j-,,,I-70/76,,167 POST HOUSE RD,BREEZEWOOD,PA,15533,814-993-1210 (TRAVEL CENTER),814-993-1210 (PJ FRESH),814-993-1210 (PERKINS RESTAURANT),66,0,0,11,12,5,,,814-993-1211,161,pilotflyingj.com/stores/516/,4.190,,,,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #4563,location_details.php?id=3667,http://www.rvandtravelers.com/location_details.php?id=3667,RVer,flying-j-,,,I-81,,7833 LINGLESTOWN RD,HARRISBURG,PA,17112,717-545-5517 (TRAVEL CENTER),717-545-5517 (MCDONALD'S),717-545-5517 (PERKINS RESTAURANT),125,21,21,8,10,4,,,717-901-6191,77,pilotflyingj.com/stores/4563/,3.959,3.999,3.449,,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #516,location_details.php?id=17970,http://www.rvandtravelers.com/location_details.php?id=17970,RVer,flying-j-,,,I-70,,167 POST HOUSE RD,BREEZEWOOD,PA,15533,814-993-1210 (TRAVEL CENTER),814-993-1210 (PJ FRESH),814-993-1210 (PERKINS RESTAURANT),66,0,0,11,12,5,,,814-993-1211,147 WB,pilotflyingj.com/stores/516/,4.190,,,,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #518,location_details.php?id=17990,http://www.rvandtravelers.com/location_details.php?id=17990,RVer,flying-j-,,,I-78,,2210 CAMP SWATARA RD,FRYSTOWN,PA,17067,717-933-4146 (TRAVEL CENTER),717-733-4174 (SUBWAY),717-933-4146 (AUNTIE ANNE'S),180,20,20,11,10,4,717-733-4174 (CINNABON),717-733-4174 (HUDDLE HOUSE),717-933-5008,10,pilotflyingj.com/stores/518/,3.959,3.999,3.459,,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #555,location_details.php?id=2254,http://www.rvandtravelers.com/location_details.php?id=2254,RVer,flying-j-,,,I-80,,1460 N RIDGE RD,MILTON,PA,17847,570-742-2663 (TRAVEL CENTER),,,350,0,0,16,16,2,,,877-395-0850,215,pilotflyingj.com/stores/555/,,,,,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #620,location_details.php?id=17999,http://www.rvandtravelers.com/location_details.php?id=17999,RVer,flying-j-,,,I-70,,122 FITZHENRY RD,SMITHTON,PA,15479,724-872-4050 (TRAVEL CENTER),724-872-4050 (DENNY'S),,145,21,21,7,6,3,,,724-872-9471,49,pilotflyingj.com/stores/620/,4.059,3.999,3.199,3.699,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #707,location_details.php?id=18000,http://www.rvandtravelers.com/location_details.php?id=18000,RVer,flying-j-,,,I-80,,246 ALLEGHENY BLVD,BROOKVILLE,PA,15825,814-849-2992 (TRAVEL CENTER),814-849-2992 (DENNY'S),,140,10,10,12,15,0,,,814-849-4715,78,pilotflyingj.com/stores/707/,4.059,3.999,3.329,3.899,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #708,location_details.php?id=1115,http://www.rvandtravelers.com/location_details.php?id=1115,RVer,flying-j-,,,I-81/76,,1501 HARRISBURG PIKE,CARLISLE,PA,17013,717-243-6659 (TRAVEL CENTER),717-243-6659 (DENNY'S),,282,19,19,13,19,0,,,717-243-2510,52 / 226,pilotflyingj.com/stores/708/,3.959,3.999,3.419,3.799,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #709,location_details.php?id=18009,http://www.rvandtravelers.com/location_details.php?id=18009,RVer,flying-j-,,,I-80,,5609 NITTANY VALLEY DR,MILL HALL,PA,17751,570-726-4080 (TRAVEL CENTER),570-726-4080 (DENNY'S),570-726-4080 (DUNKIN' DONUTS EXPRESS),155,0,0,12,15,0,,,570-726-4363,173,pilotflyingj.com/stores/709/,3.899,3.999,3.479,3.999,,,,,,
39,Pennsylvania,FLYING J TRAVEL CENTER #710,location_details.php?id=18014,http://www.rvandtravelers.com/location_details.php?id=18014,RVer,flying-j-,,,I-81,,1623 OLIVER RD,NEW MILFORD,PA,18834,570-465-2974 (TRAVEL CENTER),570-465-2974 (DENNY'S),,87,9,9,9,9,0,,,570-465-2979,219,pilotflyingj.com/stores/710/,3.999,3.999,3.469,3.699,,,,,,
39,Pennsylvania,FRY BROTHERS TURKEY RANCH,location_details.php?id=11567,http://www.rvandtravelers.com/location_details.php?id=11567,RVer,sunoco,,,US 15,,27 PA 184,TROUT RUN,PA,17771,570-998-9400 (TRAVEL CENTER),570-998-9400 (FRIED TURKEY RANCH RESTAURANT),,30,0,0,3,0,0,,,570-998-2321,,,,,,,,,,,,
39,Pennsylvania,FUEL ON TRUCK PLAZA,location_details.php?id=3569,http://www.rvandtravelers.com/location_details.php?id=3569,RVer,ind_dealer_1,,,I-81,,492 CAN DO EXPY,HAZLETON,PA,18201,570-501-1930 (TRAVEL CENTER),,,50,0,0,4,0,0,,,570-501-1933,143,,,,,,,,,,,
39,Pennsylvania,GENEVA TRUCK STOP,location_details.php?id=838,http://www.rvandtravelers.com/location_details.php?id=838,RVer,ind_dealer_1,,,I-79,,17458 SMOCK DR,COCHRANTON,PA,16314,814-337-5823 (TRAVEL CENTER),814-337-5823 (AUNT B'S),,6,0,0,5,1,4,,,814-337-0502,141,,,,,,,,,,,
39,Pennsylvania,GET GO,location_details.php?id=272,http://www.rvandtravelers.com/location_details.php?id=272,RVer,ind_dealer_1,,,I-70/76,,4363 US 220,BEDFORD,PA,15522,814-624-0599 (TRAVEL CENTER),,,11,,,4,0,0,,,,146,,,,,,,,,,,
39,Pennsylvania,GETGO,location_details.php?id=47923,http://www.rvandtravelers.com/location_details.php?id=47923,RVer,ind_dealer_1,,,I-99,,334 TRAVELERS RD,EAST FREEDOM,PA,16637,814-695-5645 (TRAVEL CENTER),,,15,0,0,4,0,0,,,814-693-6574,23,,,,,,,,,,,
39,Pennsylvania,GETTYSBURG TRAVEL PLAZA,location_details.php?id=11564,http://www.rvandtravelers.com/location_details.php?id=11564,RVer,ind_dealer_1,,,US 15,,25 SANDOE RD,GETTYSBURG,PA,17325,717-337-1196 (TRAVEL CENTER),717-337-1196 (HUNTER'S TOWN DINER),,25,0,25,4,2,0,,,717-337-0482,,,,,,,,,,,,
39,Pennsylvania,GLASSMERE FOOD MART #252,location_details.php?id=54358,http://www.rvandtravelers.com/location_details.php?id=54358,RVer,ind_dealer_1,,,PITTSBURGH ST,,3001 FREEPORT RD,SPRINGDALE,PA,15144,724-339-1977 (TRAVEL CENTER),,,2,0,0,4,0,0,,,724-339-1977,,,,,,,,,,,,
39,Pennsylvania,GRAFT OIL,location_details.php?id=54368,http://www.rvandtravelers.com/location_details.php?id=54368,RVer,sunoco,,,US 119,,2506 MEMORIAL BLVD,CONNELLSVILLE,PA,15425,724-628-9580 (TRAVEL CENTER),,,0,0,0,3,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,HOSTETTER'S MARKET,location_details.php?id=54411,http://www.rvandtravelers.com/location_details.php?id=54411,RVer,ind_dealer_1,,,PA 10,,479 LIMESTONE RD,OXFFORD,PA,19363,610-932-7320 (TRAVEL CENTER),,,5,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,JACK'S INDEPENDENT SERVICE,location_details.php?id=54442,http://www.rvandtravelers.com/location_details.php?id=54442,RVer,marathon,,,PA 551,,1121 WALLACE RUN RD,DARLINGTON,PA,15009,724-827-2132 (TRAVEL CENTER),,,10,0,0,4,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,JAI SUNOCO,location_details.php?id=54443,http://www.rvandtravelers.com/location_details.php?id=54443,RVer,sunoco,,,I-95,,503 STATE RD,CROYDON,PA,19021,215-785-4611 (TRAVEL CENTER),,,,,,4,,,,,,37,,,,,,,,,,,
39,Pennsylvania,JIFFY-MART,location_details.php?id=54450,http://www.rvandtravelers.com/location_details.php?id=54450,RVer,ind_dealer_1,,,I-79,,850 FRANKLIN RD,JACKSON CENTER,PA,16137,724-662-2060 (TRAVEL CENTER),,,0,0,0,2,0,0,,,,121,,,,,,,,,,,
39,Pennsylvania,KEYSTONE TRUCK STOP,location_details.php?id=11578,http://www.rvandtravelers.com/location_details.php?id=11578,RVer,ind_dealer_1,,,US 22,,190 KEYSTONE RD,LORETTO,PA,15940,814-886-2767 (TRAVEL CENTER),,,25,0,0,2,2,0,,,814-886-5672,,,,,,,,,,,,
39,Pennsylvania,KREISER FUEL SERVICE,location_details.php?id=54479,http://www.rvandtravelers.com/location_details.php?id=54479,RVer,citgo,,,US 22,,122 RACEHORSE DR,JONESTOWN,PA,17038,717-865-2107 (TRAVEL CENTER),717-865-2107 (KREISER KITCHEN),,10,0,0,9,3,2,,,717-865-4705,,,,,,,2,,,,,
39,Pennsylvania,KWIK FILL #200,location_details.php?id=11601,http://www.rvandtravelers.com/location_details.php?id=11601,RVer,ind_dealer_1,,,SPRING ST,,1001 E SPRING ST,TITUSVILLE,PA,16354,814-827-1797 (TRAVEL CENTER),,,5,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,KWIK FILL #239,location_details.php?id=54512,http://www.rvandtravelers.com/location_details.php?id=54512,RVer,ind_dealer_1,,,51,,152 MCGOVERN BLVD,CRESCENT,PA,15046,724-457-0566 (TRAVEL CENTER),,,0,0,0,1,0,0,,,724-457-4020,,,,,,,,,,,,
39,Pennsylvania,KWIK FILL #249,location_details.php?id=54513,http://www.rvandtravelers.com/location_details.php?id=54513,RVer,ind_dealer_1,,,US 22,,663 OLD ROUTE 22,DUNCANSVILLE,PA,16635,814-695-6264 (TRAVEL CENTER),,,0,0,0,2,0,0,,,,,,,,,,,,,,,
39,Pennsylvania,KWIK FILL #250,location_details.php?id=54514,http://www.rvandtravelers.com/location_details.php?id=54514,RVer,ind_dealer_1,,,US 22,,12192 WILLIAM PENN HWY,HUNTINGDON,PA,16652,814-643-1999 (TRAVEL CENTER),,,0,0,0,2,0,0,,,814-643-1999,,,,,,,,,,,,
39,Pennsylvania,KWIK FILL #259,location_details.php?id=54515,http://www.rvandtravelers.com/location_details.php?id=54515,RVer,ind_dealer_1,,,US 11,,6479 CARLISLE PIKE,MECHANICSBURG,PA,17050,717-766-2550 (TRAVEL CENTER),,,2,0,0,4,0,0,,,717-796-1046,,,,,,,,,,,,
39,Pennsylvania,KWIK FILL #295,location_details.php?id=54516,http://www.rvandtravelers.com/location_details.php?id=54516,RVer,ind_dealer_1,,,US 6,,2016 PENNSYLVANIA AVE E,WARREN,PA,16365,814-726-2370 (TRAVEL CENTER),,,0,0,0,2,0,0,,,814-726-2740,,,,,,,,,,,,
