state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Mile Marker,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,Phone 4,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,Fax,Unleaded,Diesel,Bulk Def,Propane,Phone 5,# of Men's Showers,Road Name,https,Hours of Operation,Mailing Address
9,Florida,PILOT TRAVEL CENTER #4556,location_details.php?id=1202,https://www.truckstopsandservices.com/location_details.php?id=1202,Trucker,pilot,28.873269,-82.089937,I-75,,744 E STATE RD 44,WILDWOOD,FL,34785,352-748-4354 (TRAVEL CENTER),352-748-4354 (STEAK 'N SHAKE),,,50,18,18,8,7,0,329,352-748-0296,2.999,3.459,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #471,location_details.php?id=20651,https://www.truckstopsandservices.com/location_details.php?id=20651,Trucker,pilot,28.11776,-81.638366,US 27 N,,35647 US 27 N,HAINES CITY,FL,33845,863-421-3571 (TRAVEL CENTER),863-421-3571 (DENNY'S),,,85,25,25,6,7,0,,863-421-6032,,3.659,4.359,3.599,,,,,,
9,Florida,PILOT TRAVEL CENTER #500,location_details.php?id=46979,https://www.truckstopsandservices.com/location_details.php?id=46979,Trucker,pilot,30.51613,-83.05977,I-75,,8067 FL-6,JASPER,FL,32052,386-638-1635 (TRAVEL CENTER),386-638-1635 (SUBWAY),386-638-1635 (CINNABON),,90,5,5,10,9,0,460,386-638-0117,,3.599,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #87,location_details.php?id=2592,https://www.truckstopsandservices.com/location_details.php?id=2592,Trucker,pilot,30.284193,-81.983364,I-10,,1050 US 301 S,BALDWIN,FL,32234,904-266-4238 (TRAVEL CENTER),904-266-9297 (SUBWAY),,,50,12,12,6,5,0,343,904-266-9820,2.989,3.929,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #873,location_details.php?id=10452,https://www.truckstopsandservices.com/location_details.php?id=10452,Trucker,pilot,25.884359,-80.365579,US 27 N,,12200 NW S RIVER DR,MEDLEY,FL,33178,305-883-1004 (TRAVEL CENTER),305-883-1004 (SUNSHINE CAFE),,,65,0,0,6,3,0,,305-883-1799,,,,,,,,,,
9,Florida,PILOT TRAVEL CENTER #874 - DADE CORNERS,location_details.php?id=10468,https://www.truckstopsandservices.com/location_details.php?id=10468,Trucker,pilot,25.760703,-80.480422,US 41,,17696 SW 8TH ST,MIAMI (SW),FL,33194,305-553-6203 (TRAVEL CENTER),305-553-6203 (SUBWAY),,,26,0,0,6,2,0,FL 997,305-207-7967,,3.659,,,,,,,,
9,Florida,PILOT TRAVEL CENTER #88,location_details.php?id=16836,https://www.truckstopsandservices.com/location_details.php?id=16836,Trucker,pilot,28.359549,-80.792745,I-95,,4455 KING ST,COCOA,FL,32926,321-639-0346 (TRAVEL CENTER),321-639-8678 (SUBWAY),,,8,0,0,6,2,0,201,321-639-0351,2.799,3.399,,,,,,,,
9,Florida,PILOT TRAVEL CENTER #89,location_details.php?id=16839,https://www.truckstopsandservices.com/location_details.php?id=16839,Trucker,pilot,27.527828,-82.512532,I-75,,1526 51ST AVE E,ELLENTON,FL,34222,941-729-6288 (TRAVEL CENTER),,,,0,0,0,4,2,0,224,941-729-1019,,3.399,3.999,,,,,,,
9,Florida,PILOT TRAVEL CENTER #897,location_details.php?id=10431,https://www.truckstopsandservices.com/location_details.php?id=10431,Trucker,pilot,25.924974,-80.244851,FL 826,,16650 NW 27TH AVE,MIAMI GARDENS,FL,33054,305-623-3434 (TRAVEL CENTER),,,,20,0,0,5,1,0,FL 817,305-623-3439,2.999,3.659,,,,,,,,
9,Florida,PILOT TRAVEL CENTER #90,location_details.php?id=16840,https://www.truckstopsandservices.com/location_details.php?id=16840,Trucker,pilot,27.414718,-80.399741,I-95,,7300 W OKEECHOBEE RD,FORT PIERCE,FL,34945,772-460-0611 (TRAVEL CENTER),772-460-0611 (MCDONALD'S),,,100,14,14,12,8,0,129,772-460-9492,2.839,3.699,4.359,3.199,,,,,,
9,Florida,PILOT TRAVEL CENTER #91,location_details.php?id=10427,https://www.truckstopsandservices.com/location_details.php?id=10427,Trucker,pilot,30.065811,-81.49507,I-95,,1625 CO RD 210 W,JACKSONVILLE,FL,32259,904-826-3618 (TRAVEL CENTER),904-826-3618 (MCDONALD'S),,,30,5,5,10,5,0,329,904-825-2760,2.999,3.699,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #92,location_details.php?id=16845,https://www.truckstopsandservices.com/location_details.php?id=16845,Trucker,pilot,29.267224,-82.190973,I-75,,4255 NW HWY 326,OCALA,FL,34482,352-402-9081 (TRAVEL CENTER),352-629-2428 (WENDY'S),352-629-2428 (CINNABON),,130,5,5,10,7,0,358,352-622-5233,3.059,3.559,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #94,location_details.php?id=16848,https://www.truckstopsandservices.com/location_details.php?id=16848,Trucker,pilot,26.893583,-82.009736,I-75,,26505 JONES LOOP RD,PUNTA GORDA,FL,33950,941-637-3974 (TRAVEL CENTER),941-637-1434 (ARBY'S),941-637-1434 (WAFFLE HOUSE),941-637-1434 (BURGER KING),25,5,5,8,5,0,161,941-637-5729,2.839,3.699,4.359,,941-637-1434 (SUBWAY),,,,,
9,Florida,PILOT TRAVEL CENTER #95,location_details.php?id=16851,https://www.truckstopsandservices.com/location_details.php?id=16851,Trucker,pilot,28.874241,-82.095401,I-75,,493 E STATE RD 44,WILDWOOD,FL,34785,352-748-4486 (TRAVEL CENTER),,,,10,0,0,7,3,0,329,352-748-6095,2.999,3.459,4.359,,,,,,,
9,Florida,PILOT TRAVEL CENTER #96,location_details.php?id=16852,https://www.truckstopsandservices.com/location_details.php?id=16852,Trucker,pilot,27.698658,-80.901166,FLTP,,3051 STATE RD 60,OKEECHOBEE,FL,34972,407-436-1224 (TRAVEL CENTER),407-436-1224 (SUBWAY),,,48,10,10,6,3,0,193,407-436-1919,,3.699,4.359,3.599,,,,,,
9,Florida,Pilot Travel Centers,location_details.php?id=64237,https://www.truckstopsandservices.com/location_details.php?id=64237,Trucker,,27.413958,-80.400676,I-95,,,Ft. Pierce,FL,34945,772-732-2084,,,,,,,,,,,,,,,,,,,,,
9,Florida,POLK CITY TRAVEL CENTER,location_details.php?id=2634,https://www.truckstopsandservices.com/location_details.php?id=2634,Trucker,shell_,28.155424,-81.802016,I-4,,1821 STATE RD 559,POLK CITY,FL,33868,863-984-1918 (TRAVEL CENTER),863-984-1918 (SUBWAY),,,50,0,0,7,2,0,44,863-984-2939,,,,,,,,,,
9,Florida,POMPANO SERVICE PLAZA,location_details.php?id=10436,https://www.truckstopsandservices.com/location_details.php?id=10436,Trucker,shell_,26.226622,-80.182246,FLTP,MM 65,FLORIDA TPKE MM 65,POMPANO BEACH,FL,33063,954-978-8714 (TRAVEL CENTER),,,,20,,,3,0,0,,,,,,,,,,,,
9,Florida,POMPANO TRUCK STOP,location_details.php?id=10060,https://www.truckstopsandservices.com/location_details.php?id=10060,Trucker,marathon,26.242378,-80.165462,FLTP,MM 67,1101 NW 31ST AVE,POMPANO BEACH,FL,33069,954-917-5051 (TRAVEL CENTER),,,,25,,,6,3,0,,954-917-7099,,,,,,,,,,
9,Florida,QUICK STOP #8,location_details.php?id=10421,https://www.truckstopsandservices.com/location_details.php?id=10421,Trucker,chevron,30.431852,-85.687612,FL 77,,15500 HWY 77,SOUTHPORT,FL,32409,850-271-0446 (TRAVEL CENTER),,,,3,0,0,3,0,0,,850-271-8649,,,,,,,,,,
9,Florida,RACETRAC,location_details.php?id=57044,https://www.truckstopsandservices.com/location_details.php?id=57044,Trucker,ind_dealer_1,28.522683,-82.234173,I-75,,30480 CORTEZ BLVD,BROOKSVILLE,FL,34602,352-796-2848,,,,,,,,,,301,,,,,,,,,,,
9,Florida,RaceTrac,location_details.php?id=64227,https://www.truckstopsandservices.com/location_details.php?id=64227,Trucker,,26.94251,-82.00897,I-75,,,Punta Gorda,FL,33950,404-829-6363,,,,,,,,,,,,,,,,,,,,,
9,Florida,RaceTrac,location_details.php?id=64912,https://www.truckstopsandservices.com/location_details.php?id=64912,Trucker,,28.24557,-81.65547,I-4,,,Davenport,FL,33896,863-419-1161,,,,,,,,,,,,,,,,,,,,,
9,Florida,RaceTrac #2586,location_details.php?id=64913,https://www.truckstopsandservices.com/location_details.php?id=64913,Trucker,,27.639978,-80.509794,I-95,,,Vero Beach,FL,32966,772-205-6166,,,,,,,,,,,,,,,,,,,,,
9,Florida,Racetrac #2588,location_details.php?id=64255,https://www.truckstopsandservices.com/location_details.php?id=64255,Trucker,,28.00200752,-82.35611341,,,5951 N US Hwy 301,Tampa,FL,33610,352-695-5027,,,,,,,,,,,,,,,,,,,,,
9,Florida,RACETRAC #2600,location_details.php?id=64256,https://www.truckstopsandservices.com/location_details.php?id=64256,Trucker,,27.24569,-80.81917,FL 70,,,Okeechobee,FL,34974,863-357-1593,,,,,,,,,,,,,,,,,,,,,
9,Florida,Racetrac #2603,location_details.php?id=64254,https://www.truckstopsandservices.com/location_details.php?id=64254,Trucker,,28.42035,-81.37205,,,W Taft Vineland Rd,Orlando,FL,32824,321-363-9281,,,,,,,,,,,,,,,,,,,,,
9,Florida,RaceTrac #2605,location_details.php?id=64911,https://www.truckstopsandservices.com/location_details.php?id=64911,Trucker,,30.37297,-81.75806,I-295,,,Jacksonville,FL,32219,904-717-3462,,,,,,,,,,,,,,,,,,,,,
9,Florida,RADIANT FOOD STORE,location_details.php?id=10485,https://www.truckstopsandservices.com/location_details.php?id=10485,Trucker,marathon,27.922823,-82.403078,50TH ST,,2801 S 50TH ST,TAMPA,FL,33619,813-248-1060 (TRAVEL CENTER),,,,0,,,3,0,0,,813-248-8630,,,,,,,,,,
9,Florida,RALLY,location_details.php?id=10482,https://www.truckstopsandservices.com/location_details.php?id=10482,Trucker,marathon,27.887041,-82.700612,CR 611,,12602 49TH ST N,PINELLAS PARK,FL,33762,727-573-4428 (TRAVEL CENTER),,,,5,,,3,0,0,,,,,,,,,,,,
9,Florida,RIVIERA TRUCK STOP,location_details.php?id=47081,https://www.truckstopsandservices.com/location_details.php?id=47081,Trucker,marathon,26.771001,-80.087678,FL 710,,810 N CONGRESS AVE,RIVIERA BEACH,FL,33404,561-848-9800 (TRAVEL CENTER),,,,6,0,6,6,0,0,,,,,,,,,,,,
9,Florida,S & S FOOD STORE,location_details.php?id=2822,https://www.truckstopsandservices.com/location_details.php?id=2822,Trucker,shell_,30.262113,-82.123115,I-10,,1494 S 6TH ST,MACCLENNY,FL,32063,904-259-7919 (TRAVEL CENTER),,,,2,0,0,2,0,0,335,,,,,,,,,,,
9,Florida,S & S FOOD STORE,location_details.php?id=2823,https://www.truckstopsandservices.com/location_details.php?id=2823,Trucker,shell_,30.238711,-82.6384,I-10,,3519 N US HWY 441,LAKE CITY,FL,32055,386-755-1064 (TRAVEL CENTER),386-755-1064 (HUDDLE HOUSE),,,10,0,0,9,0,0,303,,,,,,,,,,,
9,Florida,S & S FOOD STORE,location_details.php?id=10478,https://www.truckstopsandservices.com/location_details.php?id=10478,Trucker,marathon,30.203533,-82.63694,US 441,,1101 N MARION AVE,LAKE CITY,FL,32055,386-755-5842 (TRAVEL CENTER),,,,5,0,0,3,0,0,,,,,,,,,,,,
9,Florida,S & S FOODS,location_details.php?id=2824,https://www.truckstopsandservices.com/location_details.php?id=2824,Trucker,shell_,29.996192,-82.598622,I-75,,US 41/441,ELLISVILLE,FL,32024,386-754-6511 (TRAVEL CENTER),386-754-6511 (WENDY'S),,,15,0,0,4,0,0,414,386-754-6762,,,,,,,,,,
9,Florida,S&S FOOD STORE,location_details.php?id=46981,https://www.truckstopsandservices.com/location_details.php?id=46981,Trucker,shell_,30.515446,-83.061764,I-75,,8723 146 CIR NW,JASPER,FL,32053,386-792-1177 (TRAVEL CENTER),,,,10,0,0,5,0,0,460,,,,,,,,,,,
9,Florida,S&S FOOD STORE,location_details.php?id=47007,https://www.truckstopsandservices.com/location_details.php?id=47007,Trucker,shell_,30.282278,-82.953971,US 90,,9980 US 90,LIVE OAK,FL,32060,386-362-3685 (TRAVEL CENTER),386-362-3685 (EAT'S KITCHEN),,,5,0,0,2,0,0,FL 49,,,,,,,,,,,
9,Florida,S&S FOOD STORE,location_details.php?id=10424,https://www.truckstopsandservices.com/location_details.php?id=10424,Trucker,marathon,29.94608,-82.424894,FL 121,,4793 FL 121,WORTHINGTON SPRINGS,FL,32697,386-496-1308 (TRAVEL CENTER),386-496-1308 (EAT'S DELI),,,8,0,0,2,0,0,,386-496-0957,,,,,,,,,,
9,Florida,S&S FOOD STORE,location_details.php?id=46975,https://www.truckstopsandservices.com/location_details.php?id=46975,Trucker,marathon,30.446456,-82.933499,I-75,,6723 US-129,JASPER,FL,32052,386-792-1898 (TRAVEL CENTER),,,,5,,,4,0,0,451,,,,,,,,,,,
9,Florida,SEMINOLE TRAVEL CENTER,location_details.php?id=10456,https://www.truckstopsandservices.com/location_details.php?id=10456,Trucker,marathon,26.062673,-80.433358,US 27,,4690 US 27,WESTON,FL,33332,954-434-0660 (TRAVEL CENTER),,,,100,0,0,2,2,0,,954-434-0844,,,,,,,,,,
9,Florida,SHELL,location_details.php?id=10476,https://www.truckstopsandservices.com/location_details.php?id=10476,Trucker,shell_,29.589224,-82.084419,US 301,,7015 SE US HWY 301,HAWTHORNE,FL,32640,352-481-2253 (TRAVEL CENTER),,,,10,0,0,2,0,0,,,,,,,,,,,,
9,Florida,SNAPPER CREEK SERVICE PLAZA,location_details.php?id=10435,https://www.truckstopsandservices.com/location_details.php?id=10435,Trucker,shell_,25.66155,-80.386993,FLTP,MM 18.8,FLTP MM 18.8,MIAMI,FL,33186,305-253-3755 (TRAVEL CENTER),305-253-3755 (DUNKIN' DONUTS),,,50,0,0,6,0,0,,305-255-2993,,,,,,,,,,
9,Florida,SPEEDLANE EXPRESS,location_details.php?id=2974,https://www.truckstopsandservices.com/location_details.php?id=2974,Trucker,mobil_oil__type,28.033045,-82.056203,I-4,,501 COUNTY LINE RD,PLANT CITY,FL,33566,813-764-0522 (TRAVEL CENTER),,,,0,0,0,3,0,0,25,,,,,,,,,,,
9,Florida,SPEEDWAY,location_details.php?id=47085,https://www.truckstopsandservices.com/location_details.php?id=47085,Trucker,ind_dealer_1,27.951796,-82.400399,US 41,,5149 E ADAMO DR,TAMPA,FL,33619,813-247-2497 (TRAVEL CENTER),,,,10,,,2,0,0,FL 60,,,,,,,,,,,
9,Florida,SPEEDWAY,location_details.php?id=47053,https://www.truckstopsandservices.com/location_details.php?id=47053,Trucker,marathon,27.885741,-82.700592,CR 611,,12550 49TH ST N,PINELLAS PARK,FL,33762,727-556-0111 (TRAVEL CENTER),,,,0,0,0,3,0,0,,,,,,,,,,,,
9,Florida,SPEEDWAY,location_details.php?id=46991,https://www.truckstopsandservices.com/location_details.php?id=46991,Trucker,ind_dealer_1,28.321428,-82.502195,US 41,,11210 LAND O LAKES BLVD,LAND O LAKES,FL,34638,813-996-5808 (TRAVEL CENTER),,,,0,0,0,3,0,0,,,,,,,,,,,,
9,Florida,SPEEDWAY,location_details.php?id=46952,https://www.truckstopsandservices.com/location_details.php?id=46952,Trucker,ind_dealer_1,28.522921,-82.304002,US 98,,26260 CORTEZ BLVD,BROOKSVILLE,FL,34601,352-754-9060 (TRAVEL CENTER),,,,15,,,3,0,0,,,,,,,,,,,,
9,Florida,SPEEDWAY,location_details.php?id=46983,https://www.truckstopsandservices.com/location_details.php?id=46983,Trucker,ind_dealer_1,28.28331,-81.350628,US 192,,2294 E IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34744,407-933-1373 (TRAVEL CENTER),,,,0,,,3,0,0,,,,,,,,,,,,
9,Florida,SPEEDWAY #6569,location_details.php?id=54999,https://www.truckstopsandservices.com/location_details.php?id=54999,Trucker,speedwaygas,26.331924,-81.754211,I-75,,12030 BONITA BEACH RD SE,BONITA SPRINGS,FL,34135,239-992-9288 (TRAVEL CENTER),,,,,,,3,,,116,,,,,,,,,,,
9,Florida,SPIRIT TRAVEL CENTER,location_details.php?id=3019,https://www.truckstopsandservices.com/location_details.php?id=3019,Trucker,ind_dealer_1,28.754152,-82.099051,I-75,,293 E C 470,LAKE PANASOFFKEE,FL,33538,352-793-1233 (TRAVEL CENTER),352-793-1233 (BIG APPLE CAFE),,,75,0,75,6,2,0,321,,,,,,,,,,,
9,Florida,STOP & SHOP,location_details.php?id=3058,https://www.truckstopsandservices.com/location_details.php?id=3058,Trucker,marathon,27.966104,-82.413915,I-4,,2611 N 40TH ST,TAMPA,FL,33605,813-623-3446 (TRAVEL CENTER),,,,3,,,3,0,0,3,,,,,,,,,,,
9,Florida,STUCKEY'S BP,location_details.php?id=3073,https://www.truckstopsandservices.com/location_details.php?id=3073,Trucker,bp-,28.773254,-80.891901,I-95,,4250 DEERING PKWY,SCOTTSMOOR,FL,32754,321-267-1878 (TRAVEL CENTER),321-267-1878 (STUCKEY'S DELI),,,20,0,0,3,0,0,231,,,,,,,,,,,
9,Florida,SUGAR CREEK BP,location_details.php?id=3079,https://www.truckstopsandservices.com/location_details.php?id=3079,Trucker,bp-,28.66559,-80.872645,I-95,,4353 W MAIN ST,MIMS,FL,32754,321-267-7700 (TRAVEL CENTER),,,,2,,,3,0,0,223,,,,,,,,,,,
9,Florida,SUNOCO,location_details.php?id=10458,https://www.truckstopsandservices.com/location_details.php?id=10458,Trucker,sunoco,26.028481,-80.432246,US 27,,21250 SHERIDAN ST,PEMBROKE PINES,FL,33332,954-450-9003 (TRAVEL CENTER),,,,5,,,2,0,0,,,,,,,,,,,,
9,Florida,SUNOCO,location_details.php?id=18506,https://www.truckstopsandservices.com/location_details.php?id=18506,Trucker,sunoco,27.966426,-82.401961,I-4,,2602 N 50TH ST,TAMPA,FL,33619,813-635-1261 (TRAVEL CENTER),,,,0,,,2,0,0,3,,,,,,,,,,,
9,Florida,SUNOCO,location_details.php?id=47044,https://www.truckstopsandservices.com/location_details.php?id=47044,Trucker,sunoco,27.271216,-80.869878,US 98,,3093 HWY 98,OKEECHOBEE,FL,34972,863-467-1204 (TRAVEL CENTER),,,,4,0,0,4,0,0,,,,,,,,,,,,
9,Florida,SUNOCO #2446,location_details.php?id=55125,https://www.truckstopsandservices.com/location_details.php?id=55125,Trucker,sunoco,27.43593,-82.54701,CO RD 638,,5912 15 ST E,BRADENTON,FL,34203,941-753-1196 (TRAVEL CENTER),,,,0,0,0,3,0,0,,,,,,,,,,,,
9,Florida,SUNOCO CO-OP 2573 PALM BAY,location_details.php?id=47046,https://www.truckstopsandservices.com/location_details.php?id=47046,Trucker,sunoco,27.997558,-80.631792,I-95,,1180 MALABAR RD NE,PALM BAY,FL,32907,321-951-3333 (TRAVEL CENTER),,,,0,0,0,5,0,0,173,,,,,,,,,,,
9,Florida,SUNOCO STATION,location_details.php?id=47087,https://www.truckstopsandservices.com/location_details.php?id=47087,Trucker,sunoco,28.612764,-82.054612,FL 50,,13801 FL-471,WEBSTER,FL,33597,352-793-1899 (TRAVEL CENTER),,,,0,,,3,0,0,FL 471,,,,,,,,,,,
9,Florida,SUNOCO STATION,location_details.php?id=10471,https://www.truckstopsandservices.com/location_details.php?id=10471,Trucker,sunoco,28.04729,-81.907786,US 92,,2707 US HWY 92 E,LAKELAND,FL,33801,863-665-2573 (TRAVEL CENTER),,,,0,,,1,0,0,,,,,,,,,,,,
9,Florida,SUNSHINE FOOD STORE,location_details.php?id=3138,https://www.truckstopsandservices.com/location_details.php?id=3138,Trucker,bp-,28.360662,-80.792118,I-95,,4220 KING ST,COCOA,FL,32926,321-639-6184 (TRAVEL CENTER),,,,15,,,2,0,0,201,,,,,,,,,,,
9,Florida,SUNSTOP,location_details.php?id=46951,https://www.truckstopsandservices.com/location_details.php?id=46951,Trucker,ind_dealer_1,29.953212,-82.860401,US 27,,5595 US 27,BRANFORD,FL,32008,386-935-2620 (TRAVEL CENTER),,,,5,0,0,4,0,0,,,,,,,,,,,,
9,Florida,T&T SHELL,location_details.php?id=47082,https://www.truckstopsandservices.com/location_details.php?id=47082,Trucker,shell_,27.326382,-82.449003,US 93,,6001 PALMER BLVD,SARASOTA,FL,34232,941-377-7787 (TRAVEL CENTER),941-377-7787 (T&T DELI),,,0,0,0,4,0,0,,,,,,,,,,,,
9,Florida,TAMPA TRUCK STOP,location_details.php?id=183,https://www.truckstopsandservices.com/location_details.php?id=183,Trucker,mobil_oil__type,28.005906,-82.355479,I-4,,6503 N US HWY 301,TAMPA,FL,33610,813-740-0200 (TRAVEL CENTER),813-740-0200 (KRISPY KRUNCHY CHICKEN),,,100,0,0,9,3,2,7,813-740-0300,,,,,,,,,,
9,Florida,TRAVEL CENTERS OF AMERICA #053,location_details.php?id=3196,https://www.truckstopsandservices.com/location_details.php?id=3196,Trucker,catscale3,28.874513,-82.094796,I-75,,556 STATE ROUTE 44,WILDWOOD,FL,34785,352-748-2501 (TRAVEL CENTER),352-748-2501 (POPEYE'S),352-748-2501 (PIZZA HUT),352-748-2501 (SUBWAY),170,40,40,10,10,5,329,352-748-2390,,,,,,,,,,
