state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Street Address,City,State,Postal Code,Phone,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Exit,Fax,Phone 2,Unleaded,Diesel,Bulk Def,Propane,Phone 3,https,Phone 4,Phone 5,# of Men's Showers,http,htp,Mile Marker,Road Name,Hours of Operation,Mailing Address
22,nesota,LOVE'S TRAVEL STOP #844,location_details.php?id=53836,http://www.rvandtravelers.com/location_details.php?id=53836,RVer,loves-travel-stops-country-stores_416x416,,,MN 74,2102 ENTERPRISE DR,ST. CHARLES,MN,55972,507-932-9943 (TRAVEL CENTER),63,0,0,8,6,,233,507-932-9943,507-932-9943 (HARDEE'S),2.999,3.589,3.949,3.999,,,,,,,,,,,
22,nesota,LOVE'S TRAVEL STOP #844,location_details.php?id=55873,http://www.rvandtravelers.com/location_details.php?id=55873,RVer,loves-travel-stops-country-stores_416x416,,,I-90,2102 ENTERPRISE DR,ST. CHARLES,MN,55972,507-932-9913 (TRAVEL CENTER),63,0,0,8,6,0,233,507-932-9943,507-932-9913 (HARDEE'S),2.999,3.589,3.949,3.999,,,,,,,,,,,
22,nesota,LUCKY 7 C STORE,location_details.php?id=54645,http://www.rvandtravelers.com/location_details.php?id=54645,RVer,ind_dealer_1,,,MN 1,11 RIVER ST N,COOK,MN,55723,218-666-9984 (TRAVEL CENTER),0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
22,nesota,LUCKY 7 GENERAL STORE,location_details.php?id=54646,http://www.rvandtravelers.com/location_details.php?id=54646,RVer,ind_dealer_1,,,US 53,820 N HOOVER RD,VIRGINIA,MN,55792,218-741-3617 (TRAVEL CENTER),20,0,0,2,0,0,,,,,,,,,,,,,,,,,,
22,nesota,MEGA STOP HOLIDAY STORES,location_details.php?id=2000,http://www.rvandtravelers.com/location_details.php?id=2000,RVer,holidaystation,,,I-35,21100 KENWICK AVE,LAKEVILLE,MN,55044,952-469-1998 (TRAVEL CENTER),102,0,0,7,4,0,81,952-469-4637,,,,,,,,,,,,,,,,
22,nesota,MEL'S 7-71 TRUCK STOP,location_details.php?id=54691,http://www.rvandtravelers.com/location_details.php?id=54691,RVer,ind_dealer_1,,,US 71,19450 HWY 71 S,BLOMKEST,MN,56216,320-995-6166 (TRAVEL CENTER),20,0,0,4,1,0,,,320-995-6166 (MEL'S CAFE),,,,,,,,,,,,,,,
22,nesota,MINIT MART,location_details.php?id=1714,http://www.rvandtravelers.com/location_details.php?id=1714,RVer,mobil_oil__type,,,I-35,1050 MN 73,MOOSE LAKE,MN,55767,218-485-0200,12,0,0,2,0,0,214,218-485-0200,,,,,,,,,,,,,,,,
22,nesota,MORRIS CO-OP,location_details.php?id=54722,http://www.rvandtravelers.com/location_details.php?id=54722,RVer,cenex--300_0,,,MN 9 BYP,1000 ATLANTIC AVE,MORRIS,MN,56267,320-589-4744 (TRAVEL CENTER),1,0,0,1,0,3,,,,,,,,,,,,,,,,,,
22,nesota,MORTON BP,location_details.php?id=12929,http://www.rvandtravelers.com/location_details.php?id=12929,RVer,bp-,,,US 71,400 KOKESCH DR,MORTON,MN,56270,507-697-6205 (TRAVEL CENTER),17,0,0,2,1,0,,507-697-6498,,,,,,,,,,,,,,,,
22,nesota,NORTHSIDE OIL,location_details.php?id=12885,http://www.rvandtravelers.com/location_details.php?id=12885,RVer,tesoro-,,,US 2,607 GATEWAY DR NE,EAST GRAND FORKS,MN,56721,218-773-4345 (TRAVEL CENTER),15,0,0,3,0,0,,218-793-0106,,,,,,,,,,,,,,,,
22,nesota,OASIS TRAVEL PLAZA,location_details.php?id=54747,http://www.rvandtravelers.com/location_details.php?id=54747,RVer,cenex--300_0,,,US 10,43937 425TH ST,PERHAM,MN,56573,218-346-7810 (TRAVEL CENTER),,,,3,,,MN 78,,,,,,,,,,,,,,,,,
22,nesota,OLSONS TRUCK STOP,location_details.php?id=37795,http://www.rvandtravelers.com/location_details.php?id=37795,RVer,ind_dealer_1,,,I-94,4101 148TH ST NW,HASTY,MN,55320,763-878-1655 (TRAVEL CENTER),84,0,0,4,3,0,183,763-878-1675,763-878-1655 (HASTY 183 DINER),,,,,,,,,,,,,,,
22,nesota,ORTON'S,location_details.php?id=54756,http://www.rvandtravelers.com/location_details.php?id=54756,RVer,cenex--300_0,,,US 10,300 2ND ST,AUDUBON,MN,56511,218-439-6670 (TRAVEL CENTER),0,0,0,2,0,0,,,218-439-6670 (CHESTER'S FRIED CHICKEN),,,,,218-439-6670 (HOT STUFF PIZZA),,,,,,,,,,
22,nesota,PALACE JUNCTION C-STORE,location_details.php?id=54761,http://www.rvandtravelers.com/location_details.php?id=54761,RVer,cenex--300_0,,,US 2,6864 US HWY 2 NW,CASS LAKE,MN,56633,218-335-2655 (TRAVEL CENTER),0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
22,nesota,PETE'S PLACE SOUTH,location_details.php?id=12928,http://www.rvandtravelers.com/location_details.php?id=12928,RVer,arco-,,,US 71,179 CONVENIENCE LANE,BEMIDJI,MN,56601,218-751-9255 (TRAVEL CENTER),28,15,15,4,2,0,US 2,218-444-1353,,,,,,,,,,,,,,,,
22,nesota,PETE'S PLACE WEST,location_details.php?id=12886,http://www.rvandtravelers.com/location_details.php?id=12886,RVer,cenex--300_0,,,US 2,7189 PETE MW LANE,BEMIDJI,MN,56601,218-751-1218,14,0,0,2,0,0,,218-444-4157,,,,,,,,,,,,,,,,
22,nesota,PETRO SERVE,location_details.php?id=12887,http://www.rvandtravelers.com/location_details.php?id=12887,RVer,tesoro-,,,US 2,2470 PAUL BUNYAN NW DR,BEMIDJI,MN,56601,218-751-7504 (TRAVEL CENTER),12,0,0,5,2,0,,218-759-1816,,,,,,,,,,,,,,,,
22,nesota,PETRO SERVE,location_details.php?id=12891,http://www.rvandtravelers.com/location_details.php?id=12891,RVer,tesoro-,,,US 10,11 STATE ST NE,GLYNDON,MN,56547,218-498-0224 (TRAVEL CENTER),6,0,0,6,2,0,,218-498-2465,,,,,,,,,,,,,,,,
22,nesota,PETRO STOPPING CENTER #389,location_details.php?id=2232,http://www.rvandtravelers.com/location_details.php?id=2232,RVer,petro,,,I-94,950 MN 24,CLEARWATER,MN,55320,320-558-2261 (TRAVEL CENTER),150,0,0,8,7,0,178,320-558-6505,320-558-2261 (NELSON BROTHER'S RESTAURANT),,,,,,www.ta-petro.com/location/mn/petro-clearwater,,,,,,,,,
22,nesota,PETRO STOPPING CENTER #398,location_details.php?id=3393,http://www.rvandtravelers.com/location_details.php?id=3393,RVer,petro,,,I-35,820 HAPPY TRAILS LANE,ALBERT LEA,MN,56007,507-373-4200 (TRAVEL CENTER),305,14,14,10,10,7,11,507-379-2646,507-373-4200 (MCDONALD'S),,,,,507-373-4200 (SKULL TAVERN),www.ta-petro.com/location/mn/petro-albert-lea,507-373-4200 (TACO BELL),507-373-4200 (PIZZA HUT),,,,,,,
22,nesota,PETROL PUMPER,location_details.php?id=12920,http://www.rvandtravelers.com/location_details.php?id=12920,RVer,ind_dealer_1,,,US 59,17107 US 59 NE,THIEF RIVER FALLS,MN,56701,218-681-3546,23,0,0,4,2,0,,218-681-8489,,,,,,,,,,1,,,,,,
22,nesota,PILOT TRAVEL CENTER #134,location_details.php?id=17476,http://www.rvandtravelers.com/location_details.php?id=17476,RVer,pilot,,,I-94,4231 CLEARWATER RD,ST. CLOUD,MN,56301,320-251-8455 (TRAVEL CENTER),44,7,7,6,4,0,171,320-251-7750,,3.069,3.479,3.959,,,pilotflyingj.com/stores/134/,,,,,,,,,
22,nesota,PILOT TRAVEL CENTER #581,location_details.php?id=12907,http://www.rvandtravelers.com/location_details.php?id=12907,RVer,pilot,,,US 52,11650 COURTHOUSE BLVD,INVER GROVE HEIGHTS,MN,55077,651-438-3397 (TRAVEL CENTER),50,9,9,5,4,1,MN 55,651-480-4800,651-438-3397 (SUBWAY),3.069,3.559,3.959,,,pilotflyingj.com/stores/581/,,,,,,,,,
22,nesota,PILOT TRAVEL CENTER #590,location_details.php?id=2608,http://www.rvandtravelers.com/location_details.php?id=2608,RVer,pilot,,,I-94,3181 EVERGREEN LANE,ALEXANDRIA,MN,56308,320-763-9222 (TRAVEL CENTER),50,5,5,7,6,0,100,320-763-2339,320-763-9222 (SUBWAY),3.099,3.499,3.959,,,pilotflyingj.com/stores/590/,,,,,,,,,
22,nesota,PINE EDGE GROCERY,location_details.php?id=12894,http://www.rvandtravelers.com/location_details.php?id=12894,RVer,marathon,,,US 10,1490 110TH ST NW,RICE,MN,56367,320-393-2124 (TRAVEL CENTER),10,0,0,3,0,0,,320-393-4599,,,,,,,,,,,,,,,,
22,nesota,PINE SQUARE,location_details.php?id=54797,http://www.rvandtravelers.com/location_details.php?id=54797,RVer,ind_dealer_1,,,MN 25/18,3325 OAK ST,BRAINERD,MN,56401,218-825-0715 (TRAVEL CENTER),0,0,0,4,0,0,,,,,,,,,,,,,,,,,,
22,nesota,PRO STOP,location_details.php?id=54815,http://www.rvandtravelers.com/location_details.php?id=54815,RVer,ind_dealer_1,,,I-94,543 N CLEVELAND AVE,ST. PAUL,MN,55114,651-645-1152 (TRAVEL CENTER),0,0,0,3,0,0,237,,,,,,,,,,,,,,,,,
22,nesota,RAINY LAKE OIL,location_details.php?id=54849,http://www.rvandtravelers.com/location_details.php?id=54849,RVer,ind_dealer_1,,,332,3120 HWY 332,INTERNATIONAL FALLS,MN,56649,218-283-4477 (TRAVEL CENTER),10,0,0,4,1,0,,,,,,,,,,,,,,,,,,
22,nesota,ROTHSAY TRUCK STOP,location_details.php?id=2805,http://www.rvandtravelers.com/location_details.php?id=2805,RVer,rothsay_truck_stopcopy,,,I-94,544 CENTER ST N,ROTHSAY,MN,56579,218-736-2197 (TRAVEL CENTER),100,0,0,4,2,0,38,218-867-2266,218-736-2198 (ROTHSAY CAFE),,,,,,,,,,,,,,,
22,nesota,SCHMIDTY'S BK,location_details.php?id=47610,http://www.rvandtravelers.com/location_details.php?id=47610,RVer,bp-,,,I-94,4325 CLEARWATER RD,ST. AUGUSTINE,MN,56301,320-774-0985 (TRAVEL CENTER),12,0,0,4,4,0,171,,,,,,,,,,,,,,,,,
22,nesota,SEVERSON'S SINCLAIR,location_details.php?id=54908,http://www.rvandtravelers.com/location_details.php?id=54908,RVer,sinclair_oil_.svg,,,MN 43,952 MANKATO AVE,WINONA,MN,55987,507-454-7490 (TRAVEL CENTER),0,0,0,2,0,0,,507-452-2575,,,,,,,,,,,,,,,,
22,nesota,SHELL,location_details.php?id=47631,http://www.rvandtravelers.com/location_details.php?id=47631,RVer,shell_,,,US 14,2424 3RD AVE,MANKATO,MN,56001,507-387-3885 (TRAVEL CENTER),30,0,0,2,1,0,MN 5,507-387-3236,,,,,,,,,,,,,,,,
22,nesota,SHELL FOOD MART,location_details.php?id=47597,http://www.rvandtravelers.com/location_details.php?id=47597,RVer,shell_,,,I-90,1510 GIANT DR,BLUE EARTH,MN,56013,507-526-5066 (TRAVEL CENTER),20,0,0,3,0,0,119,,,,,,,,,,,,,,,,,
22,nesota,SIXTY-THREE FUEL STOP,location_details.php?id=54934,http://www.rvandtravelers.com/location_details.php?id=54934,RVer,clark,,,CR 63,35 CO RD 63,GRAND RAPIDS,MN,55744,218-326-9230 (TRAVEL CENTER),3,0,0,2,0,0,,,,,,,,,,,,,,,,,,
22,nesota,SMART MART,location_details.php?id=54937,http://www.rvandtravelers.com/location_details.php?id=54937,RVer,shell_,,,MN 19,600 E LINCOLN AVE,FAIRFAX,MN,55332,507-426-8396,0,0,0,4,0,2,MN 4,,,,,,,,,,,,,,,,,
22,nesota,SMITH OIL,location_details.php?id=54942,http://www.rvandtravelers.com/location_details.php?id=54942,RVer,ind_dealer_1,,,US 212,503 N FAXON RD,NORWOOD,MN,55368,952-467-2640 (TRAVEL CENTER),0,0,0,2,0,0,,,952-467-2640 (HOT STUFF PIZZA),,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=3145,http://www.rvandtravelers.com/location_details.php?id=3145,RVer,super-america-,,,I-90,2197 N STATE ST,FAIRMONT,MN,56031,507-235-8424 (TRAVEL CENTER),31,0,0,4,1,0,102,507-235-8471,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=3146,http://www.rvandtravelers.com/location_details.php?id=3146,RVer,speedwaygas,,,I-94,4375 O DAY AVE NE,ST. MICHAEL,MN,55376,763-497-0999,5,0,0,4,0,0,205,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=12861,http://www.rvandtravelers.com/location_details.php?id=12861,RVer,speedwaygas,,,MN 23,4725 QUAIL RD NE,SAUK RAPIDS,MN,56379,320-251-4144 (TRAVEL CENTER),21,0,0,3,2,0,,320-251-1106,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=12906,http://www.rvandtravelers.com/location_details.php?id=12906,RVer,super-america-,,,US 52,31600 65TH AVE,CANNON FALLS,MN,55009,507-263-4496 (TRAVEL CENTER),10,0,0,3,0,0,,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=12913,http://www.rvandtravelers.com/location_details.php?id=12913,RVer,super-america-,,,US 53,7521 COMSTOCK LAKE RD,COTTON,MN,55724,218-482-5599 (TRAVEL CENTER),15,0,0,3,0,0,,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=54636,http://www.rvandtravelers.com/location_details.php?id=54636,RVer,speedwaygas,,,US 12,639 E HWY 12,LITCHFIELD,MN,55355,320-693-7498 (TRAVEL CENTER),0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=55149,http://www.rvandtravelers.com/location_details.php?id=55149,RVer,speedwaygas,,,US 212,2306 E 9TH ST,GLENCOE,MN,55336,320-864-3039 (TRAVEL CENTER),0,0,0,5,0,0,,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=55151,http://www.rvandtravelers.com/location_details.php?id=55151,RVer,speedwaygas,,,I-94,107 28TH AVE S,WAITE PARK,MN,56387,320-203-7040 (TRAVEL CENTER),,,,4,,,164,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY,location_details.php?id=55146,http://www.rvandtravelers.com/location_details.php?id=55146,RVer,speedwaygas,,,MN 371,1223 S 6TH ST,BRAINERD,MN,56401,218-829-0568 (TRAVEL CENTER),8,0,0,2,0,0,,218-829-0568,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY #4035,location_details.php?id=55145,http://www.rvandtravelers.com/location_details.php?id=55145,RVer,speedwaygas,,,US 169 BYP,1155 E 1ST AVE,SHAKOPEE,MN,55379,952-445-1144 (TRAVEL CENTER),,,,4,,,110,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY #4180,location_details.php?id=55147,http://www.rvandtravelers.com/location_details.php?id=55147,RVer,speedwaygas,,,I-35W,1280 W 98TH ST,BLOOMINGTON,MN,55431,952-881-1911 (TRAVEL CENTER),0,0,0,8,0,0,6,952-881-1911,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY #4439,location_details.php?id=55148,http://www.rvandtravelers.com/location_details.php?id=55148,RVer,speedwaygas,,,MN 41,12835 VENTURA CT,SHAKOPEE,MN,55379,952-403-6035 (TRAVEL CENTER),,,,4,,,,,,,,,,,,,,,,,,,,
22,nesota,SPEEDWAY #4861,location_details.php?id=55150,http://www.rvandtravelers.com/location_details.php?id=55150,RVer,speedwaygas,,,MN 23/25,181 MN-23 W,FOLEY,MN,56329,320-818-1146 (TRAVEL CENTER),,,,2,,,,,,,,,,,,,,,,,,,,
22,nesota,STOCKMEN'S TRUCK STOP,location_details.php?id=3052,http://www.rvandtravelers.com/location_details.php?id=3052,RVer,ind_dealer_1,,,I-494,501 FARWELL AVE,ST. PAUL,MN,55075,651-455-3044 (TRAVEL CENTER),59,15,15,5,4,0,64-A,651-455-1193,651-455-3044 (STOCKMEN'S RESTAURANT),,,,,,,,,,,,,,,
22,nesota,SUPER AMERICA,location_details.php?id=3144,http://www.rvandtravelers.com/location_details.php?id=3144,RVer,super-america-,,,I-35,1260 8TH ST NW,PINE CITY,MN,55063,320-629-6750 (TRAVEL CENTER),2,0,0,3,0,0,171,,,,,,,,,,,,,,,,,
22,nesota,THE FISHERMAN,location_details.php?id=55171,http://www.rvandtravelers.com/location_details.php?id=55171,RVer,cenex--300_0,,,US 53,100 MEMORIAL DR,INTERNATIONAL FALLS,MN,56649,218-283-9440,4,0,0,4,0,0,,,,,,,,,,,,,,,,,,
22,nesota,TRAVEL CENTERS OF AMERICA #190 - MARTY ELLIS,location_details.php?id=15984,http://www.rvandtravelers.com/location_details.php?id=15984,RVer,catscale3,,,I-94,13400 ROGERS DR,ROGERS,MN,55374,763-428-2277 (TRAVEL CENTER),80,40,40,8,8,3,207-A,763-428-2007,763-428-2277 (COUNTRY PRIDE RESTAURANT),,,,,,www.ta-petro.com/location/mn/ta-rogers,,,,,,,,,
22,nesota,TRI-COUNTY CO-OP,location_details.php?id=55201,http://www.rvandtravelers.com/location_details.php?id=55201,RVer,cenex--300_0,,,US 75,922 US HWY 75,GRACEVILLE,MN,56240,320-748-7187 (TRAVEL CENTER),12,0,0,2,0,0,MN 28,320-748-8114,320-748-7187 (COOPER'S CHICKEN),,,,,320-748-7187 (WINGMAN PIZZA),,,,,,,,,,
22,nesota,TRUCKER'S INN,location_details.php?id=3533,http://www.rvandtravelers.com/location_details.php?id=3533,RVer,shell_,,,I-94,1420 MAIN ST S,SAUK CENTRE,MN,56378,320-352-3692 (TRAVEL CENTER),150,0,0,6,5,3,127,320-352-5104,320-352-3692 (TRUCKER'S INN RESTAURANT),,,,,,,,,,,,,,,
22,nesota,TRUCKERS INN,location_details.php?id=3531,http://www.rvandtravelers.com/location_details.php?id=3531,RVer,super-america-,,,I-35,2519 LYNDALE N AVE,FARIBAULT,MN,55021,507-332-7465 (TRAVEL CENTER),97,0,0,6,6,0,59,507-332-7988,,,,,,,,,,,,,,,,
22,nesota,UNITED EXPRESS,location_details.php?id=47603,http://www.rvandtravelers.com/location_details.php?id=47603,RVer,cenex--300_0,,,MN 7,17535 MN 7,NEW GERMANY,MN,55367,952-353-2601,20,0,0,3,0,0,CR 33,,,,,,,,,,,,,,,,,
22,nesota,VET'S WHOA N GO,location_details.php?id=3613,http://www.rvandtravelers.com/location_details.php?id=3613,RVer,super-america-,,,I-90,2001 US 71 N,JACKSON,MN,56143,507-847-3621 (TRAVEL CENTER),30,0,0,7,1,0,73,507-847-3501,,,,,,,,,,,,,,,,
22,nesota,VET'S WHOA N GO,location_details.php?id=3614,http://www.rvandtravelers.com/location_details.php?id=3614,RVer,super-america-,,,I-90,23087 MN 13,ALBERT LEA,MN,56007,507-377-2230,30,0,0,5,0,0,154,507-377-7977,,,,,,,,,,,,,,,,
22,nesota,VET'S WHOA N GO,location_details.php?id=55236,http://www.rvandtravelers.com/location_details.php?id=55236,RVer,speedwaygas,,,US 71,1550 1ST AVE,WINDOM,MN,56101,507-831-1576,4,0,0,2,0,0,MN 60,,,,,,,,,,,,,,,,,
22,nesota,VILLAGE ONE STOP,location_details.php?id=55240,http://www.rvandtravelers.com/location_details.php?id=55240,RVer,ind_dealer_1,,,MN 72,143 CLARK AVE S,KELLIHER,MN,56650,218-647-8266 (TRAVEL CENTER),5,0,0,4,1,0,,,,,,,,,,,,,,,,,,
22,nesota,WHITE WATER TRAVEL PLAZA,location_details.php?id=252,http://www.rvandtravelers.com/location_details.php?id=252,RVer,bp-,,,I-90,2850 WHITEWATER AVE,ST. CHARLES,MN,55972,507-932-5907 (TRAVEL CENTER),45,0,0,5,0,0,233,507-932-5380,507-932-5907 (WHITE WATER RESTAURANT),,,,,,,,,,,,,,,
22,nesota,WIN-E-MAC TRAVEL CENTER,location_details.php?id=12881,http://www.rvandtravelers.com/location_details.php?id=12881,RVer,tesoro-,,,US 2,22848 347TH SE ST,ERSKINE,MN,56535,218-687-3887 (TRAVEL CENTER),10,0,0,5,2,0,US 59,218-687-3886,218-687-3887 (CHAMP'S CHICKEN),,,,,,,,,,,,,,,
22,nesota,WORTHINGTON TRAVEL PLAZA,location_details.php?id=3731,http://www.rvandtravelers.com/location_details.php?id=3731,RVer,ind_dealer_1,,,I-90,2411 MN 60 NE,WORTHINGTON,MN,56187,507-376-4848,50,0,0,4,2,0,45,507-376-4119,,,,,,,,,,,,,,,,
23,Missouri,ABEL'S QUIK SHOP,location_details.php?id=45329,http://www.rvandtravelers.com/location_details.php?id=45329,RVer,shell_,,,US 36,100 SHINN LANE,HANNIBAL,MO,63401,573-248-0891 (TRAVEL CENTER),15,0,0,3,0,0,SHINN LANE,573-248-0691,573-248-0891 (SUBWAY),,,,,,,,,,,,,,,
23,Missouri,ABEL'S SHELL FUEL CENTER,location_details.php?id=217,http://www.rvandtravelers.com/location_details.php?id=217,RVer,shell_,,,I-70,431 BOONESLICK RD,NEW FLORENCE,MO,63363,573-835-2235 (TRAVEL CENTER),0,0,0,4,0,0,175,,,,,,,,,,,,,,,,,
23,Missouri,ABEL'S SHELL FUEL CENTER,location_details.php?id=12806,http://www.rvandtravelers.com/location_details.php?id=12806,RVer,shell_,,,US 61,1601 S BUSINESS 61,BOWLING GREEN,MO,63334,573-324-2924 (TRAVEL CENTER),0,0,0,2,0,0,,573-324-2924,573-324-2924 (MCDONALD'S),,,,,,,,,,,,,,,
23,Missouri,AMERI MART,location_details.php?id=12807,http://www.rvandtravelers.com/location_details.php?id=12807,RVer,66gas,,,I-55,5410 US 61,FRUITLAND,MO,63755,573-243-1125 (TRAVEL CENTER),30,0,0,3,0,0,105,573-243-3770,,,,,,,,,,,,,,,,
23,Missouri,AYERCO,location_details.php?id=12810,http://www.rvandtravelers.com/location_details.php?id=12810,RVer,ayerco,,,US 61,10 US 136,ALEXANDRIA,MO,63430,660-754-6332 (TRAVEL CENTER),50,0,0,4,0,0,US 136,660-754-6455,660-754-6332 (CHAMP'S CHICKEN),,,,,,,,,,,,,,,
23,Missouri,AYERCO,location_details.php?id=12813,http://www.rvandtravelers.com/location_details.php?id=12813,RVer,ayerco,,,US 61,304 HWY 61 S,HANNIBAL,MO,63401,573-221-4210 (TRAVEL CENTER),10,0,0,2,0,0,CO RD MM,573-221-8403,573-221-4210 (BIG MUDDY BBQ),,,,,,,,,,,,,,,
23,Missouri,AYERCO #25,location_details.php?id=12781,http://www.rvandtravelers.com/location_details.php?id=12781,RVer,ayerco,,,US 24,8800 HWY 24,WEST QUINCY,MO,63471,573-393-2330 (TRAVEL CENTER),12,0,0,3,0,0,,573-393-2052,,,,,,,,,,,,,,,,
23,Missouri,AYERCO 32,location_details.php?id=45322,http://www.rvandtravelers.com/location_details.php?id=45322,RVer,ayerco,,,US 61,1700 OAK ST,CANTON,MO,63435,573-288-0378 (TRAVEL CENTER),75,0,0,4,2,0,US 61 BUS,573-288-0276,573-288-0378 (STEAK 'N SHAKE),,,,,,,,,,,,,,,
23,Missouri,AYERCO 35,location_details.php?id=12811,http://www.rvandtravelers.com/location_details.php?id=12811,RVer,ayerco,,,US 61,18048 MO 161,BOWLING GREEN,MO,63334,573-324-3006 (TRAVEL CENTER),50,0,0,6,1,0,,573-324-2120,573-324-3006 (CHESTER'S FRIED CHICKEN),,,,,,,,,,,,,,,
23,Missouri,AYERCO 44,location_details.php?id=12788,http://www.rvandtravelers.com/location_details.php?id=12788,RVer,ayerco,,,US 24,7233 HWY MM,PALMYRA,MO,63461,573-248-0006 (TRAVEL CENTER),70,0,0,3,1,0,US 36,573-248-3645,573-248-0006 (JOE'S DINER),,,,,,,,,,,,,,,
23,Missouri,BETTY'S TRUCK STOP,location_details.php?id=335,http://www.rvandtravelers.com/location_details.php?id=335,RVer,shell_,,,I-70,12260 YY CO RD,SWEET SPRINGS,MO,65351,660-335-4687 (TRAVEL CENTER),75,0,0,2,0,0,74,,,,,,,,,,,,,,,,,
23,Missouri,BI STATE SOUTHERN,location_details.php?id=12776,http://www.rvandtravelers.com/location_details.php?id=12776,RVer,mobil_oil__type,,,MO 74,612 S SPRIGG ST,CAPE GIRARDEAU,MO,63703,573-651-3571 (TRAVEL CENTER),0,0,0,2,0,0,SPRIGG,573-335-5529,,,,,,,,,,,,,,,,
