state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,Fax,Diesel,Bulk Def,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Unleaded,Phone 4,Phone 5,# of Men's Showers,Propane,http,Hours of Operation,Road Name,https,Mile Marker,Mailing Address
44,Tennessee,PILOT TRAVEL CENTER #53,location_details.php?id=18097,https://www.truckstopsandservices.com/location_details.php?id=18097,Trucker,pilot,35.882477,-87.800251,I-40,143,15559 TN-13 S,HURRICANE MILLS,TN,37078,931-296-7180 (TRAVEL CENTER),931-296-1955 (ARBY'S),,931-296-7719,3.499,4.359,185,10,10,10,8,1,2.569,,,,,,,,,,
44,Tennessee,PJ FULLER TRUCK FUEL,location_details.php?id=54803,https://www.truckstopsandservices.com/location_details.php?id=54803,Trucker,ind_dealer_1,35.37428,-85.112898,US 27,,14724 DAYTON PIKE,SALE CREEK,TN,37373,423-332-7059 (TRAVEL CENTER),423-332-7059 (HUNT BROTHERS PIZZA),423-332-7059 (KRISPY KRUNCHY CHICKEN),,,,7,7,7,7,0,0,,,,,,,,,,,
44,Tennessee,QUICK STOP #34,location_details.php?id=54828,https://www.truckstopsandservices.com/location_details.php?id=54828,Trucker,marathon,36.58985,-82.28112,US 11,,1740 HWY 11 W,BRISTOL,TN,37620,423-217-1080 (TRAVEL CENTER),,,,,,0,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,RACETRAC #2583,location_details.php?id=64929,https://www.truckstopsandservices.com/location_details.php?id=64929,Trucker,,35.99979,-86.59836,,,I-24 & EXIT 64,Lavergne,TN,37086,731-315-2322,,,,,,,,,,,,,,,,,,,,,,
44,Tennessee,RIVER HEIGHTS GROCERY,location_details.php?id=47126,https://www.truckstopsandservices.com/location_details.php?id=47126,Trucker,ind_dealer_1,35.221924,-88.315416,US 64,,3300 US 64,CRUMP,TN,38327,731-632-1556 (TRAVEL CENTER),731-632-1556 (RIVER HEIGHTS DELI),,,,,30,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,ROADRUNNER,location_details.php?id=2785,https://www.truckstopsandservices.com/location_details.php?id=2785,Trucker,shell_,36.327247,-82.836145,I-81,36,300 VAN HILL RD,BAILEYTON,TN,37745,423-234-0203 (TRAVEL CENTER),423-234-0203 (SUBWAY),,,,,41,0,0,3,3,0,,,,,,,,,,,
44,Tennessee,ROADRUNNER #110,location_details.php?id=54868,https://www.truckstopsandservices.com/location_details.php?id=54868,Trucker,bp-,36.50642,-82.55393,TN 93,,1312 S JOHN B DENNIS HWY,KINGSPORT,TN,37660,423-245-8831 (TRAVEL CENTER),423-245-8831 (SUBWAY),,,,,0,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,ROADRUNNER #149,location_details.php?id=54869,https://www.truckstopsandservices.com/location_details.php?id=54869,Trucker,bp-,36.16125,-82.395314,I-26,36,1415 N MAIN AVE,ERWIN,TN,37650,423-743-2466,,,,,,0,0,0,1,0,0,,,,,,,,,,,
44,Tennessee,SAM'S TRAVEL CENTER,location_details.php?id=47217,https://www.truckstopsandservices.com/location_details.php?id=47217,Trucker,bp-,35.234208,-85.826672,I-24,135,414 DIXIE LEE AVE,MONTEAGLE,TN,37356,931-924-3676 (TRAVEL CENTER),,,,,,1,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,SAVANNA ONE STOP,location_details.php?id=54900,https://www.truckstopsandservices.com/location_details.php?id=54900,Trucker,ind_dealer_1,35.224789,-88.252587,US 64,,45 BRIDGE AVE,SAVANNAH,TN,38372,731-412-5070,,,,,,0,0,0,2,0,0,,,,,,,,,,,
44,Tennessee,SERV-N-GO MART,location_details.php?id=12495,https://www.truckstopsandservices.com/location_details.php?id=12495,Trucker,exxon,35.612184,-85.899859,TN 55,,8935 MANCHESTER HWY,MORRISON,TN,37357,931-815-9332 (TRAVEL CENTER),,,,,,41,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,SHADY LAWN TRUCK STOP,location_details.php?id=2886,https://www.truckstopsandservices.com/location_details.php?id=2886,Trucker,shell_,35.08324,-86.882171,I-65,6,1371 BRYSON RD,ELKTON,TN,38449,931-468-0601 (TRAVEL CENTER),,,,,,42,0,0,4,4,4,,,,,,,,,,,
44,Tennessee,Shelby Express,location_details.php?id=64742,https://www.truckstopsandservices.com/location_details.php?id=64742,Trucker,,35.02115823,-89.87917624,,,5510 E Shelby DR,Memphis,TN,38141,901-308-2560,,,,,,,,,,,,,,,,,,,,,,
44,Tennessee,SHELL OF LONGTOWN,location_details.php?id=1726,https://www.truckstopsandservices.com/location_details.php?id=1726,Trucker,shell_,35.347069,-89.516354,I-40,35,3965 TN 59,LONGTOWN,TN,38049,901-594-5103 (TRAVEL CENTER),901-594-5103 (LONGTOWN RESTAURANT),,901-594-5272,,,90,0,90,3,3,1,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=414,https://www.truckstopsandservices.com/location_details.php?id=414,Trucker,speedwaygas,35.677185,-88.745854,I-40,87,2018 US 70 E,JACKSON,TN,38305,731-424-9640 (TRAVEL CENTER),,,,,,0,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=707,https://www.truckstopsandservices.com/location_details.php?id=707,Trucker,speedwaygas,35.935727,-86.530628,I-24,70,8281 TRIDON DR,SMYRNA,TN,37167,615-355-7073 (TRAVEL CENTER),615-355-7073 (SPEEDY CAFE),,,,,25,0,0,6,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=47153,https://www.truckstopsandservices.com/location_details.php?id=47153,Trucker,speedwaygas,35.061306,-85.13603,I-75,7-B NB / 7 SB,7420 BONNY OAKS DR,CHATTANOOGA,TN,37421,423-499-1004 (TRAVEL CENTER),,,,,,7,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=47122,https://www.truckstopsandservices.com/location_details.php?id=47122,Trucker,speedwaygas,35.17895,-84.867683,US 74,,105 25TH ST NW,CLEVELAND,TN,37311,423-473-4665 (TRAVEL CENTER),,,,,,0,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=47125,https://www.truckstopsandservices.com/location_details.php?id=47125,Trucker,speedwaygas,35.977502,-85.014726,I-40,320,1898 GENESIS RD,CROSSVILLE,TN,38555,931-707-8802 (TRAVEL CENTER),,,,,,7,0,0,5,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=47141,https://www.truckstopsandservices.com/location_details.php?id=47141,Trucker,speedwaygas,36.182876,-85.459205,TN 111,,635 MAIN ST,COOKEVILLE,TN,38506,931-537-2121 (TRAVEL CENTER),931-537-2121 (SPEEDY CAFE),,,,,0,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=47142,https://www.truckstopsandservices.com/location_details.php?id=47142,Trucker,speedwaygas,35.469125,-84.653771,I-75,49,2920 DECATUR PIKE,ATHENS,TN,37303,423-746-2460 (TRAVEL CENTER),,,,,,10,0,0,6,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY,location_details.php?id=18791,https://www.truckstopsandservices.com/location_details.php?id=18791,Trucker,speedwaygas,35.685327,-88.777346,I-40,85,2522 CHRISTMASVILLE RD,JACKSON,TN,38305,731-424-7039 (TRAVEL CENTER),,,,,,10,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7103,location_details.php?id=55021,https://www.truckstopsandservices.com/location_details.php?id=55021,Trucker,speedwaygas,35.26212,-87.324754,US 43,,1609 N LOCUST AVE,LAWRENCEBURG,TN,38464,931-762-2768 (TRAVEL CENTER),931-762-2768 (SPEEDY CAFE),,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7105,location_details.php?id=55022,https://www.truckstopsandservices.com/location_details.php?id=55022,Trucker,speedwaygas,36.009704,-86.544498,US 41,TN 1,5540 MURFREESBORO RD,LA VERGNE,TN,37086,615-223-6085 (TRAVEL CENTER),615-223-6085 (SPEEDY CAFE),,,,,,,,2,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7106,location_details.php?id=55023,https://www.truckstopsandservices.com/location_details.php?id=55023,Trucker,speedwaygas,36.140999,-85.630812,I-40,280,855 1ST AVE S,BAXTER,TN,38544,931-858-2262 (TRAVEL CENTER),,,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7111,location_details.php?id=55024,https://www.truckstopsandservices.com/location_details.php?id=55024,Trucker,speedwaygas,35.87765,-87.80246,I-40,143,15852 HWY 13 S,HURRICANE MILLS,TN,37078,931-296-9008 (TRAVEL CENTER),,,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7114,location_details.php?id=55025,https://www.truckstopsandservices.com/location_details.php?id=55025,Trucker,speedwaygas,35.029904,-85.187995,TN 2,,6121 LEE HWY,CHATTANOOGA,TN,37421,423-296-1069 (TRAVEL CENTER),,,,,,,,,2,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7118,location_details.php?id=55026,https://www.truckstopsandservices.com/location_details.php?id=55026,Trucker,speedwaygas,35.94821,-86.48795,TN 1,,1261 S LOWRY ST,SMYRNA,TN,37167,615-220-1159 (TRAVEL CENTER),,,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7124,location_details.php?id=55027,https://www.truckstopsandservices.com/location_details.php?id=55027,Trucker,speedwaygas,36.17312,-86.301844,TN 10,,1135 MURFREESBORO RD,LEBANON,TN,37090,615-547-1163 (TRAVEL CENTER),615-547-1163 (SPEEDY CAFE),,,,,,,,2,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7136,location_details.php?id=55028,https://www.truckstopsandservices.com/location_details.php?id=55028,Trucker,speedwaygas,36.13962,-86.731993,TN 1,,710 MURFREESBORO PIKE,NASHVILLE,TN,37210,615-742-6404 (TRAVEL CENTER),615-742-6404 (SPEEDY CAFE),,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7148,location_details.php?id=55029,https://www.truckstopsandservices.com/location_details.php?id=55029,Trucker,speedwaygas,36.191996,-86.412305,TN 109,,450 TN-109,LEBANON,TN,37090,615-444-4272 (TRAVEL CENTER),615-444-4272 (SPEEDY CAFE),,,,,,,,4,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7156,location_details.php?id=55030,https://www.truckstopsandservices.com/location_details.php?id=55030,Trucker,speedwaygas,35.909302,-84.150217,I-40,374,617 LOVELL RD,KNOXVILLE,TN,37932,865-288-6391 (TRAVEL CENTER),865-288-6391 (SPEEDY CAFE),,,,,,,,2,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7159,location_details.php?id=55031,https://www.truckstopsandservices.com/location_details.php?id=55031,Trucker,speedwaygas,36.010628,-83.533087,I-40,412,1065 DEEP SPRINGS RD,DANDRIDGE,TN,37725,865-397-0985 (TRAVEL CENTER),865-397-0985 (SPEEDY CAFE),,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,Speedway #7175,location_details.php?id=64741,https://www.truckstopsandservices.com/location_details.php?id=64741,Trucker,,35.02110926,-89.91972893,,,4302 East Shelby DR,Memphis,TN,38118,901-712-3166,,,,,,,,,,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY #7176,location_details.php?id=55032,https://www.truckstopsandservices.com/location_details.php?id=55032,Trucker,speedwaygas,35.650728,-87.011932,TN 6,,1535 NASHVILLE HWY,COLUMBIA,TN,38401,931-840-4998 (TRAVEL CENTER),931-840-4998 (SPEEDY CAFE),,,,,,,,2,,,,,,,,,,,,,
44,Tennessee,SPEEDWAY CAFE,location_details.php?id=55079,https://www.truckstopsandservices.com/location_details.php?id=55079,Trucker,ind_dealer_1,35.032448,-85.582433,I-24,158,510 TVA RD,JASPER,TN,37347,423-942-8878 (TRAVEL CENTER),423-942-8878 (SPEEDY CAFE),,,,,,,,3,,,,,,,,,,,,,
44,Tennessee,SUDDEN SERVICE,location_details.php?id=47128,https://www.truckstopsandservices.com/location_details.php?id=47128,Trucker,ind_dealer_1,36.368932,-87.644767,TN 149,,1349 TN 149 E,CUMBERLAND CITY,TN,37050,931-827-4244 (TRAVEL CENTER),,,,,,10,0,0,2,2,0,,,,,,,,,,,
44,Tennessee,SUPER TRUCK & TRAVEL PLAZA,location_details.php?id=2008,https://www.truckstopsandservices.com/location_details.php?id=2008,Trucker,ind_dealer_1,36.130682,-85.478989,I-40,288,1750 SALEM RD,COOKEVILLE,TN,38506,931-526-3314 (TRAVEL CENTER),,,,,,82,0,0,4,3,0,,,,,,,,,,,
44,Tennessee,TATE'S QUICK STOP,location_details.php?id=55161,https://www.truckstopsandservices.com/location_details.php?id=55161,Trucker,ind_dealer_1,36.06196,-88.989959,TN 5,,547 S MAIN ST,DYER,TN,38330,731-692-2860 (TRAVEL CENTER),,,,,,0,0,0,2,0,0,,,,,,,,,,,
44,Tennessee,THE CONVENIENCE MART,location_details.php?id=55169,https://www.truckstopsandservices.com/location_details.php?id=55169,Trucker,citgo,36.14224,-85.275345,US 70,TN 84,806 S HOLLY ST,MONTEREY,TN,38574,931-839-3880 (TRAVEL CENTER),,,,,,4,0,0,2,0,0,,,,,,,,,,,
44,Tennessee,THE JUNCTION,location_details.php?id=55173,https://www.truckstopsandservices.com/location_details.php?id=55173,Trucker,ind_dealer_1,35.077437,-88.546874,US 45,TN 57,6745 TN-5,RAMER,TN,38367,731-646-2606,,,,,,50,0,0,3,0,0,,,,,,,,,,,
44,Tennessee,THE TENNESSEAN TRUCK STOP,location_details.php?id=3292,https://www.truckstopsandservices.com/location_details.php?id=3292,Trucker,exxon,35.310151,-86.879708,I-65,22,3686 PULASKI HWY,CORNERSVILLE,TN,37047,931-293-4171 (TRAVEL CENTER),931-293-4171 (TENNESSEAN RESTAURANT),,931-293-2490,,,100,0,0,5,4,0,,,,,,,,,,,
44,Tennessee,THORNTON'S,location_details.php?id=48392,https://www.truckstopsandservices.com/location_details.php?id=48392,Trucker,ind_dealer_1,36.016283,-86.620256,I-24,62,13010 OLD HICKORY BLVD,ANTIOCH,TN,37013,615-641-2322 (TRAVEL CENTER),,,,,,50,0,0,7,0,0,,,,,,,,,,,
44,Tennessee,THORNTON'S INC.,location_details.php?id=52869,https://www.truckstopsandservices.com/location_details.php?id=52869,Trucker,ind_dealer_1,36.084854,-87.099641,I-40,188,120 LUYBEN HILLS RD,KINGSTON SPRINGS,TN,37082,615-952-2122 (TRAVEL CENTER),,,615-952-3503,,,12,0,0,7,0,0,,,,,,,,,,,
44,Tennessee,THORNTON'S INC.,location_details.php?id=52882,https://www.truckstopsandservices.com/location_details.php?id=52882,Trucker,ind_dealer_1,36.132405,-86.402855,I-840,72-A,15025 CENTRAL PIKE,LEBANON,TN,37090,615-489-2990 (TRAVEL CENTER),,,,,,11,,,5,0,0,,,,,,,,,,,
44,Tennessee,Thorntons,location_details.php?id=64739,https://www.truckstopsandservices.com/location_details.php?id=64739,Trucker,,36.0855,-87.09797,I-40,,,Kingston Springs,TN,37082,615-932-2122,,,,,,,,,,,,,,,,,,,,,,
44,Tennessee,Thorntons,location_details.php?id=64928,https://www.truckstopsandservices.com/location_details.php?id=64928,Trucker,,35.9920623,-86.5952404,I-24,,,Larvergne,TN,37086,615-927-2903,,,,,,,,,,,,,,,,,,,,,,
44,Tennessee,TIME OUT TRAVEL CENTER,location_details.php?id=3307,https://www.truckstopsandservices.com/location_details.php?id=3307,Trucker,bp-,35.972811,-83.247296,I-40,432-B,1130 W HWY 25 70 W,NEWPORT,TN,37821,423-623-7440 (TRAVEL CENTER),,,423-623-2823,,,31,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,TOP STOP MARKET & TRUCK STOP,location_details.php?id=55196,https://www.truckstopsandservices.com/location_details.php?id=55196,Trucker,ind_dealer_1,35.49423,-86.07148,I-24,111,1361 MCMINNVILLE HWY,MANCHESTER,TN,37355,931-728-2206 (TRAVEL CENTER),,,,,,,,,4,,,,,,,,,,,,,
44,Tennessee,TRADING POST,location_details.php?id=12506,https://www.truckstopsandservices.com/location_details.php?id=12506,Trucker,ind_dealer_1,36.096412,-88.812355,US 45,,67 GREENFIELD HWY,BRADFORD,TN,38316,731-742-2386 (TRAVEL CENTER),,,,,,20,0,20,2,0,0,,,,,,,,,,,
44,Tennessee,Travel Centers of America,location_details.php?id=64736,https://www.truckstopsandservices.com/location_details.php?id=64736,Trucker,,36.37666,-84.24628,I-75,,,Pioneer,TN,37847,423-562-3490,,,,,,,,,,,,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #013,location_details.php?id=3224,https://www.truckstopsandservices.com/location_details.php?id=3224,Trucker,catscale3,35.908528,-84.148022,I-40/75,374,608 LOVELL RD,KNOXVILLE,TN,37932-3297,865-966-6781 (TRAVEL CENTER),,,865-966-4401,,,131,10,10,10,12,6,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #034 - CANDY BASS,location_details.php?id=16524,https://www.truckstopsandservices.com/location_details.php?id=16524,Trucker,catscale3,36.171189,-86.770814,I-24,48,111 N FIRST ST,NASHVILLE,TN,37213,615-244-3682 (TRAVEL CENTER),615-244-3682 (CHARLEYS CHEESESTEAKS),,615-244-9419,,,167,45,45,10,9,6,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #117,location_details.php?id=16497,https://www.truckstopsandservices.com/location_details.php?id=16497,Trucker,catscale3,36.015937,-86.619809,I-24,62,13011 OLD HICKORY BLVD,ANTIOCH,TN,37013,615-641-6731 (TRAVEL CENTER),615-641-6731 (POPEYE'S),615-641-6731 (BURGER KING),615-641-3353,,,122,61,61,7,10,2,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #157,location_details.php?id=16511,https://www.truckstopsandservices.com/location_details.php?id=16511,Trucker,catscale3,35.860098,-86.828115,I-65,61,4400 PEYTONSVILLE RD,FRANKLIN,TN,37064,615-794-8406 (TRAVEL CENTER),615-794-8406 (COUNTRY PRIDE RESTAURANT),,615-790-6510,,,74,37,37,7,6,2,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #201,location_details.php?id=724,https://www.truckstopsandservices.com/location_details.php?id=724,Trucker,catscale3,36.32637,-82.835383,I-81,36,195 VAN HILL RD,GREENEVILLE,TN,37745,423-234-4451 (TRAVEL CENTER),423-234-4451 (IHOP),423-234-4451 (PAPA JOHN'S),423-234-6201,,,210,0,0,6,10,6,,423-234-4451 (DUNKIN' DONUTS EXPRESS),,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #245,location_details.php?id=3707,https://www.truckstopsandservices.com/location_details.php?id=3707,Trucker,catscale3,35.595886,-89.054946,I-40,68,155 HWY 138 PROVIDENCE RD,DENMARK,TN,38391-9998,731-424-5591 (TRAVEL CENTER),731-424-5591 (COUNTRY PRIDE RESTAURANT),731-424-5591 (SUBWAY),731-424-7160,,,92,24,24,7,8,2,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #255,location_details.php?id=16527,https://www.truckstopsandservices.com/location_details.php?id=16527,Trucker,catscale3,36.37722,-84.247181,I-75,141,305 HOWARD BAKER HWY,PIONEER,TN,37847,423-566-3490 (TRAVEL CENTER),423-566-3490 (POPEYE'S),,423-566-3700,,,80,35,35,6,8,5,,,,,,,,,,,
44,Tennessee,TRAVEL CENTERS OF AMERICA #269,location_details.php?id=3223,https://www.truckstopsandservices.com/location_details.php?id=3223,Trucker,catscale3,35.874115,-84.237125,I-40/75,369,617 S WATT RD,KNOXVILLE,TN,37922-1112,865-531-7676 (TRAVEL CENTER),865-531-7676 (POPEYE'S),865-531-7676 (BURGER KING),865-531-8701,,,176,28,28,8,12,4,,865-531-7676 (SUBWAY),865-531-7676 (PIZZA HUT),,,,,,,,
44,Tennessee,TRI STAR,location_details.php?id=2871,https://www.truckstopsandservices.com/location_details.php?id=2871,Trucker,shell_,36.179585,-86.301037,I-40,238,924 MURFREESBORO RD,LEBANON,TN,37090,615-443-3416 (TRAVEL CENTER),,,615-449-8505,,,12,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,TWICE DAILY 6603 - GOODLETTSVILLE,location_details.php?id=711,https://www.truckstopsandservices.com/location_details.php?id=711,Trucker,shell_,36.323651,-86.708337,I-65,97,150 LONG HOLLOW PIKE,GOODLETTSVILLE,TN,37072,615-851-1877 (TRAVEL CENTER),,,,,,0,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,TWICE DAILY 8046 - JOELTON,location_details.php?id=708,https://www.truckstopsandservices.com/location_details.php?id=708,Trucker,shell_,36.345521,-86.933999,I-24,31,1284 JACKSON FELTS RD,JOELTON,TN,37080,615-746-5661 (TRAVEL CENTER),,,,,,0,0,0,4,0,0,,,,,,,,,,,
44,Tennessee,UNCLE PETE'S TRUCK STOP,location_details.php?id=3564,https://www.truckstopsandservices.com/location_details.php?id=3564,Trucker,66gas,36.185689,-86.267492,I-40,239-A,1210 SPARTA PIKE,LEBANON,TN,37090,615-449-0030 (TRAVEL CENTER),615-449-0030 (UNCLE PETE'S),,615-443-1725,,,75,0,75,5,2,2,,,,1,,,,,,,
44,Tennessee,UNCLE SANDY'S AUTO/TRUCK PLAZA,location_details.php?id=3566,https://www.truckstopsandservices.com/location_details.php?id=3566,Trucker,gulf-,35.817216,-86.395663,I-24,81 WB / 81-B EB,2019 S CHURCH ST,MURFREESBORO,TN,37130,615-890-1941 (TRAVEL CENTER),,,,,,24,0,24,5,0,0,,,,,,,,,,,
44,Tennessee,WEIGEL'S #58,location_details.php?id=55842,https://www.truckstopsandservices.com/location_details.php?id=55842,Trucker,ind_dealer_1,35.872718,-84.44173,I-40,356-A,504 GALLAHER RD,KINGSTON,TN,37763,865-376-4130 (TRAVEL CENTER),,,,,,,,,7,0,,,,,,,,,,,,
44,Tennessee,WEIGEL'S #80 - NEWPORT,location_details.php?id=55852,https://www.truckstopsandservices.com/location_details.php?id=55852,Trucker,ind_dealer_1,35.94947,-83.201358,I-40,435,910 COSBY HWY,NEWPORT,TN,37821,423-613-9177 (TRAVEL CENTER),,,,,,10,0,0,8,0,0,,,,,,,,,,,
