state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Phone 2,Phone 3,Fax,Hours of Operation,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Truck Service Bays,Unleaded,Diesel,Bulk Def,# of Men's Showers,Propane,Phone 4,Phone 5,Mile Marker,Road Name,Mailing Address,https,http
46,Utah,MILLER'S TRAVEL CENTER - WELLINGTON,location_details.php?id=19124,https://www.truckstopsandservices.com/location_details.php?id=19124,Trucker,chevron,39.543168,-110.68814,US 6/191,,2195 E MAIN ST,WELLINGTON,UT,84542,435-636-0380 (TRAVEL CENTER),,,,24 HOURS,50,0,0,6,2,0,,,,,,,,,,,,
46,Utah,MILLERS TRAVEL CENTER - WENDOVER,location_details.php?id=44766,https://www.truckstopsandservices.com/location_details.php?id=44766,Trucker,shell_,40.73545,-114.041717,I-80,1 WB,80 WENDOVER BLVD,WENDOVER,UT,84083,435-665-2635 (TRAVEL CENTER),435-665-2635 (SUBWAY),435-665-2635 (KRISPY KRUNCHY CHICKEN),435-665-5465,24 HOURS,50,0,0,8,4,0,,,,,,,,,,,,
46,Utah,MOUNTAINLAND ONE STOP,location_details.php?id=44645,https://www.truckstopsandservices.com/location_details.php?id=44645,Trucker,sinclair_oil_.svg,40.492978,-111.412195,US 40,US 189,1175 S MAIN ST,HEBER CITY,UT,84032,435-654-5530 (TRAVEL CENTER),435-654-5530 (MOE'S GRILL),,,5AM TO 11PM DAILY,0,0,0,6,0,0,,,,,,,,,,,,
46,Utah,NEPHI FOOD MART,location_details.php?id=44651,https://www.truckstopsandservices.com/location_details.php?id=44651,Trucker,chevron,39.678501,-111.840903,I-15,222,2087 S MAIN ST,NEPHI,UT,84648,435-623-2922 (TRAVEL CENTER),,,,8AM TO 10PM DAILY,6,0,0,5,0,0,,,,,,,,,,,,
46,Utah,PAHVANT TRAVEL PLAZA,location_details.php?id=60111,https://www.truckstopsandservices.com/location_details.php?id=60111,Trucker,,38.615989,-112.613054,I-15,135,10950 BLACK ROCK ROAD,BEAVER,UT,84713,385-222-7766,,,,6AM TO 10PM DAILY,100,,,,0,,,,,,,,,,,,,
46,Utah,PARK N PUMP MONA,location_details.php?id=53597,https://www.truckstopsandservices.com/location_details.php?id=53597,Trucker,shell_,39.821434,-111.835641,I-15,233,1063 300 N ST,MONA,UT,84645,435-623-0433 (TRAVEL CENTER),435-623-0433 (SUBWAY),,,6AM TO 10PM DAILY,15,0,0,5,0,,,,,,,,,,,,,
46,Utah,PILOT TRAVEL CENTER #140,location_details.php?id=44762,https://www.truckstopsandservices.com/location_details.php?id=44762,Trucker,pilot,40.293957,-109.989468,US 191,US 40,380 S 200 E,ROOSEVELT,UT,84066,435-722-4468 (TRAVEL CENTER),,,435-722-2461,24 HOURS,0,0,0,2,0,0,,,,,,,,,,,,
46,Utah,PILOT TRAVEL CENTER #294,location_details.php?id=14622,https://www.truckstopsandservices.com/location_details.php?id=14622,Trucker,pilot,41.246238,-112.019818,I-15,344,1670 W 12TH ST,OGDEN,UT,84404,801-731-2900 (TRAVEL CENTER),801-731-2088 (SUBWAY),801-731-2088 (TACO BELL),801-731-2380,24 HOURS,60,9,9,7,5,0,3.199,3.299,4.099,,,,,,,,,
46,Utah,PILOT TRAVEL CENTER #775,location_details.php?id=18341,https://www.truckstopsandservices.com/location_details.php?id=18341,Trucker,pilot,37.060499,-113.582632,I-15,4,2841 S 60 E,ST. GEORGE,UT,84790,435-674-7104 (TRAVEL CENTER),435-674-7104 (BURGER KING),,435-652-3627,24 HOURS,50,10,10,7,3,0,3.339,3.759,4.359,,,,,,,,,
46,Utah,PILOT TRAVEL CENTER #892,location_details.php?id=3640,https://www.truckstopsandservices.com/location_details.php?id=3640,Trucker,pilot,38.994976,-110.14841,I-70,160 EB/164 WB,1085 W MAPLE COURT,GREEN RIVER,UT,84525,435-564-3495 (TRAVEL CENTER),,,435-564-3282,24 HOURS,100,0,0,7,8,2,3.699,3.759,4.359,,,,,,,,,
46,Utah,RAMSAY OIL CO,location_details.php?id=12446,https://www.truckstopsandservices.com/location_details.php?id=12446,Trucker,shell_,37.223862,-112.680738,US 89,UT 9,4490 STATE ST,MOUNT CARMEL,UT,84758,435-648-2326 (TRAVEL CENTER),435-648-2326 (SUBWAY),,435-648-2046,7AM TO 6PM DAILY,5,0,0,4,0,0,,,,,,,,,,,,
46,Utah,RB'S ONE STOP,location_details.php?id=2724,https://www.truckstopsandservices.com/location_details.php?id=2724,Trucker,66gas,40.883317,-111.898937,I-15,316,527 S 700 W,WOODS CROSS,UT,84087,801-295-3241 (TRAVEL CENTER),801-295-3241 (DAIRY QUEEN),,801-298-0599,24 HOURS,12,0,0,4,3,0,,,,,,,,,,,,
46,Utah,RJ'S FUEL STOP,location_details.php?id=2754,https://www.truckstopsandservices.com/location_details.php?id=2754,Trucker,sinclair_oil_.svg,41.710075,-112.200248,I-84,40,2267 W MAIN ST,TREMONTON,UT,84337,435-257-3530 (TRAVEL CENTER),435-257-3530 (BURGER KING),,435-257-0658,24 HOURS,100,0,0,7,2,0,,,,,,,,,,,,
46,Utah,SALINA EXPRESS,location_details.php?id=531,https://www.truckstopsandservices.com/location_details.php?id=531,Trucker,sinclair_oil_.svg,38.938935,-111.854294,I-70,56,1325 S STATE ST,SALINA,UT,84654,435-529-3232 (TRAVEL CENTER),,,,24 HOURS,5,0,0,2,0,0,,,,,,,,,,,,
46,Utah,SALINA PETROLEUM,location_details.php?id=12444,https://www.truckstopsandservices.com/location_details.php?id=12444,Trucker,chevron,38.956600189209,-111.871442,US 50,UT 24,715 W MAIN ST,SALINA,UT,84654,435-529-3362 (TRAVEL CENTER),,,,5AM TO 9PM DAILY,0,0,0,5,0,0,,,,,,,,,,,,
46,Utah,SAPP BROTHERS TRAVEL CENTER,location_details.php?id=2850,https://www.truckstopsandservices.com/location_details.php?id=2850,Trucker,sinclair_oil_.svg,40.740292,-111.946992,I-215,21,1953 CALIFORNIA AVE,SALT LAKE CITY,UT,84104,801-977-3900 (TRAVEL CENTER),801-977-3900 (APPLE BARREL RESTAURANT),801-977-3900 (BURGER KING),801-973-9748,24 HOURS,125,27,27,12,14,4,3.139,3.269,4.339,,,,,,,,,
46,Utah,SCENIC QUIK STOP,location_details.php?id=2869,https://www.truckstopsandservices.com/location_details.php?id=2869,Trucker,66gas,38.935507,-111.853511,I-70,56,1645 S STATE ST,SALINA,UT,84654,435-529-3781 (TRAVEL CENTER),435-529-3781 (CARL'S JR),,435-529-3783,6AM TO 9PM DAILY,30,0,0,4,2,0,,,,,,,,,,,,
46,Utah,SINCLAIR TRUCK STOP,location_details.php?id=396,https://www.truckstopsandservices.com/location_details.php?id=396,Trucker,sinclair_oil_.svg,40.74591,-113.970125,I-80,4,259 BEAR RIVER DR,WENDOVER,UT,82930,435-665-2243 (TRAVEL CENTER),,,,6AM TO 10PM DAILY,50,0,0,6,4,0,,,,,,,,,,,,
46,Utah,SLIM OLSON'S,location_details.php?id=2938,https://www.truckstopsandservices.com/location_details.php?id=2938,Trucker,chevron,40.864935,-111.893399,I-15,315,742 WEST 2600,WOODS CROSS,UT,84010,801-295-8437 (TRAVEL CENTER),,,,24 HOURS,5,,,3,0,0,,,,,,,,,,,,
46,Utah,SPLIT MOUNTAIN TRAVEL PLAZA,location_details.php?id=12456,https://www.truckstopsandservices.com/location_details.php?id=12456,Trucker,sinclair_oil_.svg,40.386928,-109.438917,US 40,,4743 S 4625 E,VERNAL,UT,84079,435-781-6500 (TRAVEL CENTER),,,,24 HOURS,10,0,0,6,4,0,,,,,,,,,,,,
46,Utah,STEVE'S TIRE & OIL,location_details.php?id=3047,https://www.truckstopsandservices.com/location_details.php?id=3047,Trucker,sinclair_oil_.svg,38.982431,-112.323923,I-15,167,615 N MAIN ST,FILLMORE,UT,84631,435-743-6860 (TRAVEL CENTER),,,,"7AM TO 5PM MON THRU SAT, CLOSED SUN",0,0,0,2,0,2,,,,,,,,,,,,
46,Utah,SUNMART # 979,location_details.php?id=3091,https://www.truckstopsandservices.com/location_details.php?id=3091,Trucker,texaco-,41.683207,-112.139825,I-15,386,9600 N 5175 W,ELWOOD,UT,84337,435-257-4710 (TRAVEL CENTER),435-257-4710 (ARBY'S),,435-257-1733,24 HOURS,20,0,0,4,0,0,,,,,,,,,,,,
46,Utah,SUPER STOP,location_details.php?id=55143,https://www.truckstopsandservices.com/location_details.php?id=55143,Trucker,shell_,41.22884,-112.01609,I-15,343,1514 W HAVEN 2100 S,OGDEN,UT,84401,801-731-3437 (TRAVEL CENTER),801-731-3437 (BLIMPIE),,,5AM TO 11PM DAILY,3,0,0,2,0,0,,,,,,,,,,,,
46,Utah,TA EXPRESS,location_details.php?id=52442,https://www.truckstopsandservices.com/location_details.php?id=52442,Trucker,taexpress,38.929589,-111.854444,I-70,56,2055 S STATE ST,SALINA,UT,84654,435-287-0546 (TRAVEL CENTER),435-287-0546 (LITTLE CAESARS),,435-287-0549,24 HOURS,67,0,0,3,2,0,,,,,,,,,,,,
46,Utah,TOP STOP,location_details.php?id=12443,https://www.truckstopsandservices.com/location_details.php?id=12443,Trucker,chevron,40.283481,-110.011147,US 40,,1128 US 40,ROOSEVELT,UT,84066,435-722-9940 (TRAVEL CENTER),435-722-9940 (PACOS),,,24 HOURS,4,0,0,4,0,0,,,,,,,,,,,,
46,Utah,TOP STOP # 40,location_details.php?id=12442,https://www.truckstopsandservices.com/location_details.php?id=12442,Trucker,chevron,40.449119,-109.502159,US 40,,1355 E HWY 40,VERNAL,UT,84078,435-789-8292 (TRAVEL CENTER),,,435-789-3944,24 HOURS,10,0,0,7,0,2,,,,,,,,,,,,
46,Utah,TOP STOP # 83,location_details.php?id=3344,https://www.truckstopsandservices.com/location_details.php?id=3344,Trucker,chevron,38.772134,-112.071302,I-70,40,750 E 300 N,RICHFIELD,UT,84701,435-896-8338 (TRAVEL CENTER),,,,6AM TO 11PM DAILY,0,0,0,4,0,0,,,,,,,,,,,,
46,Utah,TRAVEL CENTERS OF AMERICA #060,location_details.php?id=16611,https://www.truckstopsandservices.com/location_details.php?id=16611,Trucker,catscale3,40.689663,-112.263838,I-80,99,8836 N HWY 40,TOOELE,UT,84074,801-250-8585 (TRAVEL CENTER),801-250-8585 (TACO BELL),801-250-8585 (BURGER KING),801-252-2224,24 HOURS,191,4,4,7,11,3,,,,,,,,,,,,
46,Utah,TRAVEL CENTERS OF AMERICA EXPRESS #186,location_details.php?id=16606,https://www.truckstopsandservices.com/location_details.php?id=16606,Trucker,taexpress,37.861426,-112.830001,I-15,78,1100 N 130 W,PAROWAN,UT,84761,435-477-3311 (TRAVEL CENTER),435-477-3311 (TACO BELL),435-477-3311 (SUBWAY),435-477-8713,24 HOURS,106,4,4,5,6,6,,,,,,,,,,,,
46,Utah,UNITED FUEL,location_details.php?id=44652,https://www.truckstopsandservices.com/location_details.php?id=44652,Trucker,ind_dealer_1,41.884902,-112.166854,I-15,392,6030 W 20800 N,PLYMOUTH,UT,84330,435-458-3537 (TRAVEL CENTER),435-458-3537 (A & W),,435-458-3538,24 HOURS,50,0,0,8,4,0,,,,,,,,,,,,
46,Utah,UTE PETROLEUM,location_details.php?id=44644,https://www.truckstopsandservices.com/location_details.php?id=44644,Trucker,sinclair_oil_.svg,40.301648,-109.857082,US 40/191,,7250 E US 40,FORT DUCHESNE,UT,84026,435-722-3975 (TRAVEL CENTER),435-722-3975 (KRISPY KRUNCHY CHICKEN),,,5AM TO 10PM DAILY,0,0,0,3,0,0,,,,,,,,,,,,
46,Utah,UTE PETROLEUM,location_details.php?id=44650,https://www.truckstopsandservices.com/location_details.php?id=44650,Trucker,sinclair_oil_.svg,40.193887,-110.073223,US 40/191,,565 US 40 W,MYTON,UT,84052,435-646-3519 (TRAVEL CENTER),435-646-3519 (PICCADILLY PIZZA),,435-646-3459,5AM TO 10PM DAILY,10,0,0,8,2,0,,,,,,,,,,,,
47,Virginia,360 TRUCK STOP,location_details.php?id=47078,https://www.truckstopsandservices.com/location_details.php?id=47078,Trucker,citgo,37.358193,-77.875878,US 360,,11201 PATRICK HENRY HWY,AMELIA,VA,23002,804-561-4719 (TRAVEL CENTER),,,,,89,0,0,3,4,3,,,,,,,,,,,,
47,Virginia,7 ELEVEN,location_details.php?id=53894,https://www.truckstopsandservices.com/location_details.php?id=53894,Trucker,7-eleven,38.26386,-77.144627,US 301,,10520 JAMES MADISON PKWY,KING GEORGE,VA,22485,540-775-7827 (TRAVEL CENTER),,,,,5,0,0,3,0,0,,,,,,,,,,,,
47,Virginia,7 ELEVEN,location_details.php?id=53895,https://www.truckstopsandservices.com/location_details.php?id=53895,Trucker,7-eleven,38.357326,-78.924117,I-81,240,6260 WALTON WAY,MOUNT CRAWFORD,VA,22841,540-432-0940 (TRAVEL CENTER),,,,,60,0,0,4,0,0,,,,,,,,,,,,
47,Virginia,7 ELEVEN,location_details.php?id=2023,https://www.truckstopsandservices.com/location_details.php?id=2023,Trucker,shell_,36.863689,-76.404691,I-464,2,3200 WESTERN BRANCH RD,CHESAPEAKE,VA,23321,757-484-9208 (TRAVEL CENTER),,,,,0,0,0,2,0,0,,,,,,,,,,,,
47,Virginia,7 ELEVEN,location_details.php?id=2662,https://www.truckstopsandservices.com/location_details.php?id=2662,Trucker,7-eleven,38.967481,-78.188503,I-66,6,9219 WINCHESTER RD,FRONT ROYAL,VA,22630,540-635-5060 (TRAVEL CENTER),,,,,10,0,0,3,0,0,,,,,,,,,,,,
47,Virginia,96 FUEL STOP,location_details.php?id=2702,https://www.truckstopsandservices.com/location_details.php?id=2702,Trucker,citgo,38.233941,-77.502528,I-95,126-B NB/126 SB,5416 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22407,540-710-1215 (TRAVEL CENTER),,,540-120-1216,,22,,,5,0,0,,,,,,,,,,,,
47,Virginia,A PLUS,location_details.php?id=47101,https://www.truckstopsandservices.com/location_details.php?id=47101,Trucker,mobil_oil__type,37.482942,-76.912653,I-64,220,14981 ELTHAM RD,LANEXA,VA,23089,804-932-1990 (TRAVEL CENTER),,,,,0,,,4,0,0,,,,,,,,,,,,
47,Virginia,APPLE MARKET (BP),location_details.php?id=12093,https://www.truckstopsandservices.com/location_details.php?id=12093,Trucker,bp-,37.621203,-79.014676,US 29,,1425 N AMHERST HWY,AMHERST,VA,24521,434-946-2567 (TRAVEL CENTER),434-946-5310 (SUBWAY),,,,4,0,0,2,0,0,,,,,,,,,,,,
47,Virginia,BBQ COUNTRY,location_details.php?id=12081,https://www.truckstopsandservices.com/location_details.php?id=12081,Trucker,ind_dealer_1,38.629554,-77.800479,US 15/29,,9719 JAMES MADISON HWY,WARRENTON,VA,20187,540-439-6904 (TRAVEL CENTER),540-439-6904 (BBQ COUNTRY),,,,75,0,0,5,5,0,,,,,,,,,,,,
47,Virginia,BIG CHARLIE'S TRUCK PLAZA,location_details.php?id=342,https://www.truckstopsandservices.com/location_details.php?id=342,Trucker,ind_dealer_1,36.883383,-76.186289,I-64,282,5792 NORTHAMPTON BLVD,VIRGINIA BEACH,VA,23455,757-460-2032 (TRAVEL CENTER),,,757-363-9522,,150,0,0,7,6,2,,,,,,,,,,,,
47,Virginia,BLACK DIAMOND,location_details.php?id=47103,https://www.truckstopsandservices.com/location_details.php?id=47103,Trucker,marathon,36.958724,-81.933061,US 19,VA 80,16629 US 19,ROSEDALE,VA,24280,276-880-1363 (TRAVEL CENTER),,,,,0,,,2,0,0,,,,,,,,,,,,
47,Virginia,CAPE CENTER,location_details.php?id=54015,https://www.truckstopsandservices.com/location_details.php?id=54015,Trucker,exxon,37.21367,-75.966824,US 13,,26507 LANKFORD HWY,CAPE CHARLES,VA,23310,757-331-2505 (TRAVEL CENTER),757-331-2505 (STING RAY'S),,,,10,0,0,2,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=12097,https://www.truckstopsandservices.com/location_details.php?id=12097,Trucker,circle_k__3774,36.733221,-79.382375,US 29,,9181 US 29,BLAIRS,VA,24527,434-836-2599 (TRAVEL CENTER),,,434-836-0451,,29,,,4,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=12115,https://www.truckstopsandservices.com/location_details.php?id=12115,Trucker,marathon,36.701578,-79.904495,US 220,,1560 VIRGINIA AVE,MARTINSVILLE,VA,24112,276-666-2818 (TRAVEL CENTER),,,,,0,0,0,2,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19129,https://www.truckstopsandservices.com/location_details.php?id=19129,Trucker,circle_k__3774,36.865062,-81.434119,I-81,50,5522 LEE HWY,ATKINS,VA,24311,276-783-1833 (TRAVEL CENTER),,,,,19,0,0,3,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19130,https://www.truckstopsandservices.com/location_details.php?id=19130,Trucker,circle_k__3774,36.849986,-80.863468,I-77,24,1682 LEAD MINE RD,AUSTINVILLE,VA,24312,276-699-7824 (TRAVEL CENTER),,,,,15,,,3,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19132,https://www.truckstopsandservices.com/location_details.php?id=19132,Trucker,circle_k__3774,37.099657,-81.132196,I-77,52,8006 S SCENIC HWY,BLAND,VA,24315,276-688-4426 (TRAVEL CENTER),,,,,10,0,0,2,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19133,https://www.truckstopsandservices.com/location_details.php?id=19133,Trucker,exxon,36.952156,-80.881927,I-81,84,152 MAJOR GRAHAMS RD,MAX MEADOWS,VA,24360,276-637-4510 (TRAVEL CENTER),276-637-6488 (DAIRY QUEEN),,,,6,,,6,2,0,,,,1,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19136,https://www.truckstopsandservices.com/location_details.php?id=19136,Trucker,circle_k__3774,36.946531,-80.950235,I-77/81,80,2622 E LEE HWY,FORT CHISWELL,VA,24382,276-637-4250 (TRAVEL CENTER),,,,,0,0,0,6,0,0,2.899,3.599,4.459,,3.399,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19138,https://www.truckstopsandservices.com/location_details.php?id=19138,Trucker,exxon,38.076537,-79.089709,I-64/81,217,313 SPRINGFIELD LANE,STAUNTON,VA,24401,540-337-9752 (TRAVEL CENTER),,,,,60,,,7,2,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19139,https://www.truckstopsandservices.com/location_details.php?id=19139,Trucker,circle_k__3774,37.386806,-79.903478,I-81,150-A,2765 LEE HWY,TROUTVILLE,VA,24175,540-992-5062 (TRAVEL CENTER),,,,,10,0,0,4,2,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19189,https://www.truckstopsandservices.com/location_details.php?id=19189,Trucker,circle_k__3774,36.965862,-81.069464,I-77,41,1020 PEPPER'S FERRY RD,WYTHEVILLE,VA,24382,276-228-8081 (TRAVEL CENTER),,,,,22,0,0,6,0,0,,,,,,,,,,,,
47,Virginia,CIRCLE K,location_details.php?id=19190,https://www.truckstopsandservices.com/location_details.php?id=19190,Trucker,circle_k__3774,36.936441,-80.995252,I-77/81,77,117 READY MIX RD,WYTHEVILLE,VA,24382,276-228-6680 (TRAVEL CENTER),,,,,25,0,0,7,4,0,,,,,,,,,,,,
47,Virginia,COCKERHAM FUEL CENTER,location_details.php?id=622,https://www.truckstopsandservices.com/location_details.php?id=622,Trucker,gulf-,36.744264,-80.775061,I-77,14,59 FARMERS MARKET DR,HILLSVILLE,VA,24343,276-728-4194 (TRAVEL CENTER),,,276-728-4195,,20,0,0,6,1,0,,,,,,,,,,,,
47,Virginia,CORNER MART,location_details.php?id=47114,https://www.truckstopsandservices.com/location_details.php?id=47114,Trucker,ind_dealer_1,37.094209,-81.81102,US 460,,2659 FRONT ST,RICHLANDS,VA,24641,276-596-9207 (TRAVEL CENTER),,,,,10,0,0,3,0,0,,,,,,,,,,,,
47,Virginia,CROSSING POINT,location_details.php?id=54183,https://www.truckstopsandservices.com/location_details.php?id=54183,Trucker,shell_,37.97373,-78.216431,I-64,136,11497 JAMES MADISON HWY,GORDONSVILLE,VA,22942,434-589-4167 (TRAVEL CENTER),,,434-589-4259,,40,0,0,6,3,0,,,,,,,,,,,,
